dictionary_entry_id	surface	register	usage_class	component_recipe	meaning_mode	portable_value_de	register_default_de	local_code	events	physical_pages	default_reading_de
P910-D0001	chtorol	BIOLOGICAL	LABEL	CH+T+OR+OL	LOCAL_NOMENCLATOR	AUSWAEHLEN ODER ABNEHMEN · BEARBEITEN ODER MARKIEREN · ANSATZ ODER ZUBEREITUNG · FORTSETZEN	Kennung am lokale Becken-, Figuren- und Verbindungsstationen (f83r.45)	B-L001	1	f83r	lies die gelernte lokale Kennung: Kennung am lokale Becken-, Figuren- und Verbindungsstationen (f83r.45)
P910-D0002	dainy	BIOLOGICAL	LABEL	AIN+Y	LOCAL_NOMENCLATOR	PORTION ODER EINHEIT · AKTUELLER POSTEN ODER BEZUG	Kennung der lower pool label 7	B-L002	1	f75r	lies die gelernte lokale Kennung: Kennung der lower pool label 7
P910-D0003	daly	BIOLOGICAL	LABEL	AL+Y	LOCAL_NOMENCLATOR	AUFNAHME- ODER ANSCHLUSSSTELLE · AKTUELLER POSTEN ODER BEZUG	Kennung der lower pool label 2	B-L003	1	f75r	lies die gelernte lokale Kennung: Kennung der lower pool label 2
P910-D0004	dara	BIOLOGICAL	LABEL	D_ADDR+AR+A_ADDR	LOCAL_NOMENCLATOR	TEIL- ODER UNTERADRESSE · AUSGANGS- ODER ENTNAHMESTELLE · LOKALE ADRESSE	Kennung der lower pool label 3	B-L004	1	f75r	lies die gelernte lokale Kennung: Kennung der lower pool label 3
P910-D0005	darary	BIOLOGICAL	LABEL	DA+R+AR+Y	LOCAL_NOMENCLATOR	MARKIERTE ODER ZWEITE STUFE · MARKIERTER ZUSTAND · AUSGANGS- ODER ENTNAHMESTELLE · AKTUELLER POSTEN ODER BEZUG	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.38)	B-L005	1	f82r	lies die gelernte lokale Kennung: Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.38)
P910-D0006	darol	BIOLOGICAL	LABEL	DA+R+OL	LOCAL_NOMENCLATOR	MARKIERTE ODER ZWEITE STUFE · MARKIERTER ZUSTAND · FORTSETZEN	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.35)	B-L006	1	f82r	lies die gelernte lokale Kennung: Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.35)
P910-D0007	darolsy	BIOLOGICAL	LABEL	DA+R+OL+S+Y	LOCAL_NOMENCLATOR	MARKIERTE ODER ZWEITE STUFE · MARKIERTER ZUSTAND · FORTSETZEN · KONTEXTMARKER · AKTUELLER POSTEN ODER BEZUG	Kennung am lokale Becken-, Figuren- und Verbindungsstationen (f83r.51)	B-L007	1	f83r	lies die gelernte lokale Kennung: Kennung am lokale Becken-, Figuren- und Verbindungsstationen (f83r.51)
P910-D0008	dolol	BIOLOGICAL	LABEL	D_ADDR+OL+OL	LOCAL_NOMENCLATOR	TEIL- ODER UNTERADRESSE · FORTSETZEN · FORTSETZEN	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.43)	B-L008	1	f82r	lies die gelernte lokale Kennung: Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.43)
P910-D0009	okairady	BIOLOGICAL	LABEL	OK+AIR+A_ADDR+D_ADDR+Y	LOCAL_NOMENCLATOR	GANG ANSETZEN ODER AKTIVIEREN · LAUF ODER BAHN · LOKALE ADRESSE · TEIL- ODER UNTERADRESSE · AKTUELLER POSTEN ODER BEZUG	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.39)	B-L009	1	f82r	lies die gelernte lokale Kennung: Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.39)
P910-D0010	okal	BIOLOGICAL	LABEL	OK+AL	LOCAL_NOMENCLATOR	GANG ANSETZEN ODER AKTIVIEREN · AUFNAHME- ODER ANSCHLUSSSTELLE	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.36)	B-L010	1	f82r	lies die gelernte lokale Kennung: Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.36)
P910-D0011	okaldy	BIOLOGICAL	LABEL	OK+AL+DY	LOCAL_NOMENCLATOR	GANG ANSETZEN ODER AKTIVIEREN · AUFNAHME- ODER ANSCHLUSSSTELLE · LIZENZIERTER ABSCHLUSS	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.37)	B-L011	1	f82r	lies die gelernte lokale Kennung: Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.37)
P910-D0012	okeear	BIOLOGICAL	LABEL	OK+EE+AR	LOCAL_NOMENCLATOR	GANG ANSETZEN ODER AKTIVIEREN · LAENGERER GRAD · AUSGANGS- ODER ENTNAHMESTELLE	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.45)	B-L012	1	f82r	lies die gelernte lokale Kennung: Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.45)
P910-D0013	okeedy	BIOLOGICAL	LABEL	OK+EE+DY	LOCAL_NOMENCLATOR	GANG ANSETZEN ODER AKTIVIEREN · LAENGERER GRAD · LIZENZIERTER ABSCHLUSS	Kennung der lower pool label 1	B-L013	1	f75r	lies die gelernte lokale Kennung: Kennung der lower pool label 1
P910-D0014	okor	BIOLOGICAL	LABEL	OK+OR	LOCAL_NOMENCLATOR	GANG ANSETZEN ODER AKTIVIEREN · ANSATZ ODER ZUBEREITUNG	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.34)	B-L014	1	f82r	lies die gelernte lokale Kennung: Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.34)
P910-D0015	olaiin	BIOLOGICAL	LABEL	OL+AIIN	LOCAL_NOMENCLATOR	FORTSETZEN · VORGESCHRIEBENES MASS	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.44)	B-L015	1	f82r	lies die gelernte lokale Kennung: Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.44)
P910-D0016	olkal	BIOLOGICAL	LABEL	OL+K+AL	LOCAL_NOMENCLATOR	FORTSETZEN · ZUORDNEN ODER ZUGEBEN · AUFNAHME- ODER ANSCHLUSSSTELLE	Kennung am gemeinsames Bad- und Beckenfeld (f81v.28)	B-L016	1	f81v	lies die gelernte lokale Kennung: Kennung am gemeinsames Bad- und Beckenfeld (f81v.28)
P910-D0017	olkoky	BIOLOGICAL	LABEL	OL+K+OK+Y	LOCAL_NOMENCLATOR	FORTSETZEN · ZUORDNEN ODER ZUGEBEN · GANG ANSETZEN ODER AKTIVIEREN · AKTUELLER POSTEN ODER BEZUG	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.41)	B-L017	1	f82r	lies die gelernte lokale Kennung: Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.41)
P910-D0018	olsaiin	BIOLOGICAL	LABEL	OL+S+AIIN	LOCAL_NOMENCLATOR	FORTSETZEN · KONTEXTMARKER · VORGESCHRIEBENES MASS	Kennung am lokale Becken-, Figuren- und Verbindungsstationen (f83r.46)	B-L018	1	f83r	lies die gelernte lokale Kennung: Kennung am lokale Becken-, Figuren- und Verbindungsstationen (f83r.46)
P910-D0019	oroldair	BIOLOGICAL	LABEL	OR+OL+D_ADDR+AIR	LOCAL_NOMENCLATOR	ANSATZ ODER ZUBEREITUNG · FORTSETZEN · TEIL- ODER UNTERADRESSE · LAUF ODER BAHN	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.10)	B-L019	1	f82r	lies die gelernte lokale Kennung: Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.10)
P910-D0020	otain	BIOLOGICAL	LABEL	OT+AIN	LOCAL_NOMENCLATOR	DANACH ODER NAECHSTE STELLE · PORTION ODER EINHEIT	Kennung am gemeinsames Bad- und Beckenfeld (f81v.28)	B-L020	1	f81v	lies die gelernte lokale Kennung: Kennung am gemeinsames Bad- und Beckenfeld (f81v.28)
P910-D0021	saino	BIOLOGICAL	LABEL	S+AIN+O	LOCAL_NOMENCLATOR	KONTEXTMARKER · PORTION ODER EINHEIT · AKTIVER REGISTERGANG	Kennung der lower pool label 5	B-L021	1	f75r	lies die gelernte lokale Kennung: Kennung der lower pool label 5
P910-D0022	sal	BIOLOGICAL	LABEL	S+AL	LOCAL_NOMENCLATOR	KONTEXTMARKER · AUFNAHME- ODER ANSCHLUSSSTELLE	Kennung der lower pool label 1	B-L022	1	f75r	lies die gelernte lokale Kennung: Kennung der lower pool label 1
P910-D0023	saldy	BIOLOGICAL	LABEL	S+AL+DY	LOCAL_NOMENCLATOR	KONTEXTMARKER · AUFNAHME- ODER ANSCHLUSSSTELLE · LIZENZIERTER ABSCHLUSS	Kennung der lower pool label 6	B-L023	1	f75r	lies die gelernte lokale Kennung: Kennung der lower pool label 6
P910-D0024	sasoldal	BIOLOGICAL	LABEL	S+A_ADDR+S+OL+DA+L	LOCAL_NOMENCLATOR	KONTEXTMARKER · LOKALE ADRESSE · KONTEXTMARKER · FORTSETZEN · MARKIERTE ODER ZWEITE STUFE · LEITEN ODER VERBINDEN	Kennung am lokale Becken-, Figuren- und Verbindungsstationen (f83r.50)	B-L024	1	f83r	lies die gelernte lokale Kennung: Kennung am lokale Becken-, Figuren- und Verbindungsstationen (f83r.50)
P910-D0025	sokoly	BIOLOGICAL	LABEL	S+OK+OL+Y	LOCAL_NOMENCLATOR	KONTEXTMARKER · GANG ANSETZEN ODER AKTIVIEREN · FORTSETZEN · AKTUELLER POSTEN ODER BEZUG	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.42)	B-L025	1	f82r	lies die gelernte lokale Kennung: Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.42)
P910-D0026	sols	BIOLOGICAL	LABEL	OL+S	LOCAL_NOMENCLATOR	FORTSETZEN · KONTEXTMARKER	Kennung der lower pool label 3	B-L026	1	f75r	lies die gelernte lokale Kennung: Kennung der lower pool label 3
P910-D0027	sororl	BIOLOGICAL	LABEL	S+OR+OR+L	LOCAL_NOMENCLATOR	KONTEXTMARKER · ANSATZ ODER ZUBEREITUNG · ANSATZ ODER ZUBEREITUNG · LEITEN ODER VERBINDEN	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.40)	B-L027	1	f82r	lies die gelernte lokale Kennung: Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.40)
P910-D0028	ychey	BIOLOGICAL	LABEL	Y+Y	LOCAL_NOMENCLATOR	AKTUELLER POSTEN ODER BEZUG · AKTUELLER POSTEN ODER BEZUG	Kennung der lower pool label 2	B-L028	1	f75r	lies die gelernte lokale Kennung: Kennung der lower pool label 2
P910-D0029	ychty	BIOLOGICAL	LABEL	Y+CH+T+Y	LOCAL_NOMENCLATOR	AKTUELLER POSTEN ODER BEZUG · AUSWAEHLEN ODER ABNEHMEN · BEARBEITEN ODER MARKIEREN · AKTUELLER POSTEN ODER BEZUG	Kennung der lower pool label 4	B-L029	1	f75r	lies die gelernte lokale Kennung: Kennung der lower pool label 4
P910-D0030	aiin	BIOLOGICAL	PROSE	AIIN	LEARNED_COMPONENT_RECIPE	VORGESCHRIEBENES MASS	Mass der Anwendung		8	f81v|f82r|f83r	nach vorgeschriebenem Mass
P910-D0031	ain	BIOLOGICAL	PROSE	AIN	LEARNED_COMPONENT_RECIPE	PORTION ODER EINHEIT	Teilmenge		1	f75r	eine Portion oder Einheit
P910-D0032	ajy	BIOLOGICAL	PROSE	A_ADDR+Y	LEARNED_COMPONENT_RECIPE	LOKALE ADRESSE · AKTUELLER POSTEN ODER BEZUG	lokale Station · aktueller Stationsposten		1	f75r	an der lokalen Adresse; mit dem aktuellen Posten oder Bezug
P910-D0033	al	BIOLOGICAL	PROSE	AL	LEARNED_COMPONENT_RECIPE	AUFNAHME- ODER ANSCHLUSSSTELLE	Becken- oder Anschlussstelle		3	f75r|f81v|f83r	an der Becken- oder Anschlussstelle
P910-D0034	altedy	BIOLOGICAL	PROSE	AL+T+E+D_ADDR+Y	NEW_COMPONENT_COMPOSITION	AUFNAHME- ODER ANSCHLUSSSTELLE · BEARBEITEN ODER MARKIEREN · KURZER GRAD · TEIL- ODER UNTERADRESSE · AKTUELLER POSTEN ODER BEZUG	Becken- oder Anschlussstelle · Anlage bedienen · kurz halten · Teilstation · aktueller Stationsposten		1	f83r	an der Becken- oder Anschlussstelle; bediene den Abschnitt; im kurzen Grad; an der Teil- oder Unteradresse; mit dem aktuellen Posten oder Bezug
P910-D0035	aly	BIOLOGICAL	PROSE	AL+Y	LEARNED_COMPONENT_RECIPE	AUFNAHME- ODER ANSCHLUSSSTELLE · AKTUELLER POSTEN ODER BEZUG	Becken- oder Anschlussstelle · aktueller Stationsposten		1	f75r	an der Becken- oder Anschlussstelle; mit dem aktuellen Posten oder Bezug
P910-D0036	am	BIOLOGICAL	PROSE	AM_ADDR	LEARNED_COMPONENT_RECIPE	LOKALE M-ADRESSE	lokale Gegenstelle		1	f75r	an der lokalen M-Adresse
P910-D0037	ar	BIOLOGICAL	PROSE	AR	LEARNED_COMPONENT_RECIPE	AUSGANGS- ODER ENTNAHMESTELLE	Ausgangsstation		2	f75r|f83r	von der Ausgangsstation
P910-D0038	araiin	BIOLOGICAL	PROSE	AR+AIIN	NEW_COMPONENT_COMPOSITION	AUSGANGS- ODER ENTNAHMESTELLE · VORGESCHRIEBENES MASS	Ausgangsstation · Mass der Anwendung		1	f82r	von der Ausgangsstation; nach vorgeschriebenem Mass
P910-D0039	ashyteed	BIOLOGICAL	PROSE	A_ADDR+SH+Y+T+EE+D_ADDR	NEW_COMPONENT_COMPOSITION	LOKALE ADRESSE · HALTEN ODER FESTHALTEN · AKTUELLER POSTEN ODER BEZUG · BEARBEITEN ODER MARKIEREN · LAENGERER GRAD · TEIL- ODER UNTERADRESSE	lokale Station · Posten halten · aktueller Stationsposten · Anlage bedienen · laenger halten · Teilstation		1	f81v	an der lokalen Adresse; halte den Stationsposten; mit dem aktuellen Posten oder Bezug; bediene den Abschnitt; im laengeren Grad; an der Teil- oder Unteradresse
P910-D0040	ch	BIOLOGICAL	PROSE	CH	LEARNED_COMPONENT_RECIPE	AUSWAEHLEN ODER ABNEHMEN	Posten abnehmen		1	f75r	nimm den Stationsposten ab
P910-D0041	chal	BIOLOGICAL	PROSE	CH+AL	LEARNED_COMPONENT_RECIPE	AUSWAEHLEN ODER ABNEHMEN · AUFNAHME- ODER ANSCHLUSSSTELLE	Posten abnehmen · Becken- oder Anschlussstelle		2	f75r|f81v	nimm den Stationsposten ab; an der Becken- oder Anschlussstelle
P910-D0042	char	BIOLOGICAL	PROSE	AR	LEARNED_COMPONENT_RECIPE	AUSGANGS- ODER ENTNAHMESTELLE	Ausgangsstation		2	f75r|f82r	von der Ausgangsstation
P910-D0043	chary	BIOLOGICAL	PROSE	AR+Y	LEARNED_COMPONENT_RECIPE	AUSGANGS- ODER ENTNAHMESTELLE · AKTUELLER POSTEN ODER BEZUG	Ausgangsstation · aktueller Stationsposten		1	f83r	von der Ausgangsstation; mit dem aktuellen Posten oder Bezug
P910-D0044	chckhal	BIOLOGICAL	PROSE	CH+CKH+AL	LEARNED_COMPONENT_RECIPE	AUSWAEHLEN ODER ABNEHMEN · DURCHLASS ODER VERBINDUNGSWEG · AUFNAHME- ODER ANSCHLUSSSTELLE	Posten abnehmen · Beckenverbindung · Becken- oder Anschlussstelle		1	f83r	nimm den Stationsposten ab; fuehre durch die Beckenverbindung; an der Becken- oder Anschlussstelle
P910-D0045	chckhdy	BIOLOGICAL	PROSE	CH+CKH+D_ADDR+Y	NEW_COMPONENT_COMPOSITION	AUSWAEHLEN ODER ABNEHMEN · DURCHLASS ODER VERBINDUNGSWEG · TEIL- ODER UNTERADRESSE · AKTUELLER POSTEN ODER BEZUG	Posten abnehmen · Beckenverbindung · Teilstation · aktueller Stationsposten		1	f83r	nimm den Stationsposten ab; fuehre durch die Beckenverbindung; an der Teil- oder Unteradresse; mit dem aktuellen Posten oder Bezug
P910-D0046	chckhey	BIOLOGICAL	PROSE	CH+CKH+E+Y	NEW_COMPONENT_COMPOSITION	AUSWAEHLEN ODER ABNEHMEN · DURCHLASS ODER VERBINDUNGSWEG · KURZER GRAD · AKTUELLER POSTEN ODER BEZUG	Posten abnehmen · Beckenverbindung · kurz halten · aktueller Stationsposten		1	f82r	nimm den Stationsposten ab; fuehre durch die Beckenverbindung; im kurzen Grad; mit dem aktuellen Posten oder Bezug
P910-D0047	chckhy	BIOLOGICAL	PROSE	CKH+Y	LEARNED_COMPONENT_RECIPE	DURCHLASS ODER VERBINDUNGSWEG · AKTUELLER POSTEN ODER BEZUG	Beckenverbindung · aktueller Stationsposten		8	f75r|f81v|f82r	fuehre durch die Beckenverbindung; mit dem aktuellen Posten oder Bezug
P910-D0048	chcthdy	BIOLOGICAL	PROSE	CH+CTH+D_ADDR+Y	NEW_COMPONENT_COMPOSITION	AUSWAEHLEN ODER ABNEHMEN · BEREIT- ODER STATUSMARKER · TEIL- ODER UNTERADRESSE · AKTUELLER POSTEN ODER BEZUG	Posten abnehmen · Stationsstatus · Teilstation · aktueller Stationsposten		1	f83r	nimm den Stationsposten ab; pruefe den Stationsstatus; an der Teil- oder Unteradresse; mit dem aktuellen Posten oder Bezug
P910-D0049	chcthedy	BIOLOGICAL	PROSE	CH+CTH+E+DY	LEARNED_COMPONENT_RECIPE	AUSWAEHLEN ODER ABNEHMEN · BEREIT- ODER STATUSMARKER · KURZER GRAD · LIZENZIERTER ABSCHLUSS	Posten abnehmen · Stationsstatus · kurz halten · Stationsschritt schliessen		1	f75r	nimm den Stationsposten ab; pruefe den Stationsstatus; im kurzen Grad; schliesse die Teilfolge
P910-D0050	chcthey	BIOLOGICAL	PROSE	CH+CTH+E+Y	NEW_COMPONENT_COMPOSITION	AUSWAEHLEN ODER ABNEHMEN · BEREIT- ODER STATUSMARKER · KURZER GRAD · AKTUELLER POSTEN ODER BEZUG	Posten abnehmen · Stationsstatus · kurz halten · aktueller Stationsposten		1	f82r	nimm den Stationsposten ab; pruefe den Stationsstatus; im kurzen Grad; mit dem aktuellen Posten oder Bezug
P910-D0051	chcthy	BIOLOGICAL	PROSE	CH+CTH+Y	LEARNED_COMPONENT_RECIPE	AUSWAEHLEN ODER ABNEHMEN · BEREIT- ODER STATUSMARKER · AKTUELLER POSTEN ODER BEZUG	Posten abnehmen · Stationsstatus · aktueller Stationsposten		3	f75r|f81v	nimm den Stationsposten ab; pruefe den Stationsstatus; mit dem aktuellen Posten oder Bezug
P910-D0052	chdal	BIOLOGICAL	PROSE	CHD+AL	LEARNED_COMPONENT_RECIPE	POSTENWECHSEL ODER UMSETZEN · AUFNAHME- ODER ANSCHLUSSSTELLE	Stationsposten wechseln · Becken- oder Anschlussstelle		1	f83r	setze den Stationsposten um; an der Becken- oder Anschlussstelle
P910-D0053	chdy	BIOLOGICAL	PROSE	CHD+Y	LEARNED_COMPONENT_RECIPE	POSTENWECHSEL ODER UMSETZEN · AKTUELLER POSTEN ODER BEZUG	Stationsposten wechseln · aktueller Stationsposten		6	f75r|f81v|f82r|f83r	setze den Stationsposten um; mit dem aktuellen Posten oder Bezug
P910-D0054	cheal	BIOLOGICAL	PROSE	AL	LEARNED_COMPONENT_RECIPE	AUFNAHME- ODER ANSCHLUSSSTELLE	Becken- oder Anschlussstelle		1	f82r	an der Becken- oder Anschlussstelle
P910-D0055	chealror	BIOLOGICAL	PROSE	AL+R+OR	LEARNED_COMPONENT_RECIPE	AUFNAHME- ODER ANSCHLUSSSTELLE · MARKIERTER ZUSTAND · ANSATZ ODER ZUBEREITUNG	Becken- oder Anschlussstelle · lokaler Zustand · Arbeitsansatz		1	f83r	an der Becken- oder Anschlussstelle; setze den markierten Zustand; mit dem Arbeitsansatz
