order	component	portable_value_de	apprentice_rule_de
1	AIIN	VORGESCHRIEBENES MASS	Lies AIIN zuerst als VORGESCHRIEBENES MASS; setze erst danach den Bildregisterwert ein.
2	AIN	PORTION ODER EINHEIT	Lies AIN zuerst als PORTION ODER EINHEIT; setze erst danach den Bildregisterwert ein.
3	AIR	LAUF ODER BAHN	Lies AIR zuerst als LAUF ODER BAHN; setze erst danach den Bildregisterwert ein.
4	AL	AUFNAHME- ODER ANSCHLUSSSTELLE	Lies AL zuerst als AUFNAHME- ODER ANSCHLUSSSTELLE; setze erst danach den Bildregisterwert ein.
5	AR	AUSGANGS- ODER ENTNAHMESTELLE	Lies AR zuerst als AUSGANGS- ODER ENTNAHMESTELLE; setze erst danach den Bildregisterwert ein.
6	CKH	DURCHLASS ODER VERBINDUNGSWEG	Lies CKH zuerst als DURCHLASS ODER VERBINDUNGSWEG; setze erst danach den Bildregisterwert ein.
7	DY	LIZENZIERTER ABSCHLUSS	Lies DY zuerst als LIZENZIERTER ABSCHLUSS; setze erst danach den Bildregisterwert ein.
8	E	KURZER GRAD	Lies E zuerst als KURZER GRAD; setze erst danach den Bildregisterwert ein.
9	EE	LAENGERER GRAD	Lies EE zuerst als LAENGERER GRAD; setze erst danach den Bildregisterwert ein.
10	EEE	VOLLER GRAD	Lies EEE zuerst als VOLLER GRAD; setze erst danach den Bildregisterwert ein.
11	IIN	STUFE ODER INDEX	Lies IIN zuerst als STUFE ODER INDEX; setze erst danach den Bildregisterwert ein.
12	L	LEITEN ODER VERBINDEN	Lies L zuerst als LEITEN ODER VERBINDEN; setze erst danach den Bildregisterwert ein.
13	OL	FORTSETZEN	Lies OL zuerst als FORTSETZEN; setze erst danach den Bildregisterwert ein.
14	OT	DANACH ODER NAECHSTE STELLE	Lies OT zuerst als DANACH ODER NAECHSTE STELLE; setze erst danach den Bildregisterwert ein.
15	Y	AKTUELLER POSTEN ODER BEZUG	Lies Y zuerst als AKTUELLER POSTEN ODER BEZUG; setze erst danach den Bildregisterwert ein.
