group_ordinal	gdt575_duplicate_group_id	event_id	statement_id	physical_page	register	surface	final_context_recipe	repeat_root	repeat_scope	slot_count	slot_positions_zero_based	intervening_atom_sequences	attachment_topology	topology_short	head_identity_sequence	placement_sequence	assignment_source_sequence	renderer_route	renderer_ready	renderer_history_conflict	current_clause_de	recommended_voice_pattern	guard
1	GDT575-D005	G407-E0217	G407-S008	f10r	HERBAL	octhody	O+CH+T+O+D_ADDR+Y	O	PLAIN	2	0+3	CH+T	DISTINCT_ACTION_OCCURRENCES	D	ACTION:G407-E0217@1:CH | ACTION:G407-E0217@2:T	PRE_HEAD+POST_HEAD	EXPLORATORY_NEAREST_VISIBLE_ACTION+EXPLORATORY_NEAREST_VISIBLE_ACTION	EXPLICIT_ORDERED_HEAD_TRACE__NO_TWICE_COMPRESSION	YES	NO	Nimm den Pflanzenposten und stelle ihn ein; als Ausführung und als Ausführung; an der D-Stelle.	Jeden Slot beim eigenen Kopf aussprechen; Grade dürfen lokal in beide Verbrahmen einrücken.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
2	GDT575-D006	G407-E0315	G407-S011	f11r	HERBAL	socthody	S+O+CH+T+O+D_ADDR+Y	O	PLAIN	2	1+4	CH+T	DISTINCT_ACTION_OCCURRENCES	D	ACTION:G407-E0315@0:S | ACTION:G407-E0315@3:T	POST_HEAD+POST_HEAD	EXPLORATORY_NEAREST_VISIBLE_ACTION+EXPLORATORY_NEAREST_VISIBLE_ACTION	EXPLICIT_ORDERED_HEAD_TRACE__NO_TWICE_COMPRESSION	YES	NO	Wähle den Pflanzenposten, nimm ihn und stelle ihn ein; als Ausführung und als Ausführung; an der D-Stelle.	Jeden Slot beim eigenen Kopf aussprechen; Grade dürfen lokal in beide Verbrahmen einrücken.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
3	GDT575-D007	G407-E0333	G407-S011	f11r	HERBAL	dod	D_ADDR+O+D_ADDR	D_ADDR	PLAIN	2	0+2	O	ACTIVE_CONTEXT_HEAD	C	ACTION:G407-E0331@0:CH | ACTION:G407-E0331@0:CH	ACTIVE_CONTEXT+ACTIVE_CONTEXT	EXPLORATORY_ACTIVE_CONTEXT_HEAD+EXPLORATORY_ACTIVE_CONTEXT_HEAD	EXPLICIT_ORDERED_HEAD_TRACE__NO_TWICE_COMPRESSION	YES	NO	Im laufenden Gang nimm denselben Arbeitswert; als Ausführung; an der D-Stelle und an der D-Stelle.	Den aktiven Kopf nennen und darunter die vollständige Slotfolge sprechen.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
4	GDT575-D008	G407-E0400	G407-S012	f13r	HERBAL	shorodo	SH+OR+O+D_ADDR+O	O	PLAIN	2	2+4	D_ADDR	SAME_HEAD_SAME_SIDE	U	ACTION:G407-E0400@0:SH | ACTION:G407-E0400@0:SH	POST_HEAD+POST_HEAD	EXPLORATORY_NEAREST_VISIBLE_ACTION+EXPLORATORY_NEAREST_VISIBLE_ACTION	EXPLICIT_ORDERED_HEAD_TRACE__NO_TWICE_COMPRESSION	YES	NO	Halte die Arbeitseinheit; als Ausführung und als Ausführung; an der D-Stelle.	Ein Kopfbündel bilden, die beiden geschriebenen Slots aber in Rohreihenfolge nennen.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
5	GDT575-D011	G407-E0491	G407-S023	f17r	HERBAL	cheteg	CH+E+T+E+LOCAL_CHAR_G	E	PLAIN	2	1+3	T	DISTINCT_ACTION_OCCURRENCES	D	ACTION:G407-E0491@0:CH | ACTION:G407-E0491@2:T	POST_HEAD+POST_HEAD	GDT407_FIXED_FOCUS_ATTACHMENT+GDT407_FIXED_FOCUS_ATTACHMENT	INLINE_GRADE_AT_EACH_DISTINCT_HEAD	YES	NO	Nimm denselben Pflanzenposten und stelle ihn ein; auf Grad I und auf Grad I; mit der g-Variante.	Jeden Slot beim eigenen Kopf aussprechen; Grade dürfen lokal in beide Verbrahmen einrücken.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
6	GDT575-D012	G407-E0522	G407-S026	f18r	HERBAL	darod	D_ADDR+AR+O+D_ADDR	D_ADDR	PLAIN	2	0+3	AR+O	ACTIVE_CONTEXT_HEAD	C	ACTION:G407-E0521@2:R | ACTION:G407-E0521@2:R	ACTIVE_CONTEXT+ACTIVE_CONTEXT	EXPLORATORY_ACTIVE_CONTEXT_HEAD+EXPLORATORY_ACTIVE_CONTEXT_HEAD	EXPLICIT_ORDERED_HEAD_TRACE__NO_TWICE_COMPRESSION	YES	NO	Im laufenden Gang markiere; vom Ausgangsmaterial; als Ausführung; an der D-Stelle und an der D-Stelle.	Den aktiven Kopf nennen und darunter die vollständige Slotfolge sprechen.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
7	GDT575-D013	G407-E0607	G407-S030	f24v	HERBAL	opom	O+P+O+AM_ADDR	O	PLAIN	2	0+2	P	BRACKETING_SAME_HEAD	B	ACTION:G407-E0607@1:P | ACTION:G407-E0607@1:P	PRE_HEAD+POST_HEAD	EXPLORATORY_NEAREST_VISIBLE_ACTION+EXPLORATORY_NEAREST_VISIBLE_ACTION	EXPLICIT_ORDERED_HEAD_TRACE__NO_TWICE_COMPRESSION	YES	NO	Setze denselben Pflanzenposten ein; als Ausführung und als Ausführung; an der AM-Stelle.	Beide Seiten des Kopfes sichtbar halten: X vor A und erneut X nach A.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
8	GDT575-D014	G407-E0610	G407-S030	f24v	HERBAL	opshody	O+P+SH+O+DY	O	PLAIN	2	0+3	P+SH	DISTINCT_ACTION_OCCURRENCES	D	ACTION:G407-E0610@1:P | ACTION:G407-E0610@2:SH	PRE_HEAD+POST_HEAD	EXPLORATORY_NEAREST_VISIBLE_ACTION+EXPLORATORY_NEAREST_VISIBLE_ACTION	EXPLICIT_ORDERED_HEAD_TRACE__NO_TWICE_COMPRESSION	YES	NO	Setze denselben Pflanzenposten ein und halte ihn; als Ausführung und als Ausführung; schließe den Schritt.	Jeden Slot beim eigenen Kopf aussprechen; Grade dürfen lokal in beide Verbrahmen einrücken.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
9	GDT575-D015	G407-E0628	G407-S031	f24v	HERBAL	oesearies	O+E+S+E+AR+LOCAL_CHAR_I+E+S	E	PLAIN	3	1+3+6	S|AR+LOCAL_CHAR_I	DISTINCT_ACTION_OCCURRENCES	D	ACTION:G407-E0628@2:S | ACTION:G407-E0628@2:S | ACTION:G407-E0628@7:S	PRE_HEAD+POST_HEAD+PRE_HEAD	GDT407_FIXED_FOCUS_ATTACHMENT+GDT407_FIXED_FOCUS_ATTACHMENT+GDT407_FIXED_FOCUS_ATTACHMENT	INLINE_GRADE_AT_EACH_DISTINCT_HEAD	YES	NO	Wähle denselben Pflanzenposten und wähle ihn; vom Ausgangsmaterial; als Ausführung, auf Grad I, auf Grad I und auf Grad I; mit der i-Variante.	Jeden Slot beim eigenen Kopf aussprechen; Grade dürfen lokal in beide Verbrahmen einrücken.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
10	GDT575-D016	G407-E0664	G407-S032	f24v	HERBAL	qodom	CARRIER_Q+O+D_ADDR+O+AM_ADDR	O	PLAIN	2	1+3	D_ADDR	ACTIVE_CONTEXT_HEAD	C	ACTION:G407-E0663@0:CH | ACTION:G407-E0663@0:CH	ACTIVE_CONTEXT+ACTIVE_CONTEXT	EXPLORATORY_ACTIVE_CONTEXT_HEAD+EXPLORATORY_ACTIVE_CONTEXT_HEAD	EXPLICIT_ORDERED_HEAD_TRACE__NO_TWICE_COMPRESSION	YES	NO	Im laufenden Gang nimm denselben Arbeitswert; als neuen Einsatz, als Ausführung und als Ausführung; an der D-Stelle und an der AM-Stelle.	Den aktiven Kopf nennen und darunter die vollständige Slotfolge sprechen.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
