slot_ordinal	gdt575_duplicate_group_id	event_id	statement_id	physical_page	register	surface	final_context_recipe	repeat_root	repeat_scope	slot_occurrence_in_group	slot_atom_position_zero_based	repeat_marker_candidate	assignment_source	selector_rule	source_geometry	head_kind	head_event_id	head_atom_position_zero_based	head_root	head_identity	placement	duplicate_mode	duplicate_role	renderer_history_conflict	guard
1	GDT575-D005	G407-E0217	G407-S008	f10r	HERBAL	octhody	O+CH+T+O+D_ADDR+Y	O	PLAIN	1	0	FIRST_FULL	EXPLORATORY_NEAREST_VISIBLE_ACTION	VISIBLE_ACTION_INSIDE_OT_OL_DY_INTERVAL	SAME_CARRIER_DISTANCE_MINIMUM__LEFT_TIE	ACTION	G407-E0217	1	CH	ACTION:G407-E0217@1:CH	PRE_HEAD	ANALYTICAL_REPEAT_SLOT	CANDIDATE_LOCAL_HEAD	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
2	GDT575-D005	G407-E0217	G407-S008	f10r	HERBAL	octhody	O+CH+T+O+D_ADDR+Y	O	PLAIN	2	3	ERNEUT	EXPLORATORY_NEAREST_VISIBLE_ACTION	VISIBLE_ACTION_INSIDE_OT_OL_DY_INTERVAL	SAME_CARRIER_DISTANCE_MINIMUM__LEFT_TIE	ACTION	G407-E0217	2	T	ACTION:G407-E0217@2:T	POST_HEAD	ANALYTICAL_REPEAT_SLOT	CANDIDATE_LOCAL_HEAD	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
3	GDT575-D006	G407-E0315	G407-S011	f11r	HERBAL	socthody	S+O+CH+T+O+D_ADDR+Y	O	PLAIN	1	1	FIRST_FULL	EXPLORATORY_NEAREST_VISIBLE_ACTION	VISIBLE_ACTION_INSIDE_OT_OL_DY_INTERVAL	SAME_CARRIER_DISTANCE_MINIMUM__LEFT_TIE	ACTION	G407-E0315	0	S	ACTION:G407-E0315@0:S	POST_HEAD	ANALYTICAL_REPEAT_SLOT	CANDIDATE_LOCAL_HEAD	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
4	GDT575-D006	G407-E0315	G407-S011	f11r	HERBAL	socthody	S+O+CH+T+O+D_ADDR+Y	O	PLAIN	2	4	ERNEUT	EXPLORATORY_NEAREST_VISIBLE_ACTION	VISIBLE_ACTION_INSIDE_OT_OL_DY_INTERVAL	SAME_CARRIER_DISTANCE_MINIMUM__LEFT_TIE	ACTION	G407-E0315	3	T	ACTION:G407-E0315@3:T	POST_HEAD	ANALYTICAL_REPEAT_SLOT	CANDIDATE_LOCAL_HEAD	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
5	GDT575-D007	G407-E0333	G407-S011	f11r	HERBAL	dod	D_ADDR+O+D_ADDR	D_ADDR	PLAIN	1	0	FIRST_FULL	EXPLORATORY_ACTIVE_CONTEXT_HEAD	SAME_PAGE_AND_OWNER_ACTIVE_HEAD	OWNER_ACTIVE_ACTION_CONTEXT	ACTION	G407-E0331	0	CH	ACTION:G407-E0331@0:CH	ACTIVE_CONTEXT	ANALYTICAL_REPEAT_SLOT	CANDIDATE_CONTEXT_HEAD	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
6	GDT575-D007	G407-E0333	G407-S011	f11r	HERBAL	dod	D_ADDR+O+D_ADDR	D_ADDR	PLAIN	2	2	WIEDER	EXPLORATORY_ACTIVE_CONTEXT_HEAD	SAME_PAGE_AND_OWNER_ACTIVE_HEAD	OWNER_ACTIVE_ACTION_CONTEXT	ACTION	G407-E0331	0	CH	ACTION:G407-E0331@0:CH	ACTIVE_CONTEXT	ANALYTICAL_REPEAT_SLOT	CANDIDATE_CONTEXT_HEAD	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
7	GDT575-D008	G407-E0400	G407-S012	f13r	HERBAL	shorodo	SH+OR+O+D_ADDR+O	O	PLAIN	1	2	FIRST_FULL	EXPLORATORY_NEAREST_VISIBLE_ACTION	VISIBLE_ACTION_INSIDE_OT_OL_DY_INTERVAL	SAME_CARRIER_DISTANCE_MINIMUM__LEFT_TIE	ACTION	G407-E0400	0	SH	ACTION:G407-E0400@0:SH	POST_HEAD	ANALYTICAL_REPEAT_SLOT	CANDIDATE_LOCAL_HEAD	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
8	GDT575-D008	G407-E0400	G407-S012	f13r	HERBAL	shorodo	SH+OR+O+D_ADDR+O	O	PLAIN	2	4	ERNEUT	EXPLORATORY_NEAREST_VISIBLE_ACTION	VISIBLE_ACTION_INSIDE_OT_OL_DY_INTERVAL	SAME_CARRIER_DISTANCE_MINIMUM__LEFT_TIE	ACTION	G407-E0400	0	SH	ACTION:G407-E0400@0:SH	POST_HEAD	ANALYTICAL_REPEAT_SLOT	CANDIDATE_LOCAL_HEAD	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
9	GDT575-D011	G407-E0491	G407-S023	f17r	HERBAL	cheteg	CH+E+T+E+LOCAL_CHAR_G	E	PLAIN	1	1	FIRST_FULL	GDT407_FIXED_FOCUS_ATTACHMENT	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ACTION	G407-E0491	0	CH	ACTION:G407-E0491@0:CH	POST_HEAD	SINGLE	SINGLE	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
10	GDT575-D011	G407-E0491	G407-S023	f17r	HERBAL	cheteg	CH+E+T+E+LOCAL_CHAR_G	E	PLAIN	2	3	ERNEUT	GDT407_FIXED_FOCUS_ATTACHMENT	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ACTION	G407-E0491	2	T	ACTION:G407-E0491@2:T	POST_HEAD	SINGLE	SINGLE	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
