event_profile_ordinal	event_id	statement_id	physical_page	register	surface	final_context_recipe	duplicate_group_ids	repeat_roots	attachment_topologies	ordered_slot_head_trace	overlapping_group_count	renderer_ready	current_clause_de	next_voice_instruction	guard
1	G407-E0217	G407-S008	f10r	HERBAL	octhody	O+CH+T+O+D_ADDR+Y	GDT575-D005	O	DISTINCT_ACTION_OCCURRENCES	p0:O→ACTION:G407-E0217@1:CH[PRE_HEAD] | p3:O→ACTION:G407-E0217@2:T[POST_HEAD]	1	YES	Nimm den Pflanzenposten und stelle ihn ein; als Ausführung und als Ausführung; an der D-Stelle.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
2	G515-E0239	G515-S023	f31r	HERBAL	qoekedy	CARRIER_Q+O+E+K+E+DY	GDT575-D091	E	BRACKETING_SAME_HEAD	p2:E→ACTION:G515-E0239@3:K[PRE_HEAD] | p4:E→ACTION:G515-E0239@3:K[POST_HEAD]	1	YES	Gib dieselbe Arbeitseinheit zu; als neuen Einsatz, als Ausführung, auf Grad I und auf Grad I; schließe den Schritt.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
3	G407-E0315	G407-S011	f11r	HERBAL	socthody	S+O+CH+T+O+D_ADDR+Y	GDT575-D006	O	DISTINCT_ACTION_OCCURRENCES	p1:O→ACTION:G407-E0315@0:S[POST_HEAD] | p4:O→ACTION:G407-E0315@3:T[POST_HEAD]	1	YES	Wähle den Pflanzenposten, nimm ihn und stelle ihn ein; als Ausführung und als Ausführung; an der D-Stelle.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
4	G407-E0333	G407-S011	f11r	HERBAL	dod	D_ADDR+O+D_ADDR	GDT575-D007	D_ADDR	ACTIVE_CONTEXT_HEAD	p0:D_ADDR→ACTION:G407-E0331@0:CH[ACTIVE_CONTEXT] | p2:D_ADDR→ACTION:G407-E0331@0:CH[ACTIVE_CONTEXT]	1	YES	Im laufenden Gang nimm denselben Arbeitswert; als Ausführung; an der D-Stelle und an der D-Stelle.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
5	G407-E0400	G407-S012	f13r	HERBAL	shorodo	SH+OR+O+D_ADDR+O	GDT575-D008	O	SAME_HEAD_SAME_SIDE	p2:O→ACTION:G407-E0400@0:SH[POST_HEAD] | p4:O→ACTION:G407-E0400@0:SH[POST_HEAD]	1	YES	Halte die Arbeitseinheit; als Ausführung und als Ausführung; an der D-Stelle.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
6	G407-E0491	G407-S023	f17r	HERBAL	cheteg	CH+E+T+E+LOCAL_CHAR_G	GDT575-D011	E	DISTINCT_ACTION_OCCURRENCES	p1:E→ACTION:G407-E0491@0:CH[POST_HEAD] | p3:E→ACTION:G407-E0491@2:T[POST_HEAD]	1	YES	Nimm denselben Pflanzenposten und stelle ihn ein; auf Grad I und auf Grad I; mit der g-Variante.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
7	G407-E0522	G407-S026	f18r	HERBAL	darod	D_ADDR+AR+O+D_ADDR	GDT575-D012	D_ADDR	ACTIVE_CONTEXT_HEAD	p0:D_ADDR→ACTION:G407-E0521@2:R[ACTIVE_CONTEXT] | p3:D_ADDR→ACTION:G407-E0521@2:R[ACTIVE_CONTEXT]	1	YES	Im laufenden Gang markiere; vom Ausgangsmaterial; als Ausführung; an der D-Stelle und an der D-Stelle.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
8	G515-E0525	G515-S067	f66r	SOURCE_SECTION_T	oteochey	OT+E+O+CH+E+Y	GDT575-D096	E	BRACKETING_SAME_HEAD	p1:E→ACTION:G515-E0525@3:CH[PRE_HEAD] | p4:E→ACTION:G515-E0525@3:CH[POST_HEAD]	1	YES	Danach: entnimm den laufenden Eintrag; auf Grad I, als Ausführung und auf Grad I.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
9	G407-E0607	G407-S030	f24v	HERBAL	opom	O+P+O+AM_ADDR	GDT575-D013	O	BRACKETING_SAME_HEAD	p0:O→ACTION:G407-E0607@1:P[PRE_HEAD] | p2:O→ACTION:G407-E0607@1:P[POST_HEAD]	1	YES	Setze denselben Pflanzenposten ein; als Ausführung und als Ausführung; an der AM-Stelle.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
10	G407-E0610	G407-S030	f24v	HERBAL	opshody	O+P+SH+O+DY	GDT575-D014	O	DISTINCT_ACTION_OCCURRENCES	p0:O→ACTION:G407-E0610@1:P[PRE_HEAD] | p3:O→ACTION:G407-E0610@2:SH[POST_HEAD]	1	YES	Setze denselben Pflanzenposten ein und halte ihn; als Ausführung und als Ausführung; schließe den Schritt.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
11	G407-E0628	G407-S031	f24v	HERBAL	oesearies	O+E+S+E+AR+LOCAL_CHAR_I+E+S	GDT575-D015	E	DISTINCT_ACTION_OCCURRENCES	p1:E→ACTION:G407-E0628@2:S[PRE_HEAD] | p3:E→ACTION:G407-E0628@2:S[POST_HEAD] | p6:E→ACTION:G407-E0628@7:S[PRE_HEAD]	1	YES	Wähle denselben Pflanzenposten und wähle ihn; vom Ausgangsmaterial; als Ausführung, auf Grad I, auf Grad I und auf Grad I; mit der i-Variante.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
12	G407-E0664	G407-S032	f24v	HERBAL	qodom	CARRIER_Q+O+D_ADDR+O+AM_ADDR	GDT575-D016	O	ACTIVE_CONTEXT_HEAD	p1:O→ACTION:G407-E0663@0:CH[ACTIVE_CONTEXT] | p3:O→ACTION:G407-E0663@0:CH[ACTIVE_CONTEXT]	1	YES	Im laufenden Gang nimm denselben Arbeitswert; als neuen Einsatz, als Ausführung und als Ausführung; an der D-Stelle und an der AM-Stelle.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
13	G407-E0736	G407-S036	f55v	HERBAL	sheokey	SH+E+OK+E+Y	GDT575-D021	E	DISTINCT_ACTION_OCCURRENCES	p1:E→ACTION:G407-E0736@0:SH[POST_HEAD] | p3:E→ACTION:G407-E0736@2:OK[POST_HEAD]	1	YES	Halte den Pflanzenposten und setze ihn im Arbeitsgang an; auf Grad I und auf Grad I.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
14	G407-E0802	G407-S038	f56r	HERBAL	esedy	E+S+E+DY	GDT575-D022	E	BRACKETING_SAME_HEAD	p0:E→ACTION:G407-E0802@1:S[PRE_HEAD] | p2:E→ACTION:G407-E0802@1:S[POST_HEAD]	1	YES	Wähle denselben Pflanzenposten; auf Grad I und auf Grad I; schließe den Schritt.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
