crossing_order	statement_id	from_event	to_event	from_locus	to_locus	from_surface	to_surface	crossing_type	read_rule_de
1	H5-S001	E077	E078	f56r.5	f56r.7	daiin	sho	ORDINARY_CONTINUATION_ACROSS_PHYSICAL_LINE	ohne Satzschluss in der nächsten physischen Zeile weiterlesen
2	B1-S002	E112	E113	f81v.2	f81v.7	dl	olor	ORDINARY_CONTINUATION_ACROSS_PHYSICAL_LINE	ohne Satzschluss in der nächsten physischen Zeile weiterlesen
3	B1-S003	E121	E122	f81v.7	f81v.17	qol	sshkchdy	ORDINARY_CONTINUATION_ACROSS_PHYSICAL_LINE	ohne Satzschluss in der nächsten physischen Zeile weiterlesen
4	B1-S018	E159	E160	f81v.24	f81v.27	ly	dsheol	ORDINARY_CONTINUATION_ACROSS_PHYSICAL_LINE	ohne Satzschluss in der nächsten physischen Zeile weiterlesen
5	B2-S004	E174	E175	f82r.2	f82r.3	lched	qokeey	ORDINARY_CONTINUATION_ACROSS_PHYSICAL_LINE	ohne Satzschluss in der nächsten physischen Zeile weiterlesen
6	B2-S005	E180	E181	f82r.3	f82r.4	qokaiin	qokaiin	READ_ONCE_ANTICIPATION_OR_CARRY	zwei sichtbare Kopien, ein Quelltoken; zweite Kopie am neuen Zeilenanfang nicht erneut lesen
7	B2-S012	E202	E203	f82r.19	f82r.23	lchy	cheey	VISIBLE_OWNER_RESET_INSIDE_RUNNING_STATEMENT	Aussage läuft weiter, aber der sichtbare lokale Besitzer wird neu gesetzt
8	B2-S016	E220	E221	f82r.26	f82r.27	okey	pchedy	ORDINARY_CONTINUATION_ACROSS_PHYSICAL_LINE	ohne Satzschluss in der nächsten physischen Zeile weiterlesen
9	B3-S016	E263	E264	f83r.11	f83r.14	lo	qokchedy	VISIBLE_OWNER_RESET_INSIDE_RUNNING_STATEMENT	Aussage läuft weiter, aber der sichtbare lokale Besitzer wird neu gesetzt
10	B3-S021	E273	E274	f83r.14	f83r.15	sy	saiin	ORDINARY_CONTINUATION_ACROSS_PHYSICAL_LINE	ohne Satzschluss in der nächsten physischen Zeile weiterlesen
11	B3-S026	E290	E291	f83r.16	f83r.20	chealror	solkeedy	VISIBLE_OWNER_RESET_INSIDE_RUNNING_STATEMENT	Aussage läuft weiter, aber der sichtbare lokale Besitzer wird neu gesetzt
12	B3-S030	E299	E300	f83r.20	f83r.22	saiin	schedair	ORDINARY_CONTINUATION_ACROSS_PHYSICAL_LINE	ohne Satzschluss in der nächsten physischen Zeile weiterlesen
13	B4-S003	E320	E321	f83r.25	f83r.26	otal	otchey	ORDINARY_CONTINUATION_ACROSS_PHYSICAL_LINE	ohne Satzschluss in der nächsten physischen Zeile weiterlesen
14	B4-S011	E342	E343	f83r.35	f83r.37	chdy	sol	ORDINARY_CONTINUATION_ACROSS_PHYSICAL_LINE	ohne Satzschluss in der nächsten physischen Zeile weiterlesen
15	B4-S015	E355	E356	f83r.39	f83r.41	chckhal	solkey	VISIBLE_OWNER_RESET_INSIDE_RUNNING_STATEMENT	Aussage läuft weiter, aber der sichtbare lokale Besitzer wird neu gesetzt
16	B4-S016	E359	E360	f83r.41	f83r.44	dal	skar	ORDINARY_CONTINUATION_ACROSS_PHYSICAL_LINE	ohne Satzschluss in der nächsten physischen Zeile weiterlesen
17	B5-S003	E364	E365	f83r.47	f83r.48	shedal	dal	ORDINARY_CONTINUATION_ACROSS_PHYSICAL_LINE	ohne Satzschluss in der nächsten physischen Zeile weiterlesen
18	B5-S003	E369	E370	f83r.48	f83r.49	aiin	sol	ORDINARY_CONTINUATION_ACROSS_PHYSICAL_LINE	ohne Satzschluss in der nächsten physischen Zeile weiterlesen
19	B6-S001	E376	E377	f83r.52	f83r.54	ol	daiin	ORDINARY_CONTINUATION_ACROSS_PHYSICAL_LINE	ohne Satzschluss in der nächsten physischen Zeile weiterlesen
