event_id	source_token_id	record_unit_id	page	locus	field_id	statement_id	visible_surface	family_parse	terminal_status	surface_end_class	endpoint_scope	card_boundary_after	field_boundary_after	statement_boundary_after	record_boundary_after	line_crossing_to_next_inside_statement	reading_rule_de
E001	SRC_E001	H1	f10r	f10r.2	F001	H1-S001	dchey	WHOLE_SIGN[dchey]	NONCLOSE	VISIBLE_Y_END	CARD_END_ONLY__CONTINUE_STATEMENT	YES	NO	NO	NO	NO	Die registrierte Ganzkarte entscheidet Y/DY-Reichweite; sichtbare Endbuchstaben allein entscheiden nichts.
E002	SRC_E002	H1	f10r	f10r.2	F001	H1-S001	cthoor	OR+CTH	NONCLOSE	OTHER_VISIBLE_END	CARD_END_ONLY__CONTINUE_STATEMENT	YES	NO	NO	NO	NO	Die registrierte Ganzkarte entscheidet Y/DY-Reichweite; sichtbare Endbuchstaben allein entscheiden nichts.
E003	SRC_E003	H1	f10r	f10r.2	F001	H1-S001	char	AR	NONCLOSE	OTHER_VISIBLE_END	CARD_END_ONLY__CONTINUE_STATEMENT	YES	NO	NO	NO	NO	Die registrierte Ganzkarte entscheidet Y/DY-Reichweite; sichtbare Endbuchstaben allein entscheiden nichts.
E004	SRC_E004	H1	f10r	f10r.2	F001	H1-S001	chty	TY	NONCLOSE	VISIBLE_Y_END	CARD_END_ONLY__CONTINUE_STATEMENT	YES	NO	NO	NO	NO	Die registrierte Ganzkarte entscheidet Y/DY-Reichweite; sichtbare Endbuchstaben allein entscheiden nichts.
E005	SRC_E005	H1	f10r	f10r.2	F001	H1-S001	os	OS_RECEIVER	NONCLOSE	OTHER_VISIBLE_END	CARD_END_ONLY__CONTINUE_STATEMENT	YES	NO	NO	NO	NO	Die registrierte Ganzkarte entscheidet Y/DY-Reichweite; sichtbare Endbuchstaben allein entscheiden nichts.
E006	SRC_E006	H1	f10r	f10r.2	F001	H1-S001	chair	AIR+CH_POUR	NONCLOSE	OTHER_VISIBLE_END	CARD_END_ONLY__CONTINUE_STATEMENT	YES	NO	NO	NO	NO	Die registrierte Ganzkarte entscheidet Y/DY-Reichweite; sichtbare Endbuchstaben allein entscheiden nichts.
E007	SRC_E007	H1	f10r	f10r.2	F001	H1-S001	otytchol	OT+YTY_PART	NONCLOSE	OTHER_VISIBLE_END	CURRENT_ITEM_REFERENCE__NO_CLOSE	YES	NO	NO	NO	NO	Die registrierte Ganzkarte entscheidet Y/DY-Reichweite; sichtbare Endbuchstaben allein entscheiden nichts.
E008	SRC_E008	H1	f10r	f10r.2	F001	H1-S001	oky	OK+Y	NONCLOSE	VISIBLE_Y_END	CURRENT_ITEM_REFERENCE__NO_CLOSE	YES	NO	NO	NO	NO	Die registrierte Ganzkarte entscheidet Y/DY-Reichweite; sichtbare Endbuchstaben allein entscheiden nichts.
E009	SRC_E009	H1	f10r	f10r.2	F001	H1-S001	daiin	AIIN	NONCLOSE	OTHER_VISIBLE_END	CARD_END_ONLY__CONTINUE_STATEMENT	YES	NO	NO	NO	NO	Die registrierte Ganzkarte entscheidet Y/DY-Reichweite; sichtbare Endbuchstaben allein entscheiden nichts.
E010	SRC_E010	H1	f10r	f10r.2	F001	H1-S001	etyd	WHOLE_SIGN[etyd]	NONCLOSE	OTHER_VISIBLE_END	OPEN_STATEMENT_RELEASE__NO_COMMIT_CARD	YES	YES	YES	NO	NO	Die registrierte Ganzkarte entscheidet Y/DY-Reichweite; sichtbare Endbuchstaben allein entscheiden nichts.
E011	SRC_E011	H1	f10r	f10r.5	F002	H1-S002	qokchy	OK+Y	NONCLOSE	VISIBLE_Y_END	CURRENT_ITEM_REFERENCE__NO_CLOSE	YES	NO	NO	NO	NO	Die registrierte Ganzkarte entscheidet Y/DY-Reichweite; sichtbare Endbuchstaben allein entscheiden nichts.
E012	SRC_E012	H1	f10r	f10r.5	F002	H1-S002	qotchol	OL+OT	NONCLOSE	OTHER_VISIBLE_END	CARD_END_ONLY__CONTINUE_STATEMENT	YES	NO	NO	NO	NO	Die registrierte Ganzkarte entscheidet Y/DY-Reichweite; sichtbare Endbuchstaben allein entscheiden nichts.
E013	SRC_E013	H1	f10r	f10r.5	F002	H1-S002	chol	OL	NONCLOSE	OTHER_VISIBLE_END	CARD_END_ONLY__CONTINUE_STATEMENT	YES	NO	NO	NO	NO	Die registrierte Ganzkarte entscheidet Y/DY-Reichweite; sichtbare Endbuchstaben allein entscheiden nichts.
E014	SRC_E014	H1	f10r	f10r.5	F002	H1-S002	cthy	Y+CTH	NONCLOSE	VISIBLE_Y_END	OPEN_STATEMENT_RELEASE__NO_COMMIT_CARD	YES	YES	YES	YES	NO	Die registrierte Ganzkarte entscheidet Y/DY-Reichweite; sichtbare Endbuchstaben allein entscheiden nichts.
E015	SRC_E015	H2	f10r	f10r.6	F003	H2-S001	ycheor	OR+CHEO	NONCLOSE	OTHER_VISIBLE_END	CARD_END_ONLY__CONTINUE_STATEMENT	YES	NO	NO	NO	NO	Die registrierte Ganzkarte entscheidet Y/DY-Reichweite; sichtbare Endbuchstaben allein entscheiden nichts.
