field_id	record_unit_id	page	statement_id	event_count	first_event	last_event	last_surface	field_status	field_end_rule
F001	H1	f10r	H1-S001	10	E001	E010	etyd	OPEN_FIELD	field boundary without explicit commit
F002	H1	f10r	H1-S002	4	E011	E014	cthy	OPEN_FIELD	field boundary without explicit commit
F003	H2	f10r	H2-S001	9	E015	E023	shy	OPEN_FIELD	field boundary without explicit commit
F004	H2	f10r	H2-S002	8	E024	E031	dar	OPEN_FIELD	field boundary without explicit commit
F005	H2	f10r	H2-S003	7	E032	E038	chodaiin	OPEN_FIELD	field boundary without explicit commit
F006	H3	f11r	H3-S001	7	E039	E045	tchody	COMMITTED_FIELD	terminal card commits this field
F007	H3	f11r	H3-S002	1	E046	E046	shoyty	OPEN_FIELD	field boundary without explicit commit
F008	H3	f11r	H3-S003	5	E047	E051	daiin	OPEN_FIELD	field boundary without explicit commit
F009	H3	f11r	H3-S004	4	E052	E055	dy	OPEN_FIELD	field boundary without explicit commit
F010	H4	f55v	H4-S001	5	E056	E060	ody	COMMITTED_FIELD	terminal card commits this field
F011	H4	f55v	H4-S002	3	E061	E063	talam	COMMITTED_FIELD	terminal card commits this field
F012	H4	f55v	H4-S003	4	E064	E067	oldy	COMMITTED_FIELD	terminal card commits this field
F013	H4	f55v	H4-S004	6	E068	E073	orain	OPEN_FIELD	field boundary without explicit commit
F014	H5	f56r	H5-S001	4	E074	E077	daiin	OPEN_FIELD	field boundary without explicit commit
F015	H5	f56r	H5-S001	5	E078	E082	dal	OPEN_FIELD	field boundary without explicit commit
F016	H5	f56r	H5-S002	4	E083	E086	cheeckhody	COMMITTED_FIELD	terminal card commits this field
F017	H5	f56r	H5-S003	4	E087	E090	qokokchy	OPEN_FIELD	field boundary without explicit commit
F018	H5	f56r	H5-S004	3	E091	E093	kchal	OPEN_FIELD	field boundary without explicit commit
F019	H5	f56r	H5-S005	4	E094	E097	sotodan	OPEN_FIELD	field boundary without explicit commit
F020	H5	f56r	H5-S006	3	E098	E100	daiin	OPEN_FIELD	field boundary without explicit commit
