mode	page	record	locus	word	kind	identity	prior	state	prediction	verdict	rendering	row_status
I	f83r	F83_P1	f83r.1:1	tchedy	open	NA	NA	NA	NA	NA	⟦tchedy⟧	recorded
I	f83r	F83_P1	f83r.1:2	lpchedy	open	NA	NA	NA	NA	NA	⟦lpchedy⟧	recorded
I	f83r	F83_P1	f83r.1:3	opedy	open	NA	NA	NA	NA	NA	⟦opedy⟧	recorded
I	f83r	F83_P1	f83r.1:4	chepol	open	NA	NA	NA	NA	NA	⟦chepol⟧	recorded
I	f83r	F83_P1	f83r.1:5	pchedar	open	NA	NA	NA	NA	NA	⟦pchedar⟧	recorded
I	f83r	F83_P1	f83r.1:6	shedy	noun	A	NA	NEW	NA	NA	Flüssigkeit[A;NEW;vorher=NA]	recorded
I	f83r	F83_P1	f83r.1:7	qopchedy	open	NA	NA	NA	NA	NA	⟦qopchedy⟧	recorded
I	f83r	F83_P1	f83r.2:1	sol	open	NA	NA	NA	NA	NA	⟦sol⟧	recorded
I	f83r	F83_P1	f83r.2:2	cheey	open	NA	NA	NA	NA	NA	⟦cheey⟧	recorded
I	f83r	F83_P1	f83r.2:3	qokaiin	noun	B	NA	NEW	qokaiin	MATCH	Gefäß[B;NEW;vorher=NA]	recorded
I	f83r	F83_P1	f83r.2:4	shol	open	NA	NA	NA	NA	NA	⟦shol⟧	recorded
I	f83r	F83_P1	f83r.2:5	lchs	open	NA	NA	NA	NA	NA	⟦lchs⟧	recorded
I	f83r	F83_P1	f83r.2:6	shey	open	NA	NA	NA	NA	NA	⟦shey⟧	recorded
I	f83r	F83_P1	f83r.2:7	qoteedy	open	NA	NA	NA	NA	NA	⟦qoteedy⟧	recorded
I	f83r	F83_P1	f83r.2:8	rches	open	NA	NA	NA	NA	NA	⟦rches⟧	recorded
I	f83r	F83_P1	f83r.2:9	ar	open	NA	NA	NA	NA	NA	⟦ar⟧	recorded
I	f83r	F83_P1	f83r.2:10	chedy	action	NA	NA	NA	NA	NA	erwärme(Patient=A)	recorded
I	f83r	F83_P1	f83r.2:11	dor	open	NA	NA	NA	NA	NA	⟦dor⟧	recorded
I	f83r	F83_P1	f83r.3:1	olkeedy	open	NA	NA	NA	NA	NA	⟦olkeedy⟧	recorded
I	f83r	F83_P1	f83r.3:2	qotal	open	NA	NA	NA	NA	NA	⟦qotal⟧	recorded
I	f83r	F83_P1	f83r.3:3	chkeedy	open	NA	NA	NA	NA	NA	⟦chkeedy⟧	recorded
I	f83r	F83_P1	f83r.3:4	chey	open	NA	NA	NA	NA	NA	⟦chey⟧	recorded
I	f83r	F83_P1	f83r.3:5	daiin	open	NA	NA	NA	NA	NA	⟦daiin⟧	recorded
I	f83r	F83_P1	f83r.3:6	chey	open	NA	NA	NA	NA	NA	⟦chey⟧	recorded
I	f83r	F83_P1	f83r.3:7	lchedy	noun	C	NA	NEW	NA	NA	Zusatzstoff[C;NEW;vorher=NA]	recorded
I	f83r	F83_P1	f83r.3:8	qokaiin	noun	B	f83r.2:3	KNOWN	okaiin	CONTRADICTION	Gefäß[B;KNOWN;vorher=f83r.2:3]	recorded
I	f83r	F83_P1	f83r.3:9	qotal	open	NA	NA	NA	NA	NA	⟦qotal⟧	recorded
I	f83r	F83_P1	f83r.3:10	dar	open	NA	NA	NA	NA	NA	⟦dar⟧	recorded
I	f83r	F83_P1	f83r.4:1	qokshedy	open	NA	NA	NA	NA	NA	⟦qokshedy⟧	recorded
I	f83r	F83_P1	f83r.4:2	chedy	action	NA	NA	NA	NA	NA	erwärme(Patient=C)	recorded
I	f83r	F83_P1	f83r.4:3	qokedy	open	NA	NA	NA	NA	NA	⟦qokedy⟧	recorded
I	f83r	F83_P1	f83r.4:4	chkedy	open	NA	NA	NA	NA	NA	⟦chkedy⟧	recorded
I	f83r	F83_P1	f83r.4:5	daiin	open	NA	NA	NA	NA	NA	⟦daiin⟧	recorded
I	f83r	F83_P1	f83r.4:6	shetar	open	NA	NA	NA	NA	NA	⟦shetar⟧	recorded
I	f83r	F83_P1	f83r.4:7	shedy	noun	A	f83r.1:6	KNOWN	NA	NA	Flüssigkeit[A;KNOWN;vorher=f83r.1:6]	recorded
I	f83r	F83_P1	f83r.4:8	qekaiin	open	NA	NA	NA	NA	NA	⟦qekaiin⟧	recorded
I	f83r	F83_P1	f83r.4:9	chedy	action	NA	NA	NA	NA	NA	erwärme(Patient=A)	recorded
I	f83r	F83_P1	f83r.5:1	deey	open	NA	NA	NA	NA	NA	⟦deey⟧	recorded
I	f83r	F83_P1	f83r.5:2	qotaiin	open	NA	NA	NA	NA	NA	⟦qotaiin⟧	recorded
