mode	page	record	locus	word	kind	identity	prior	state	prediction	verdict	rendering	row_status
R	f83r	F83_P1	f83r.1:1	tchedy	open	NA	NA	NA	NA	NA	⟦tchedy⟧	recorded
R	f83r	F83_P1	f83r.1:2	lpchedy	open	NA	NA	NA	NA	NA	⟦lpchedy⟧	recorded
R	f83r	F83_P1	f83r.1:3	opedy	open	NA	NA	NA	NA	NA	⟦opedy⟧	recorded
R	f83r	F83_P1	f83r.1:4	chepol	open	NA	NA	NA	NA	NA	⟦chepol⟧	recorded
R	f83r	F83_P1	f83r.1:5	pchedar	open	NA	NA	NA	NA	NA	⟦pchedar⟧	recorded
R	f83r	F83_P1	f83r.1:6	shedy	noun	A	NA	NEW	NA	NA	Flüssigkeit[A;NEW;vorher=NA]	recorded
R	f83r	F83_P1	f83r.1:7	qopchedy	open	NA	NA	NA	NA	NA	⟦qopchedy⟧	recorded
R	f83r	F83_P1	f83r.2:1	sol	open	NA	NA	NA	NA	NA	⟦sol⟧	recorded
R	f83r	F83_P1	f83r.2:2	cheey	open	NA	NA	NA	NA	NA	⟦cheey⟧	recorded
R	f83r	F83_P1	f83r.2:3	qokaiin	noun	B	NA	NEW	okaiin	CONTRADICTION	Gefäß[B;NEW;vorher=NA]	recorded
R	f83r	F83_P1	f83r.2:4	shol	open	NA	NA	NA	NA	NA	⟦shol⟧	recorded
R	f83r	F83_P1	f83r.2:5	lchs	open	NA	NA	NA	NA	NA	⟦lchs⟧	recorded
R	f83r	F83_P1	f83r.2:6	shey	open	NA	NA	NA	NA	NA	⟦shey⟧	recorded
R	f83r	F83_P1	f83r.2:7	qoteedy	open	NA	NA	NA	NA	NA	⟦qoteedy⟧	recorded
R	f83r	F83_P1	f83r.2:8	rches	open	NA	NA	NA	NA	NA	⟦rches⟧	recorded
R	f83r	F83_P1	f83r.2:9	ar	open	NA	NA	NA	NA	NA	⟦ar⟧	recorded
R	f83r	F83_P1	f83r.2:10	chedy	action	NA	NA	NA	NA	NA	erwärme(Patient=A)	recorded
R	f83r	F83_P1	f83r.2:11	dor	open	NA	NA	NA	NA	NA	⟦dor⟧	recorded
R	f83r	F83_P1	f83r.3:1	olkeedy	open	NA	NA	NA	NA	NA	⟦olkeedy⟧	recorded
R	f83r	F83_P1	f83r.3:2	qotal	open	NA	NA	NA	NA	NA	⟦qotal⟧	recorded
R	f83r	F83_P1	f83r.3:3	chkeedy	open	NA	NA	NA	NA	NA	⟦chkeedy⟧	recorded
R	f83r	F83_P1	f83r.3:4	chey	open	NA	NA	NA	NA	NA	⟦chey⟧	recorded
R	f83r	F83_P1	f83r.3:5	daiin	open	NA	NA	NA	NA	NA	⟦daiin⟧	recorded
R	f83r	F83_P1	f83r.3:6	chey	open	NA	NA	NA	NA	NA	⟦chey⟧	recorded
R	f83r	F83_P1	f83r.3:7	lchedy	noun	C	NA	NEW	NA	NA	Zusatzstoff[C;NEW;vorher=NA]	recorded
R	f83r	F83_P1	f83r.3:8	qokaiin	noun	B	f83r.2:3	KNOWN	qokaiin	MATCH	Gefäß[B;KNOWN;vorher=f83r.2:3]	recorded
R	f83r	F83_P1	f83r.3:9	qotal	open	NA	NA	NA	NA	NA	⟦qotal⟧	recorded
R	f83r	F83_P1	f83r.3:10	dar	open	NA	NA	NA	NA	NA	⟦dar⟧	recorded
R	f83r	F83_P1	f83r.4:1	qokshedy	open	NA	NA	NA	NA	NA	⟦qokshedy⟧	recorded
R	f83r	F83_P1	f83r.4:2	chedy	action	NA	NA	NA	NA	NA	erwärme(Patient=C)	recorded
R	f83r	F83_P1	f83r.4:3	qokedy	open	NA	NA	NA	NA	NA	⟦qokedy⟧	recorded
R	f83r	F83_P1	f83r.4:4	chkedy	open	NA	NA	NA	NA	NA	⟦chkedy⟧	recorded
R	f83r	F83_P1	f83r.4:5	daiin	open	NA	NA	NA	NA	NA	⟦daiin⟧	recorded
R	f83r	F83_P1	f83r.4:6	shetar	open	NA	NA	NA	NA	NA	⟦shetar⟧	recorded
R	f83r	F83_P1	f83r.4:7	shedy	noun	A	f83r.1:6	KNOWN	NA	NA	Flüssigkeit[A;KNOWN;vorher=f83r.1:6]	recorded
R	f83r	F83_P1	f83r.4:8	qekaiin	open	NA	NA	NA	NA	NA	⟦qekaiin⟧	recorded
R	f83r	F83_P1	f83r.4:9	chedy	action	NA	NA	NA	NA	NA	erwärme(Patient=A)	recorded
R	f83r	F83_P1	f83r.5:1	deey	open	NA	NA	NA	NA	NA	⟦deey⟧	recorded
R	f83r	F83_P1	f83r.5:2	qotaiin	open	NA	NA	NA	NA	NA	⟦qotaiin⟧	recorded
R	f83r	F83_P1	f83r.5:3	checkhy	open	NA	NA	NA	NA	NA	⟦checkhy⟧	recorded
