mode	page	record	locus	word	kind	identity	prior	patient	patient_source	destination	destination_source	state	row_status
R	f83r	F83_P1	f83r.1:6	shedy	noun	A	NA	NA	NA	NA	NA	NEW	recorded
R	f83r	F83_P1	f83r.2:3	qokaiin	noun	B	NA	A	f83r.1:6	NA	NA	NEW	recorded
R	f83r	F83_P1	f83r.2:10	chedy	action	NA	NA	A	f83r.1:6	B	f83r.2:3	NA	recorded
R	f83r	F83_P1	f83r.3:7	lchedy	noun	C	NA	A	f83r.1:6	B	f83r.2:3	NEW	recorded
R	f83r	F83_P1	f83r.3:8	qokaiin	noun	B	f83r.2:3	C	f83r.3:7	B	f83r.2:3	KNOWN	recorded
R	f83r	F83_P1	f83r.4:2	chedy	action	NA	NA	C	f83r.3:7	B	f83r.3:8	NA	recorded
R	f83r	F83_P1	f83r.4:7	shedy	noun	A	f83r.1:6	C	f83r.3:7	B	f83r.3:8	KNOWN	recorded
R	f83r	F83_P1	f83r.4:9	chedy	action	NA	NA	A	f83r.4:7	B	f83r.3:8	NA	recorded
R	f83r	F83_P1	f83r.5:6	shedy	noun	A	f83r.4:7	A	f83r.4:7	B	f83r.3:8	KNOWN	recorded
R	f83r	F83_P1	f83r.6:5	qokaiin	noun	B	f83r.3:8	A	f83r.5:6	B	f83r.3:8	KNOWN	recorded
R	f83r	F83_P1	f83r.6:6	chedy	action	NA	NA	A	f83r.5:6	B	f83r.6:5	NA	recorded
R	f83r	F83_P1	f83r.6:7	qokeedy	action	A>B	NA	A	f83r.5:6	B	f83r.6:5	NEW	recorded
R	f83r	F83_P1	f83r.6:8	lchedy	noun	C	f83r.3:7	A	f83r.5:6	B	f83r.6:5	KNOWN	recorded
R	f83r	F83_P1	f83r.8:5	chedy	action	NA	NA	C	f83r.6:8	B	f83r.6:5	NA	recorded
R	f83r	F83_P2	f83r.11:2	shedy	noun	A	NA	NA	NA	NA	NA	NEW	recorded
R	f83r	F83_P2	f83r.11:3	qokaiin	noun	B	NA	A	f83r.11:2	NA	NA	NEW	recorded
R	f83r	F83_P2	f83r.11:9	lchedy	noun	C	NA	A	f83r.11:2	B	f83r.11:3	NEW	recorded
R	f83r	F83_P2	f83r.13:3	shedy	noun	A	f83r.11:2	C	f83r.11:9	B	f83r.11:3	KNOWN	recorded
R	f83r	F83_P2	f83r.14:2	qokeedy	action	A>B	NA	A	f83r.13:3	B	f83r.11:3	NEW	recorded
R	f83r	F83_P2	f83r.14:3	shedy	noun	A	f83r.13:3	A	f83r.13:3	B	f83r.11:3	KNOWN	recorded
R	f83r	F83_P2	f83r.14:6	lchedy	noun	C	f83r.11:9	A	f83r.14:3	B	f83r.11:3	KNOWN	recorded
R	f83r	F83_P2	f83r.14:7	qokaiin	noun	B	f83r.11:3	C	f83r.14:6	B	f83r.11:3	KNOWN	recorded
R	f83r	F83_P2	f83r.15:9	lchedy	noun	C	f83r.14:6	C	f83r.14:6	B	f83r.14:7	KNOWN	recorded
R	f83r	F83_P2	f83r.16:5	chedy	action	NA	NA	C	f83r.15:9	B	f83r.14:7	NA	recorded
R	f83r	F83_P3	f83r.18:4	shedy	noun	A	NA	NA	NA	NA	NA	NEW	recorded
R	f83r	F83_P3	f83r.19:6	shedy	noun	A	f83r.18:4	A	f83r.18:4	NA	NA	KNOWN	recorded
R	f83r	F83_P3	f83r.19:9	shedy	noun	A	f83r.19:6	A	f83r.19:6	NA	NA	KNOWN	recorded
R	f83r	F83_P3	f83r.19:11	lchedy	noun	C	NA	A	f83r.19:9	NA	NA	NEW	recorded
R	f83r	F83_P3	f83r.21:5	chedy	action	NA	NA	C	f83r.19:11	NA	NA	NA	recorded
R	f83r	F83_P3	f83r.22:3	qokeedy	action	NA	NA	C	f83r.19:11	NA	NA	UNRESOLVED	recorded
R	f83r	F83_P3	f83r.22:5	chedy	action	NA	NA	C	f83r.19:11	NA	NA	NA	recorded
R	f83r	F83_P3	f83r.23:4	shedy	noun	A	f83r.19:9	C	f83r.19:11	NA	NA	KNOWN	recorded
R	f83r	F83_P3	f83r.23:9	chedy	action	NA	NA	A	f83r.23:4	NA	NA	NA	recorded
R	f83r	F83_P3	f83r.24:6	shedy	noun	A	f83r.23:4	A	f83r.23:4	NA	NA	KNOWN	recorded
R	f83r	F83_P4	f83r.25:1	qokeedy	action	NA	NA	NA	NA	NA	NA	UNRESOLVED	recorded
R	f83r	F83_P4	f83r.25:5	chedy	action	NA	NA	NA	NA	NA	NA	NA	recorded
R	f83r	F83_P4	f83r.26:5	shedy	noun	A	NA	NA	NA	NA	NA	NEW	recorded
R	f83r	F83_P4	f83r.27:2	chedy	action	NA	NA	A	f83r.26:5	NA	NA	NA	recorded
R	f83r	F83_P4	f83r.27:3	qokeedy	action	NA	NA	A	f83r.26:5	NA	NA	UNRESOLVED	recorded
R	f83r	F83_P4	f83r.28:5	shedy	noun	A	f83r.26:5	A	f83r.26:5	NA	NA	KNOWN	recorded
R	f83r	F83_P4	f83r.30:2	okeedy	action	NA	NA	A	f83r.28:5	NA	NA	UNRESOLVED	recorded
R	f83r	F83_P4	f83r.30:3	qokeedy	action	NA	NA	A	f83r.28:5	NA	NA	UNRESOLVED	recorded
R	f83r	F83_P5	f83r.31:3	okeedy	action	NA	NA	NA	NA	NA	NA	UNRESOLVED	recorded
R	f83r	F83_P5	f83r.32:3	lchedy	noun	C	NA	NA	NA	NA	NA	NEW	recorded
R	f83r	F83_P5	f83r.34:2	lchedy	noun	C	f83r.32:3	C	f83r.32:3	NA	NA	KNOWN	recorded
R	f83r	F83_P5	f83r.37:3	lchedy	noun	C	f83r.34:2	C	f83r.34:2	NA	NA	KNOWN	recorded
