record	locus	word	N	R	L1	T0	destination	status	row_status
F83_P1	f83r.2:10	chedy	A	A	A	A	NA	COMPLETE	recorded
F83_P1	f83r.4:2	chedy	C	A	C	A	NA	COMPLETE	recorded
F83_P1	f83r.4:9	chedy	C	A	A	A	NA	COMPLETE	recorded
F83_P1	f83r.6:6	chedy	C	A	A	A	NA	COMPLETE	recorded
F83_P1	f83r.6:7	qokeedy	C	A	A	A	B	COMPLETE	recorded
F83_P1	f83r.8:5	chedy	C	C	C	A	NA	COMPLETE	recorded
F83_P2	f83r.14:2	qokeedy	C	A	A	A	B	COMPLETE	recorded
F83_P2	f83r.16:5	chedy	C	C	C	A	NA	COMPLETE	recorded
F83_P3	f83r.21:5	chedy	C	A	C	A	NA	COMPLETE	recorded
F83_P3	f83r.22:3	qokeedy	C	A	C	A	NA	MISSING_DESTINATION	recorded
F83_P3	f83r.22:5	chedy	C	A	C	A	NA	COMPLETE	recorded
F83_P3	f83r.23:9	chedy	C	A	A	A	NA	COMPLETE	recorded
F83_P4	f83r.25:1	qokeedy	NA	NA	NA	NA	NA	MISSING_PATIENT	recorded
F83_P4	f83r.25:5	chedy	NA	NA	NA	NA	NA	MISSING_PATIENT	recorded
F83_P4	f83r.27:2	chedy	A	A	A	A	NA	COMPLETE	recorded
F83_P4	f83r.27:3	qokeedy	A	A	A	A	NA	MISSING_DESTINATION	recorded
F83_P4	f83r.30:3	qokeedy	A	A	A	A	NA	MISSING_DESTINATION	recorded
F83_P5	f83r.42:5	chedy	A	C	C	C	NA	COMPLETE	recorded
F83_P5	f83r.43:3	chedy	A	C	C	C	NA	COMPLETE	recorded
F83_Q1	f83r.49:3	chedy	NA	NA	NA	NA	NA	MISSING_PATIENT	recorded
