mode	record	line	locus	word	slot	role	active_topic	topic_origin	block_id	row_status
N	F83_P1	f83r.1	f83r.1:6	shedy	A	INITIAL_TOPIC	A	f83r.1:6	N:f83r.1:6	recorded
N	F83_P1	f83r.2	f83r.2:3	qokaiin	B	DESTINATION_INTRODUCTION	A	f83r.1:6	N:f83r.1:6	recorded
N	F83_P1	f83r.3	f83r.3:7	lchedy	C	NEW_TOPIC_SWITCH	C	f83r.3:7	N:f83r.3:7	recorded
N	F83_P1	f83r.3	f83r.3:8	qokaiin	B	DESTINATION_REPEAT	C	f83r.3:7	N:f83r.3:7	recorded
N	F83_P1	f83r.4	f83r.4:7	shedy	A	KNOWN_BACKGROUND	C	f83r.3:7	N:f83r.3:7	recorded
N	F83_P1	f83r.5	f83r.5:6	shedy	A	KNOWN_BACKGROUND	C	f83r.3:7	N:f83r.3:7	recorded
N	F83_P1	f83r.6	f83r.6:5	qokaiin	B	DESTINATION_REPEAT	C	f83r.3:7	N:f83r.3:7	recorded
N	F83_P1	f83r.6	f83r.6:8	lchedy	C	TOPIC_RESUMPTION	C	f83r.3:7	N:f83r.3:7	recorded
N	F83_P2	f83r.11	f83r.11:2	shedy	A	INITIAL_TOPIC	A	f83r.11:2	N:f83r.11:2	recorded
N	F83_P2	f83r.11	f83r.11:3	qokaiin	B	DESTINATION_INTRODUCTION	A	f83r.11:2	N:f83r.11:2	recorded
N	F83_P2	f83r.11	f83r.11:9	lchedy	C	NEW_TOPIC_SWITCH	C	f83r.11:9	N:f83r.11:9	recorded
N	F83_P2	f83r.13	f83r.13:3	shedy	A	KNOWN_BACKGROUND	C	f83r.11:9	N:f83r.11:9	recorded
N	F83_P2	f83r.14	f83r.14:3	shedy	A	KNOWN_BACKGROUND	C	f83r.11:9	N:f83r.11:9	recorded
N	F83_P2	f83r.14	f83r.14:6	lchedy	C	TOPIC_RESUMPTION	C	f83r.11:9	N:f83r.11:9	recorded
N	F83_P2	f83r.14	f83r.14:7	qokaiin	B	DESTINATION_REPEAT	C	f83r.11:9	N:f83r.11:9	recorded
N	F83_P2	f83r.15	f83r.15:9	lchedy	C	TOPIC_RESUMPTION	C	f83r.11:9	N:f83r.11:9	recorded
N	F83_P3	f83r.18	f83r.18:4	shedy	A	INITIAL_TOPIC	A	f83r.18:4	N:f83r.18:4	recorded
N	F83_P3	f83r.19	f83r.19:6	shedy	A	TOPIC_RESUMPTION	A	f83r.18:4	N:f83r.18:4	recorded
N	F83_P3	f83r.19	f83r.19:9	shedy	A	TOPIC_RESUMPTION	A	f83r.18:4	N:f83r.18:4	recorded
N	F83_P3	f83r.19	f83r.19:11	lchedy	C	NEW_TOPIC_SWITCH	C	f83r.19:11	N:f83r.19:11	recorded
