mode	record	line	locus	word	kind	role	rendering	row_status
N	F83_P1	f83r.1	f83r.1:1	tchedy	OPEN	NA	⟦tchedy⟧	recorded
N	F83_P1	f83r.1	f83r.1:2	lpchedy	OPEN	NA	⟦lpchedy⟧	recorded
N	F83_P1	f83r.1	f83r.1:3	opedy	OPEN	NA	⟦opedy⟧	recorded
N	F83_P1	f83r.1	f83r.1:4	chepol	OPEN	NA	⟦chepol⟧	recorded
N	F83_P1	f83r.1	f83r.1:5	pchedar	OPEN	NA	⟦pchedar⟧	recorded
N	F83_P1	f83r.1	f83r.1:6	shedy	NOUN	INITIAL_TOPIC	Flüssigkeit[A;INITIAL_TOPIC]	recorded
N	F83_P1	f83r.1	f83r.1:7	qopchedy	OPEN	NA	⟦qopchedy⟧	recorded
N	F83_P1	f83r.2	f83r.2:1	sol	OPEN	NA	⟦sol⟧	recorded
N	F83_P1	f83r.2	f83r.2:2	cheey	OPEN	NA	⟦cheey⟧	recorded
N	F83_P1	f83r.2	f83r.2:3	qokaiin	NOUN	DESTINATION_INTRODUCTION	Gefäß[B;DESTINATION_INTRODUCTION]	recorded
N	F83_P1	f83r.2	f83r.2:4	shol	OPEN	NA	⟦shol⟧	recorded
N	F83_P1	f83r.2	f83r.2:5	lchs	OPEN	NA	⟦lchs⟧	recorded
N	F83_P1	f83r.2	f83r.2:6	shey	OPEN	NA	⟦shey⟧	recorded
N	F83_P1	f83r.2	f83r.2:7	qoteedy	OPEN	NA	⟦qoteedy⟧	recorded
N	F83_P1	f83r.2	f83r.2:8	rches	OPEN	NA	⟦rches⟧	recorded
N	F83_P1	f83r.2	f83r.2:9	ar	OPEN	NA	⟦ar⟧	recorded
N	F83_P1	f83r.2	f83r.2:10	chedy	PREDICATE	IMPLICIT_PATIENT	erwärme([ergänzt:A;Bezugquelle=f83r.1:6])	recorded
N	F83_P1	f83r.2	f83r.2:11	dor	OPEN	NA	⟦dor⟧	recorded
N	F83_P1	f83r.3	f83r.3:1	olkeedy	OPEN	NA	⟦olkeedy⟧	recorded
N	F83_P1	f83r.3	f83r.3:2	qotal	OPEN	NA	⟦qotal⟧	recorded
N	F83_P1	f83r.3	f83r.3:3	chkeedy	OPEN	NA	⟦chkeedy⟧	recorded
N	F83_P1	f83r.3	f83r.3:4	chey	OPEN	NA	⟦chey⟧	recorded
N	F83_P1	f83r.3	f83r.3:5	daiin	OPEN	NA	⟦daiin⟧	recorded
N	F83_P1	f83r.3	f83r.3:6	chey	OPEN	NA	⟦chey⟧	recorded
N	F83_P1	f83r.3	f83r.3:7	lchedy	NOUN	NEW_TOPIC_SWITCH	Zusatzstoff[C;NEW_TOPIC_SWITCH]	recorded
N	F83_P1	f83r.3	f83r.3:8	qokaiin	NOUN	DESTINATION_REPEAT	Gefäß[B;DESTINATION_REPEAT]	recorded
N	F83_P1	f83r.3	f83r.3:9	qotal	OPEN	NA	⟦qotal⟧	recorded
N	F83_P1	f83r.3	f83r.3:10	dar	OPEN	NA	⟦dar⟧	recorded
N	F83_P1	f83r.4	f83r.4:1	qokshedy	OPEN	NA	⟦qokshedy⟧	recorded
N	F83_P1	f83r.4	f83r.4:2	chedy	PREDICATE	IMPLICIT_PATIENT	erwärme([ergänzt:C;Bezugquelle=f83r.3:7])	recorded
N	F83_P1	f83r.4	f83r.4:3	qokedy	OPEN	NA	⟦qokedy⟧	recorded
N	F83_P1	f83r.4	f83r.4:4	chkedy	OPEN	NA	⟦chkedy⟧	recorded
N	F83_P1	f83r.4	f83r.4:5	daiin	OPEN	NA	⟦daiin⟧	recorded
N	F83_P1	f83r.4	f83r.4:6	shetar	OPEN	NA	⟦shetar⟧	recorded
N	F83_P1	f83r.4	f83r.4:7	shedy	NOUN	KNOWN_BACKGROUND	Flüssigkeit[A;KNOWN_BACKGROUND]	recorded
N	F83_P1	f83r.4	f83r.4:8	qekaiin	OPEN	NA	⟦qekaiin⟧	recorded
N	F83_P1	f83r.4	f83r.4:9	chedy	PREDICATE	IMPLICIT_PATIENT	erwärme([ergänzt:C;Bezugquelle=f83r.3:7])	recorded
N	F83_P1	f83r.5	f83r.5:1	deey	OPEN	NA	⟦deey⟧	recorded
N	F83_P1	f83r.5	f83r.5:2	qotaiin	OPEN	NA	⟦qotaiin⟧	recorded
N	F83_P1	f83r.5	f83r.5:3	checkhy	OPEN	NA	⟦checkhy⟧	recorded
N	F83_P1	f83r.5	f83r.5:4	qoty	OPEN	NA	⟦qoty⟧	recorded
N	F83_P1	f83r.5	f83r.5:5	cheg	OPEN	NA	⟦cheg⟧	recorded
N	F83_P1	f83r.5	f83r.5:6	shedy	NOUN	KNOWN_BACKGROUND	Flüssigkeit[A;KNOWN_BACKGROUND]	recorded
N	F83_P1	f83r.5	f83r.5:7	qokeey	OPEN	NA	⟦qokeey⟧	recorded
N	F83_P1	f83r.5	f83r.5:8	rchedy	OPEN	NA	⟦rchedy⟧	recorded
N	F83_P1	f83r.5	f83r.5:9	qoteedy	OPEN	NA	⟦qoteedy⟧	recorded
N	F83_P1	f83r.5	f83r.5:10	lo	OPEN	NA	⟦lo⟧	recorded
N	F83_P1	f83r.6	f83r.6:1	schedy	OPEN	NA	⟦schedy⟧	recorded
N	F83_P1	f83r.6	f83r.6:2	chedchy	OPEN	NA	⟦chedchy⟧	recorded
