event_id	record_unit_id	page	statement_id	field_id	visible_surface	master_card_id	source_short_value_de	imperative_clause_de	operating_mode	mode_assignment_reason	terminal_status
E101	B1	f81v	B1-S001	F021	qokedy	MC083	kurz einwirken	Lass ihn kurz einwirken	TREAT	Kontakt-, Wärme- oder Behandlungswert der Ganzkarte	TERMINAL
E102	B1	f81v	B1-S002	F022	okaiin	MC120	bemessen	Messe den Posten ab	MEASURE	Maß- oder Einstellwert der Ganzkarte	NONCLOSE
E103	B1	f81v	B1-S002	F022	kair	MC023	Beckenlauf	Führe durch den Beckenlauf	LOCAL_CONTROL	lokaler Besitzer-, Ziel-, Folge-, Zustands- oder Postenwert	NONCLOSE
E104	B1	f81v	B1-S002	F022	okal	MC040	dorthin einsetzen	Setze ihn dort ein	CHARGE	Material-, Beschickungs- oder Übergabewert der Ganzkarte	NONCLOSE
E105	B1	f81v	B1-S002	F022	sar	MC055	davon	Nimm davon	LOCAL_CONTROL	lokaler Besitzer-, Ziel-, Folge-, Zustands- oder Postenwert	NONCLOSE
E106	B1	f81v	B1-S002	F022	ol	MC153	weiter	Arbeite weiter	LOCAL_CONTROL	lokaler Besitzer-, Ziel-, Folge-, Zustands- oder Postenwert	NONCLOSE
E107	B1	f81v	B1-S002	F022	kain	MC105	Portion	Nimm eine Portion	CHARGE	Material-, Beschickungs- oder Übergabewert der Ganzkarte	NONCLOSE
E108	B1	f81v	B1-S002	F022	olkain	MC097	weiterer Anteil	Nimm einen weiteren Anteil	CHARGE	Material-, Beschickungs- oder Übergabewert der Ganzkarte	NONCLOSE
E109	B1	f81v	B1-S002	F022	al	MC154	dorthin	Führe ihn dorthin	LOCAL_CONTROL	lokaler Besitzer-, Ziel-, Folge-, Zustands- oder Postenwert	NONCLOSE
E110	B1	f81v	B1-S002	F022	ol	MC153	weiter	Arbeite weiter	LOCAL_CONTROL	lokaler Besitzer-, Ziel-, Folge-, Zustands- oder Postenwert	NONCLOSE
E111	B1	f81v	B1-S002	F022	rol	MC016	Anschluss	Schließe am nächsten Abschnitt an	LOCAL_CONTROL	lokaler Besitzer-, Ziel-, Folge-, Zustands- oder Postenwert	NONCLOSE
E112	B1	f81v	B1-S002	F022	dl	MC012	Zusatz	Gib den Zusatz zu	LOCAL_CONTROL	lokaler Besitzer-, Ziel-, Folge-, Zustands- oder Postenwert	NONCLOSE
