statement_id	record_unit_id	page	field_path	event_count	operating_mode_sequence	primary_operating_mode	event_mode_trace	visual_owner_bindings	owner_transition	procedure_block_id	procedure_block_role	fluent_imperative_de	mode_reading_de
B1-S001	B1	f81v	F021	1	TREAT	TREAT	E101:TREAT	F021=PAGE_OWNER_ONLY:B1_SHARED_TWO_ROW_POOL	RESET_RECORD -> SET_PAGE_OWNER[F021:PAGE_OWNER_ONLY:B1_SHARED_TWO_ROW_POOL]	NONE	NONE	Lass ihn kurz einwirken;	Behandeln
B1-S002	B1	f81v	F022|F023	19	MEASURE>LOCAL_CONTROL>CHARGE>LOCAL_CONTROL>CHARGE>LOCAL_CONTROL>CHARGE>LOCAL_CONTROL>PASS_FILTER>MEASURE>LOCAL_CONTROL>MEASURE>PASS_FILTER>CHARGE	CHARGE	E102:MEASURE|E103:LOCAL_CONTROL|E104:CHARGE|E105:LOCAL_CONTROL|E106:LOCAL_CONTROL|E107:CHARGE|E108:CHARGE|E109:LOCAL_CONTROL|E110:LOCAL_CONTROL|E111:LOCAL_CONTROL|E112:LOCAL_CONTROL|E113:CHARGE|E114:LOCAL_CONTROL|E115:PASS_FILTER|E116:MEASURE|E117:LOCAL_CONTROL|E118:MEASURE|E119:PASS_FILTER|E120:CHARGE	F022=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL > F023=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F022:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL] -> INHERIT_OWNER[F023:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	NONE	NONE	Messe den Posten ab; dann führe durch den Beckenlauf; dann setze ihn dort ein; dann nimm davon; dann arbeite weiter; dann nimm eine Portion; dann nimm einen weiteren Anteil; dann führe ihn dorthin; dann arbeite weiter; dann schließe am nächsten Abschnitt an; dann gib den Zusatz zu; dann öffne das nächste Feld; dann verwende denselben Ansatz weiter; dann arbeite weiter; dann führe ihn kurz durch die Zielpassage; dann arbeite nach dem vorgeschriebenen Maß; dann setze ihn lange am Ziel ein; dann arbeite nach dem vorgeschriebenen Maß; dann leite den Posten hindurch; dann führe den Posten über;	Beschicken
B1-S003	B1	f81v	F024|F025	2	LOCAL_CONTROL	LOCAL_CONTROL	E121:LOCAL_CONTROL|E122:LOCAL_CONTROL	F024=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL > F025=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F024:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL] -> INHERIT_OWNER[F025:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	NONE	NONE	Arbeite weiter; dann öffne das nächste Feld; dann übertrage ihn;	Lokal steuern
B1-S004	B1	f81v	F026	3	CHARGE>LOCAL_CONTROL>SETTLE	SETTLE	E123:CHARGE|E124:LOCAL_CONTROL|E125:SETTLE	F026=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F026:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	NONE	NONE	Führe den Posten über; dann arbeite weiter; dann lass ihn kurz absetzen;	Absetzen/Sammeln
B1-S005	B1	f81v	F027	1	LOCAL_CONTROL	LOCAL_CONTROL	E126:LOCAL_CONTROL	F027=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F027:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	NONE	NONE	Führe ihn weiter;	Lokal steuern
B1-S006	B1	f81v	F028	4	CHARGE>PASS_FILTER>LOCAL_CONTROL	LOCAL_CONTROL	E127:CHARGE|E128:PASS_FILTER|E129:LOCAL_CONTROL|E130:LOCAL_CONTROL	F028=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F028:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	NONE	NONE	Gib einen Anteil zu; dann leite den Posten hindurch; dann gib den Zusatz zu; dann halte die Zielmarke ein ↪	Lokal steuern
B1-S007	B1	f81v	F029	1	CHARGE	CHARGE	E131:CHARGE	F029=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F029:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	NONE	NONE	Setze einen neuen Posten ein;	Beschicken
B1-S008	B1	f81v	F030	5	LOCAL_CONTROL>TREAT>LOCAL_CONTROL>SETTLE	SETTLE	E132:LOCAL_CONTROL|E133:LOCAL_CONTROL|E134:TREAT|E135:LOCAL_CONTROL|E136:SETTLE	F030=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F030:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	NONE	NONE	Halte diesen Posten aktiv; dann arbeite weiter; dann wärme ihn kurz; dann arbeite weiter; dann lass ihn kurz absetzen;	Absetzen/Sammeln
B1-S009	B1	f81v	F031	1	TREAT	TREAT	E137:TREAT	F031=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F031:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	PB01	PAIRED_SHORT_BATH_PLACEMENTS	Lass ihn kurz einwirken;	Behandeln
B1-S010	B1	f81v	F032	1	TREAT	TREAT	E138:TREAT	F032=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F032:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	PB01	PAIRED_SHORT_BATH_PLACEMENTS	Lass ihn kurz einwirken;	Behandeln
