page	locus	ordinal	surface	sister_surface	v61_literal_gloss_de	v62_literal_gloss_de	v62_class	formal_dy_status	action_before	action_after	preservation_rule
f105r	f105r.2	5	otchdy	otchy	fertiger kalt-trockener Anfangsansatz	kalt-trockener Ansatz, Anfangsstufe erreicht	RESULT_PARTICIPLE	MIXED_FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f105r	f105r.2	12	cheody	cheoy	fertiger Trockenansatz	getrockneter Ansatz	FIELD_END	NO_FORMAL_DY	0	0	SAME_RECIPE_TARGET_WHOLE_CARD__NO_VISIBLE_D_SEMANTIC_LOAD
f105r	f105r.31	8	lkedy	lkey	fertige erhitzte Holzdroge, Mittelstufe	bis zur mittleren Heizstufe erhitzte Holzdroge	RESULT_PARTICIPLE	FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f105r	f105r.31	10	chedy	chey	fertige mittlere Trockenstufe	mittlere Trockenstufe erreicht	RESULT_PARTICIPLE	NO_FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f105v	f105v.14	2	chckhdy	chckhy	fertiges trockenes Arzneikompositum, Anfangsstufe	trockenes Arzneikompositum, Anfangsstufe erreicht	RESULT_PARTICIPLE	NO_FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f106r	f106r.23	1	ychedy	ychey	Eintrag: fertige getrocknete Droge	bis zur Mittelstufe getrocknet und abgeschlossen	RESULT_PARTICIPLE	NO_FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f106r	f106r.23	5	qokedy	qokey	fertige heiße Mittelstufe	heiße Mittelstufe erreicht	RESULT_PARTICIPLE	FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f106r	f106r.23	8	otedy	otey	fertiger kalter Ansatz, Mittelstufe	kalter Ansatz, Mittelstufe erreicht	RESULT_PARTICIPLE	MIXED_FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f107r	f107r.2	4	shedy	shey	fertige mittlere Feuchtstufe	mittlere Feuchtstufe erreicht	RESULT_PARTICIPLE	FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f112v	f112v.10	3	okchedy	okchey	fertiger heiß-trockener Ansatz, Mittelstufe	heiß-trockener Ansatz, Mittelstufe erreicht	RESULT_PARTICIPLE	FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
