page	locus	v61_reader_mode	occurrence_index	char_start	char_end	matched_text	canonical_lemma	source_ordinal	source_surface	source_literal_gloss_de	action_licensed	provenance_status
f104v	f104v.2	HYBRID_ARBEIT_UND_ZUSTAND	1	57	65	abmessen	abmessen	1	ychedaiin	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen	1	EXACT_V62_RENDERER_SPAN_TO_ACTION_ORDINAL
f104v	f104v.2	HYBRID_ARBEIT_UND_ZUSTAND	2	86	94	abkühlen	abkühlen	2	qoteed	Ansatz vollständig abkühlen und abziehen	1	EXACT_V62_RENDERER_SPAN_TO_ACTION_ORDINAL
f104v	f104v.2	HYBRID_ARBEIT_UND_ZUSTAND	3	99	107	abziehen	abziehen	2	qoteed	Ansatz vollständig abkühlen und abziehen	1	EXACT_V62_RENDERER_SPAN_TO_ACTION_ORDINAL
f104v	f104v.2	HYBRID_ARBEIT_UND_ZUSTAND	4	221	227	nehmen	nehmen	6	qokamdy	ein Maß nehmen und erhitzen	1	EXACT_V62_RENDERER_SPAN_TO_ACTION_ORDINAL
f104v	f104v.2	HYBRID_ARBEIT_UND_ZUSTAND	5	232	240	erhitzen	erhitzen	6	qokamdy	ein Maß nehmen und erhitzen	1	EXACT_V62_RENDERER_SPAN_TO_ACTION_ORDINAL
f105r	f105r.2	HYBRID_ARBEIT_UND_ZUSTAND	1	198	206	abmessen	abmessen	6	qodor	eine Portion Ansatz abmessen	1	EXACT_V62_RENDERER_SPAN_TO_ACTION_ORDINAL
f105r	f105r.2	HYBRID_ARBEIT_UND_ZUSTAND	2	350	358	abmessen	abmessen	11	odar	erste Ansatzfraktion abmessen	1	EXACT_V62_RENDERER_SPAN_TO_ACTION_ORDINAL
f105r	f105r.31	HYBRID_ARBEIT_UND_ZUSTAND	1	142	150	abfüllen	abfüllen	5	aiijy	in drei Bündel abfüllen und schließen	1	EXACT_V62_RENDERER_SPAN_TO_ACTION_ORDINAL
f105r	f105r.31	HYBRID_ARBEIT_UND_ZUSTAND	2	155	164	schließen	abschließen	5	aiijy	in drei Bündel abfüllen und schließen	1	EXACT_V62_RENDERER_SPAN_TO_ACTION_ORDINAL
f105v	f105v.1	HYBRID_ARBEIT_UND_ZUSTAND	1	112	119	erhitze	erhitzen	4	ykaiin	erhitze hiervon auf Stufe III	1	EXACT_V62_RENDERER_SPAN_TO_ACTION_ORDINAL
f105v	f105v.1	HYBRID_ARBEIT_UND_ZUSTAND	2	320	328	trocknen	trocknen	8	ypcheddy	hieraus Pulver bis zur Mittelstufe trocknen	1	EXACT_V62_RENDERER_SPAN_TO_ACTION_ORDINAL
f105v	f105v.14	ARBEITSGANG	1	99	103	nimm	nehmen	3	qokaiir	nimm die dritte erhitzte Drogenfraktion	1	EXACT_V62_RENDERER_SPAN_TO_ACTION_ORDINAL
