surface	sister_surface	v60_target_class	sister_text_class	sister_verbs	sister_working_meaning_de	class_relation	v62_selected_class	v62_pair_status
chedy	chey	RESULT	NONACTION	NONE	trocken in der Mitte des Grades	SAME	RESULT_PARTICIPLE	REAL_NON_DY_SISTER
shedy	shey	RESULT	NONACTION	NONE	feucht in der Mitte des Grades	SAME	RESULT_PARTICIPLE	REAL_NON_DY_SISTER
kchdy	kchy	RESULT	NONACTION	NONE	heiß und trocken am Anfang des Grades	SAME	RESULT_PARTICIPLE	REAL_NON_DY_SISTER
ldy	ly	RESULT	NONACTION	NONE	rohes Drogenholz	SAME	RESULT_PARTICIPLE	REAL_NON_DY_SISTER
otedy	otey	RESULT	NONACTION	NONE	kalter Ansatz in der Mitte des Grades	SAME	RESULT_PARTICIPLE	REAL_NON_DY_SISTER
chckhdy	chckhy	RESULT	NONACTION	NONE	Arzneikompositum: trocken, Gradanfang	SAME	RESULT_PARTICIPLE	REAL_NON_DY_SISTER
chdy	chy	RESULT	NONACTION	NONE	trocken am Anfang des Grades	SAME	RESULT_PARTICIPLE	REAL_NON_DY_SISTER
checthedy	checthey	ACTION	ACTION	abschließen|trocknen	Krautdroge mäßig trocknen, nochmals mäßig trocknen und abschließen	SAME	FIELD_END	REAL_NON_DY_SISTER
chody	choy	RESULT	ACTION	abschließen	Trockenansatz leicht abschließen	CHANGED	RESULT_PARTICIPLE	REAL_NON_DY_SISTER
dshedy	dshey	ACTION	NONACTION	NONE	eine Dosis bis zur Mittelstufe angefeuchtete Droge	CHANGED	FIELD_END	REAL_NON_DY_SISTER
lkedy	lkey	RESULT	NONACTION	NONE	Holzdroge bis zur mittleren Heizstufe	SAME	RESULT_PARTICIPLE	REAL_NON_DY_SISTER
lshedy	lshey	RESULT	NONACTION	NONE	eingeweichtes Drogenholz, Form I	SAME	RESULT_PARTICIPLE	REAL_NON_DY_SISTER
okchedy	okchey	RESULT	NONACTION	NONE	heiß-trockener Ansatz in der Mitte des Grades	SAME	RESULT_PARTICIPLE	REAL_NON_DY_SISTER
okedy	okey	RESULT	NONACTION	NONE	heißer Ansatz in der Mitte des Grades	SAME	RESULT_PARTICIPLE	REAL_NON_DY_SISTER
olchdy	olchy	ACTION	NONACTION	NONE	Holzdroge im Ansatz leicht getrocknet	CHANGED	RESULT_PARTICIPLE	REAL_NON_DY_SISTER
olkeedy	olkeey	RESULT	NONACTION	NONE	Holzdrogenansatz vollständig erhitzt	SAME	FIELD_END	REAL_NON_DY_SISTER
olshedy	olshey	RESULT	NONACTION	NONE	eingeweichte Drogenbasis, Mittelstufe	SAME	RESULT_PARTICIPLE	REAL_NON_DY_SISTER
otchdy	otchy	RESULT	NONACTION	NONE	kalt-trockener Ansatz am Anfang des Grades	SAME	RESULT_PARTICIPLE	REAL_NON_DY_SISTER
oteedy	oteey	RESULT	NONACTION	NONE	kalter Ansatz am Ende des Grades	SAME	FIELD_END	REAL_NON_DY_SISTER
qoeedy	qoeey	ACTION	ACTION	nehmen	nimm die Endportion hinzu	SAME	FIELD_END	REAL_NON_DY_SISTER
qokchdy	qokchy	RESULT	NONACTION	NONE	heiß und trocken am Anfang des Grades	SAME	RESULT_PARTICIPLE	REAL_NON_DY_SISTER
qokchedy	qokchey	RESULT	NONACTION	NONE	heiß und trocken in der Mitte des Grades	SAME	RESULT_PARTICIPLE	REAL_NON_DY_SISTER
qokedy	qokey	RESULT	NONACTION	NONE	heiß in der Mitte des Grades	SAME	RESULT_PARTICIPLE	REAL_NON_DY_SISTER
qokeedy	qokeey	RESULT	NONACTION	NONE	heiß am Ende des Grades	SAME	FIELD_END	REAL_NON_DY_SISTER
qolsheedy	qolsheey	ACTION	ACTION	abschließen	gib vollständig eingeweichten Drogenstoff hinzu und schließe ab	SAME	FIELD_END	REAL_NON_DY_SISTER
qotchedy	qotchey	RESULT	NONACTION	NONE	kalt und trocken in der Mitte des Grades	SAME	RESULT_PARTICIPLE	REAL_NON_DY_SISTER
shdy	shy	RESULT	NONACTION	NONE	feucht am Anfang des Grades	SAME	RESULT_PARTICIPLE	REAL_NON_DY_SISTER
sheedy	sheey	RESULT	NONACTION	NONE	feucht am Ende des Grades	SAME	FIELD_END	REAL_NON_DY_SISTER
sheody	sheoy	RESULT	NONACTION	NONE	feucht angesetzte Zubereitung am Gradanfang	SAME	RESULT_PARTICIPLE	REAL_NON_DY_SISTER
solchedy	solchey	RESULT	ACTION	trocknen	Saatgutansatz bis zur mittleren Stufe trocknen	CHANGED	RESULT_PARTICIPLE	REAL_NON_DY_SISTER
tchdy	tchy	RESULT	NONACTION	NONE	kalt und trocken am Anfang des Grades	SAME	RESULT_PARTICIPLE	REAL_NON_DY_SISTER
tchedy	tchey	RESULT	NONACTION	NONE	kalt und trocken in der Mitte des Grades	SAME	RESULT_PARTICIPLE	REAL_NON_DY_SISTER
ychedy	ychey	RESULT	ACTION	abschließen|trocknen	trockne hiervon bis zur Mittelstufe und schließe ab	CHANGED	RESULT_PARTICIPLE	REAL_NON_DY_SISTER
ycheedy	ycheey	ACTION	ACTION	trocknen	trockne hiervon bis zur Endstufe	SAME	FIELD_END	REAL_NON_DY_SISTER
ytedy	ytey	ACTION	ACTION	abkühlen|abschließen	kühle hiervon bis zur Mittelstufe ab und schließe ab	SAME	FIELD_END	REAL_NON_DY_SISTER
yteedy	yteey	ACTION	ACTION	abkühlen	kühle hiervon bis zur Endstufe ab	SAME	FIELD_END	REAL_NON_DY_SISTER
