page	locus	changed_ordinals	changed_surfaces	v61_action_ordinals	v62_action_ordinals	v61_practical_translation_de	v62_practical_translation_de	revision_rule
f105r	f105r.2	5|12	otchdy|cheody	6|11	6|11	Dosis oder Charge vollständig eingeweichter Arzneispecies; hieran anschließend; trocken am Ende des Grades; Wurzel, Typ/Charge III; fertiger kalt-trockener Anfangsansatz; eine Portion Ansatz abmessen; trockenes Drogenmaterial, Mittelstufe; Drogenportion; trocken am Ende des Grades; Charge vollständig erhitzten Ansatzes; erste Ansatzfraktion abmessen; fertiger Trockenansatz; fertige Zubereitung.	Dosis oder Charge vollständig eingeweichter Arzneispecies; hieran anschließend; trocken am Ende des Grades; Wurzel, Typ/Charge III; kalt-trockener Ansatz, Anfangsstufe erreicht; eine Portion Ansatz abmessen; trockenes Drogenmaterial, Mittelstufe; Drogenportion; trocken am Ende des Grades; Charge vollständig erhitzten Ansatzes; erste Ansatzfraktion abmessen; getrockneter Ansatz; fertige Zubereitung.	SISTER_HEAD_STAGE_ACTION_PRESERVATION
f105r	f105r.31	8|10	lkedy|chedy	5	5	Vollständig erhitzte und abgeschlossene Zubereitungsdosis; getrocknetes Drogenholz; eingeweichtes Gummiharz; Drogenfraktion I; in drei Bündel abfüllen und schließen; vollständig bereitetes und abgeschlossenes Arzneikompositum; Rohstoffklasse I im Ansatz, heiß am Gradanfang; fertige erhitzte Holzdroge, Mittelstufe; heiße Holzfraktion I; fertige mittlere Trockenstufe; heiß, Grad III; Drogenportion; heiß-trockene Blütenzubereitung in Grundform.	Vollständig erhitzte und abgeschlossene Zubereitungsdosis; getrocknetes Drogenholz; eingeweichtes Gummiharz; Drogenfraktion I; in drei Bündel abfüllen und schließen; vollständig bereitetes und abgeschlossenes Arzneikompositum; Rohstoffklasse I im Ansatz, heiß am Gradanfang; bis zur mittleren Heizstufe erhitzte Holzdroge; heiße Holzfraktion I; mittlere Trockenstufe erreicht; heiß, Grad III; Drogenportion; heiß-trockene Blütenzubereitung in Grundform.	SISTER_HEAD_STAGE_ACTION_PRESERVATION
f105v	f105v.14	2	chckhdy	3|8|10	3|8|10	Drei Dosen bis Mittelstufe getrocknetes Pulver; fertiges trockenes Arzneikompositum, Anfangsstufe; nimm die dritte erhitzte Drogenfraktion; fertiges Trockenpulver aus Holzdrogenansatz; abgezogene Portion Holzdrogenansatz; Menge-/Klassenwert IV; kaltgestellte Rohdroge II; erste Ansatzfraktion abmessen; erste erhitzte Drogenfraktion, abgezogen; Droge kalt trocknen und leicht nachtrocknen.	Drei Dosen bis Mittelstufe getrocknetes Pulver; trockenes Arzneikompositum, Anfangsstufe erreicht; nimm die dritte erhitzte Drogenfraktion; fertiges Trockenpulver aus Holzdrogenansatz; abgezogene Portion Holzdrogenansatz; Menge-/Klassenwert IV; kaltgestellte Rohdroge II; erste Ansatzfraktion abmessen; erste erhitzte Drogenfraktion, abgezogen; Droge kalt trocknen und leicht nachtrocknen.	SISTER_HEAD_STAGE_ACTION_PRESERVATION
f106r	f106r.23	1|5|8	ychedy|qokedy|otedy	2	2	Eintrag: fertige getrocknete Droge; das Arzneikompositum bis zur Mittelstufe aufbereiten; abgemessene Fraktion II; Rohstoffklasse I; fertige heiße Mittelstufe; bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum; heiß und trocken am Anfang des Grades; fertiger kalter Ansatz, Mittelstufe; abgemessene Fraktion I; eine Portion der ersten Drogenfraktion.	Bis zur Mittelstufe getrocknet und abgeschlossen; das Arzneikompositum bis zur Mittelstufe aufbereiten; abgemessene Fraktion II; Rohstoffklasse I; heiße Mittelstufe erreicht; bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum; heiß und trocken am Anfang des Grades; kalter Ansatz, Mittelstufe erreicht; abgemessene Fraktion I; eine Portion der ersten Drogenfraktion.	SISTER_HEAD_STAGE_ACTION_PRESERVATION
f107r	f107r.2	4	shedy	1|2|6|12	1|2|6|12	Eine abgemessene Portion bis zur Mittelstufe trocknen; eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen; Menge III; fertige mittlere Feuchtstufe; vollständig abgekühlter und abgezogener Ansatz; nimm eine Drogenportion; Menge III; trocken angesetztes Arzneikompositum am Gradanfang; Holzdrogenansatz vollständig erhitzt; kalt im qo-Rahmen, Grad II; trocken in der Mitte des Grades; die vorstehende Behandlung bis zur letzten Stufe führen und abschließen; Holzportion.	Eine abgemessene Portion bis zur Mittelstufe trocknen; eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen; Menge III; mittlere Feuchtstufe erreicht; vollständig abgekühlter und abgezogener Ansatz; nimm eine Drogenportion; Menge III; trocken angesetztes Arzneikompositum am Gradanfang; Holzdrogenansatz vollständig erhitzt; kalt im qo-Rahmen, Grad II; trocken in der Mitte des Grades; die vorstehende Behandlung bis zur letzten Stufe führen und abschließen; Holzportion.	SISTER_HEAD_STAGE_ACTION_PRESERVATION
f112v	f112v.10	3	okchedy	NONE	NONE	Feuchtgrad II; feucht am Ende des Grades; fertiger heiß-trockener Ansatz, Mittelstufe; zwei Portionen.	Feuchtgrad II; feucht am Ende des Grades; heiß-trockener Ansatz, Mittelstufe erreicht; zwei Portionen.	SISTER_HEAD_STAGE_ACTION_PRESERVATION
f113v	f113v.12	1	solchedy	NONE	NONE	Fertig getrockneter Saatgutstoff; fertiger kalt angefeuchteter Ansatz; erste Holzdrogenfraktion; Holzdrogenansatz, bis Mittelstufe getrocknet; zwei Portionen.	Bis zur Mittelstufe fertig getrockneter Saatgutansatz; fertiger kalt angefeuchteter Ansatz; erste Holzdrogenfraktion; Holzdrogenansatz, bis Mittelstufe getrocknet; zwei Portionen.	SISTER_HEAD_STAGE_ACTION_PRESERVATION
f113v	f113v.17	2	shedy	7	7	Drei Teile der ersten Samenfraktion; fertige mittlere Feuchtstufe; Drogenholz, trocken gebunden, Form II; erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen; heiß, Grad III, im Ansatzrahmen; drei Portionen Blatt- oder Krautdroge; hiervon eine Portion bis zur letzten Stufe abkühlen.	Drei Teile der ersten Samenfraktion; mittlere Feuchtstufe erreicht; Drogenholz, trocken gebunden, Form II; erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen; heiß, Grad III, im Ansatzrahmen; drei Portionen Blatt- oder Krautdroge; hiervon eine Portion bis zur letzten Stufe abkühlen.	SISTER_HEAD_STAGE_ACTION_PRESERVATION
f114r	f114r.26	8	cheody	1	1	Hiervon drei Dosen des zweiten Trockenansatzes abmessen; dritte erhitzte Holzdrogenfraktion im Ansatz; heiß, Grad III; Trockenansatz, Dosis III; heiße Drogenfraktion I im Ansatz; heiße Drogenbasis, Stufe III; heiß, Grad III, im Ansatzrahmen; fertiger Trockenansatz; zweite Drogenfraktion als Grundansatz; ein Maß Ansatz-/Drogenmaterial; Holzbindung offen.	Hiervon drei Dosen des zweiten Trockenansatzes abmessen; dritte erhitzte Holzdrogenfraktion im Ansatz; heiß, Grad III; Trockenansatz, Dosis III; heiße Drogenfraktion I im Ansatz; heiße Drogenbasis, Stufe III; heiß, Grad III, im Ansatzrahmen; getrockneter Ansatz; zweite Drogenfraktion als Grundansatz; ein Maß Ansatz-/Drogenmaterial; Holzbindung offen.	SISTER_HEAD_STAGE_ACTION_PRESERVATION
f115r	f115r.1	4|10|11	otedy|oteedy|qotchedy	1|2|3	1|2|3	Erste Blütenfraktion abmessen; nimm getrockneten Pulverstoff; zwei Dosen bis zur Mittelstufe getrocknetes Gut abmessen; fertiger kalter Ansatz, Mittelstufe; bis zur Mittelstufe getrocknet; Pulverstoff; vollständig abgekühlter Ansatz, fertig; eine Portion der dritten Ansatzfraktion; fertiger bis zur Mittelstufe getrockneter Ansatz; fertiger kalter Ansatz, Endstufe; fertige kalt-trockene Mittelstufe.	Erste Blütenfraktion abmessen; nimm getrockneten Pulverstoff; zwei Dosen bis zur Mittelstufe getrocknetes Gut abmessen; kalter Ansatz, Mittelstufe erreicht; bis zur Mittelstufe getrocknet; Pulverstoff; vollständig abgekühlter Ansatz, fertig; eine Portion der dritten Ansatzfraktion; fertiger bis zur Mittelstufe getrockneter Ansatz; kalter Ansatz am Ende des Grades; kalt-trockene Mittelstufe erreicht.	SISTER_HEAD_STAGE_ACTION_PRESERVATION
