surface	positions	lines	v60_action_positions	v60_result_positions	v60_dispatch_class	v60_literal_gloss_de	derived_one_edit_sister	sister_occurrences_v48	sister_pages_v48	sister_source	sister_working_meaning_de	pair_status	v62_class	evidence_basis	transfer_policy	v62_literal_gloss_de	formal_dy_status	gdt515_recipes	gdt516_pair_recipe_relation	gdt516_bound_recipe	gdt516_sister_recipe	rationale_de
chedy	5	5	0	5	NOMINAL_FINISHED_RESULT_STATE	fertige mittlere Trockenstufe	chey	113	31	V48_WORKING_CARD	trocken in der Mitte des Grades	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	PAIRED_NOMINAL_CONTRAST	PAIRED_SURFACE_RESULTATIVE_DEFAULT	mittlere Trockenstufe erreicht	NO_FORMAL_DY	CHD+Y	DIFFERENT_RECIPE	CHD+Y	Y	Offene mittlere Trockenqualität steht dem erreichten nominalen Mittelzustand gegenüber.
shedy	5	4	0	5	NOMINAL_FINISHED_RESULT_STATE	fertige mittlere Feuchtstufe	shey	86	21	V48_WORKING_CARD	feucht in der Mitte des Grades	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	PAIRED_NOMINAL_CONTRAST	PAIRED_SURFACE_RESULTATIVE_DEFAULT	mittlere Feuchtstufe erreicht	FORMAL_DY	SH+E+DY	DIFFERENT_RECIPE	SH+E+DY	SH+E+Y	Offene mittlere Feuchtqualität steht dem erreichten nominalen Mittelzustand gegenüber.
kchdy	2	2	0	2	NOMINAL_FINISHED_RESULT_STATE	fertige heiß-trockene Anfangsstufe	kchy	3	2	V48_WORKING_CARD	heiß und trocken am Anfang des Grades	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	GRID_QUALITY_PAIR	GRID_RESULTATIVE_DEFAULT	heiß-trockene Anfangsstufe erreicht	NO_FORMAL_DY	K+CHD+Y	DIFFERENT_RECIPE	K+CHD+Y	K+Y	Das vollständige Qualitätsraster kontrastiert offene heiß-trockene Anfangsqualität mit fertiger Zustandsform.
ldy	2	2	0	2	NOMINAL_FINISHED_RESULT_STATE	fertig aufbereitete Holzdroge	ly	5	4	V48_WORKING_CARD	rohes Drogenholz	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	PAIRED_NOMINAL_CONTRAST	PAIRED_SURFACE_RESULTATIVE_DEFAULT	fertig aufbereitetes Drogenholz	FORMAL_DY	L+DY	DIFFERENT_RECIPE	L+DY	L+Y	Rohes Drogenholz steht einem fertig aufbereiteten Drogenholz gegenüber.
otedy	2	2	0	2	NOMINAL_FINISHED_RESULT_STATE	fertiger kalter Ansatz, Mittelstufe	otey	13	10	V48_WORKING_CARD	kalter Ansatz in der Mitte des Grades	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	PAIRED_NOMINAL_CONTRAST	PAIRED_SURFACE_RESULTATIVE_DEFAULT	kalter Ansatz, Mittelstufe erreicht	MIXED_FORMAL_DY	LOCAL_ADDRESS|OT+E+DY	DIFFERENT_RECIPE	OT+E+DY	OT+E+Y	Kalter Mittelzustand steht einem fertigen kalten Mittelzustand gegenüber.
chckhdy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertiges trockenes Arzneikompositum, Anfangsstufe	chckhy	31	17	V48_WORKING_CARD	Arzneikompositum: trocken, Gradanfang	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	PAIRED_NOMINAL_CONTRAST	PAIRED_SURFACE_RESULTATIVE_DEFAULT	trockenes Arzneikompositum, Anfangsstufe erreicht	NO_FORMAL_DY	CH+CH+K+D_ADDR+Y	DIFFERENT_RECIPE	CH+CH+K+D_ADDR+Y	CH+K+Y	Trockener Kompositumzustand am Gradanfang steht dem erreichten Kompositumzustand gegenüber.
chdy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige Trocken-Anfangsstufe	chy	36	22	V48_WORKING_CARD	trocken am Anfang des Grades	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	PAIRED_NOMINAL_CONTRAST	PAIRED_SURFACE_RESULTATIVE_DEFAULT	trockene Anfangsstufe erreicht	NO_FORMAL_DY	CHD+Y	DIFFERENT_RECIPE	CHD+Y	Y	Offene Trocken-Anfangsqualität steht der erreichten Trocken-Anfangsstufe gegenüber.
checthedy	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	Krautdroge in zwei mäßigen Trockengängen fertig trocknen	checthey	1	1	V48_WORKING_CARD	Krautdroge mäßig trocknen, nochmals mäßig trocknen und abschließen	REAL_NON_DY_SISTER	FIELD_END	SISTER_ALREADY_ENDPOINT	NO_DY_SEMANTIC_LOAD	Krautdroge mäßig trocknen, nochmals mäßig trocknen und abschließen	UNRESOLVED	NONE	NOT_IN_GDT516_PAIR_ATLAS	NONE	NONE	Die Schwester enthält bereits doppelte Trocknung und Abschluss; die dy-Form erhält keinen zusätzlichen Endpunktwert.
chody	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertiger Trockenansatz	choy	2	2	V48_WORKING_CARD	Trockenansatz leicht abschließen	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	PAIRED_NOMINAL_CONTRAST	PAIRED_SURFACE_RESULTATIVE_DEFAULT	leicht abgeschlossener Trockenansatz	NO_FORMAL_DY	CH+O+D_ADDR+Y	DIFFERENT_RECIPE	CH+O+D_ADDR+Y	HO+Y	Leichte Abschlussoperation der Schwester steht nominal fertigem Trockenansatz gegenüber.
dshedy	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	eine abgemessene Portion Droge bis zur Mittelstufe einweichen	dshey	2	2	V48_WORKING_CARD	eine Dosis bis zur Mittelstufe angefeuchtete Droge	REAL_NON_DY_SISTER	FIELD_END	SISTER_ALREADY_ENDPOINT	NO_DY_SEMANTIC_LOAD	bis zur Mittelstufe angefeuchtete Drogenportion	FORMAL_DY	SH+E+DY	DIFFERENT_RECIPE	SH+E+DY	D_ADDR+SH+E+Y	Die Schwester ist bereits eine angefeuchtete Dosis auf Mittelstufe; die dy-Form übernimmt diesen nominalen Endpunkt ohne neues Verb.
