surface	positions	lines	v60_action_positions	v60_result_positions	v60_dispatch_class	v60_literal_gloss_de	derived_one_edit_sister	sister_occurrences_v48	sister_pages_v48	sister_source	sister_working_meaning_de	pair_status	v62_class	evidence_basis	transfer_policy	v62_literal_gloss_de	formal_dy_status	gdt515_recipes	gdt516_pair_recipe_relation	gdt516_bound_recipe	gdt516_sister_recipe	rationale_de
chedy	5	5	0	5	NOMINAL_FINISHED_RESULT_STATE	fertige mittlere Trockenstufe	chey	113	31	V48_WORKING_CARD	trocken in der Mitte des Grades	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	PAIRED_NOMINAL_CONTRAST	PAIRED_SURFACE_RESULTATIVE_DEFAULT	mittlere Trockenstufe erreicht	NO_FORMAL_DY	CHD+Y	DIFFERENT_RECIPE	CHD+Y	Y	Offene mittlere Trockenqualität steht dem erreichten nominalen Mittelzustand gegenüber.
shedy	5	4	0	5	NOMINAL_FINISHED_RESULT_STATE	fertige mittlere Feuchtstufe	shey	86	21	V48_WORKING_CARD	feucht in der Mitte des Grades	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	PAIRED_NOMINAL_CONTRAST	PAIRED_SURFACE_RESULTATIVE_DEFAULT	mittlere Feuchtstufe erreicht	FORMAL_DY	SH+E+DY	DIFFERENT_RECIPE	SH+E+DY	SH+E+Y	Offene mittlere Feuchtqualität steht dem erreichten nominalen Mittelzustand gegenüber.
cheody	3	3	0	3	NOMINAL_FINISHED_RESULT_STATE	fertiger Trockenansatz	cheoy	0	0	GDT516_PARSER_CONTROL	NONE	PARSER_EQUIVALENT_NULL	FIELD_END	SAME_RECIPE_CONTROL	TARGET_WHOLE_CARD_NO_DY_LOAD	getrockneter Ansatz	NO_FORMAL_DY	CH+E+O+Y|CHEO+Y|LOCAL_ADDRESS	SAME_RECIPE	CH+E+O+Y	CH+E+O+Y	Beide Oberflächen tragen im GDT516-Atlas exakt CH+E+O+Y; cheoy hat keinen unabhängigen V48-Wert, daher bleibt nur cheodys eigener Ganzwortwert ohne sichtbaren-d-Zusatz.
kchdy	2	2	0	2	NOMINAL_FINISHED_RESULT_STATE	fertige heiß-trockene Anfangsstufe	kchy	3	2	V48_WORKING_CARD	heiß und trocken am Anfang des Grades	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	GRID_QUALITY_PAIR	GRID_RESULTATIVE_DEFAULT	heiß-trockene Anfangsstufe erreicht	NO_FORMAL_DY	K+CHD+Y	DIFFERENT_RECIPE	K+CHD+Y	K+Y	Das vollständige Qualitätsraster kontrastiert offene heiß-trockene Anfangsqualität mit fertiger Zustandsform.
ldy	2	2	0	2	NOMINAL_FINISHED_RESULT_STATE	fertig aufbereitete Holzdroge	ly	5	4	V48_WORKING_CARD	rohes Drogenholz	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	PAIRED_NOMINAL_CONTRAST	PAIRED_SURFACE_RESULTATIVE_DEFAULT	fertig aufbereitetes Drogenholz	FORMAL_DY	L+DY	DIFFERENT_RECIPE	L+DY	L+Y	Rohes Drogenholz steht einem fertig aufbereiteten Drogenholz gegenüber.
olpchedy	2	2	0	2	NOMINAL_FINISHED_RESULT_STATE	fertiges Trockenpulver aus Holzdrogenansatz	olpchey	1	1	VISIBLE_WITHOUT_WORKING_CARD	NONE	VISIBLE_SISTER_WITHOUT_CARD	UNPAIRED_WHOLE_RETAINED	SISTER_HAS_NO_INDEPENDENT_WORKING_VALUE	WHOLE_ONLY_NO_PAIR_EXPORT	fertiges Trockenpulver aus Holzdrogenansatz	FORMAL_DY	OL+P+CHD+DY	NOT_IN_GDT516_PAIR_ATLAS	NONE	NONE	Die sichtbare Schwester besitzt keinen selbständigen Arbeitswert; aktuelle Ganzform bleibt ohne Suffixexport stehen.
otedy	2	2	0	2	NOMINAL_FINISHED_RESULT_STATE	fertiger kalter Ansatz, Mittelstufe	otey	13	10	V48_WORKING_CARD	kalter Ansatz in der Mitte des Grades	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	PAIRED_NOMINAL_CONTRAST	PAIRED_SURFACE_RESULTATIVE_DEFAULT	kalter Ansatz, Mittelstufe erreicht	MIXED_FORMAL_DY	LOCAL_ADDRESS|OT+E+DY	DIFFERENT_RECIPE	OT+E+DY	OT+E+Y	Kalter Mittelzustand steht einem fertigen kalten Mittelzustand gegenüber.
adeeody	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	gleicher abgemessener Teil des fertigen Ansatzes	adeeoy	0	0	ABSENT	NONE	NO_REAL_SISTER	UNPAIRED_WHOLE_RETAINED	NO_NON_DY_SISTER_IN_V48	WHOLE_ONLY_NO_PAIR_EXPORT	gleicher abgemessener Teil des fertigen Ansatzes	UNRESOLVED	NONE	NOT_IN_GDT516_PAIR_ATLAS	NONE	NONE	Keine reale nicht-dy-Schwester; aktuelle Ganzform bleibt ohne Suffixexport stehen.
aiindy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	drei fertig abgeteilte Teile	aiiny	1	1	VISIBLE_WITHOUT_WORKING_CARD	NONE	VISIBLE_SISTER_WITHOUT_CARD	UNPAIRED_WHOLE_RETAINED	SISTER_HAS_NO_INDEPENDENT_WORKING_VALUE	WHOLE_ONLY_NO_PAIR_EXPORT	drei fertig abgeteilte Teile	UNRESOLVED	NONE	NOT_IN_GDT516_PAIR_ATLAS	NONE	NONE	Die sichtbare Schwester besitzt keinen selbständigen Arbeitswert; aktuelle Ganzform bleibt ohne Suffixexport stehen.
chckhdy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertiges trockenes Arzneikompositum, Anfangsstufe	chckhy	31	17	V48_WORKING_CARD	Arzneikompositum: trocken, Gradanfang	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	PAIRED_NOMINAL_CONTRAST	PAIRED_SURFACE_RESULTATIVE_DEFAULT	trockenes Arzneikompositum, Anfangsstufe erreicht	NO_FORMAL_DY	CH+CH+K+D_ADDR+Y	DIFFERENT_RECIPE	CH+CH+K+D_ADDR+Y	CH+K+Y	Trockener Kompositumzustand am Gradanfang steht dem erreichten Kompositumzustand gegenüber.
