group_serial	diagram_id	page	locus	opaque_local_id	local_image_owner	local_namespace	surface_group_status	medical_purpose_source	technical_purpose_source	orientation	crosspage_join	prose_card_import
1	A1	f67r2	f67r2.1	A1:G001	A1_RIGHT_SECTOR_SLOT_01	F67_RIGHT_WHEEL_NS	OPAQUE_LOCAL_EXEMPLAR_LABEL	NAMESPACE_EXPANSION_ONLY	NAMESPACE_EXPANSION_ONLY	NONE_SELECTED	NONE	NONE
2	A1	f67r2	f67r2.1	A1:G002	A1_RIGHT_SECTOR_SLOT_01	F67_RIGHT_WHEEL_NS	OPAQUE_LOCAL_EXEMPLAR_LABEL	NAMESPACE_EXPANSION_ONLY	NAMESPACE_EXPANSION_ONLY	NONE_SELECTED	NONE	NONE
3	A1	f67r2	f67r2.1	A1:G003	A1_RIGHT_SECTOR_SLOT_01	F67_RIGHT_WHEEL_NS	OPAQUE_LOCAL_EXEMPLAR_LABEL	NAMESPACE_EXPANSION_ONLY	NAMESPACE_EXPANSION_ONLY	NONE_SELECTED	NONE	NONE
4	A1	f67r2	f67r2.2	A1:G004	A1_RIGHT_SECTOR_SLOT_02	F67_RIGHT_WHEEL_NS	OPAQUE_LOCAL_EXEMPLAR_LABEL	NAMESPACE_EXPANSION_ONLY	NAMESPACE_EXPANSION_ONLY	NONE_SELECTED	NONE	NONE
5	A1	f67r2	f67r2.2	A1:G005	A1_RIGHT_SECTOR_SLOT_02	F67_RIGHT_WHEEL_NS	OPAQUE_LOCAL_EXEMPLAR_LABEL	NAMESPACE_EXPANSION_ONLY	NAMESPACE_EXPANSION_ONLY	NONE_SELECTED	NONE	NONE
6	A1	f67r2	f67r2.2	A1:G006	A1_RIGHT_SECTOR_SLOT_02	F67_RIGHT_WHEEL_NS	OPAQUE_LOCAL_EXEMPLAR_LABEL	NAMESPACE_EXPANSION_ONLY	NAMESPACE_EXPANSION_ONLY	NONE_SELECTED	NONE	NONE
7	A1	f67r2	f67r2.3	A1:G007	A1_RIGHT_SECTOR_SLOT_03	F67_RIGHT_WHEEL_NS	OPAQUE_LOCAL_EXEMPLAR_LABEL	NAMESPACE_EXPANSION_ONLY	NAMESPACE_EXPANSION_ONLY	NONE_SELECTED	NONE	NONE
8	A1	f67r2	f67r2.3	A1:G008	A1_RIGHT_SECTOR_SLOT_03	F67_RIGHT_WHEEL_NS	OPAQUE_LOCAL_EXEMPLAR_LABEL	NAMESPACE_EXPANSION_ONLY	NAMESPACE_EXPANSION_ONLY	NONE_SELECTED	NONE	NONE
9	A1	f67r2	f67r2.3	A1:G009	A1_RIGHT_SECTOR_SLOT_03	F67_RIGHT_WHEEL_NS	OPAQUE_LOCAL_EXEMPLAR_LABEL	NAMESPACE_EXPANSION_ONLY	NAMESPACE_EXPANSION_ONLY	NONE_SELECTED	NONE	NONE
10	A1	f67r2	f67r2.4	A1:G010	A1_RIGHT_SECTOR_SLOT_04	F67_RIGHT_WHEEL_NS	OPAQUE_LOCAL_EXEMPLAR_LABEL	NAMESPACE_EXPANSION_ONLY	NAMESPACE_EXPANSION_ONLY	NONE_SELECTED	NONE	NONE
11	A1	f67r2	f67r2.4	A1:G011	A1_RIGHT_SECTOR_SLOT_04	F67_RIGHT_WHEEL_NS	OPAQUE_LOCAL_EXEMPLAR_LABEL	NAMESPACE_EXPANSION_ONLY	NAMESPACE_EXPANSION_ONLY	NONE_SELECTED	NONE	NONE
12	A1	f67r2	f67r2.5	A1:G012	A1_RIGHT_SECTOR_SLOT_05	F67_RIGHT_WHEEL_NS	OPAQUE_LOCAL_EXEMPLAR_LABEL	NAMESPACE_EXPANSION_ONLY	NAMESPACE_EXPANSION_ONLY	NONE_SELECTED	NONE	NONE
13	A1	f67r2	f67r2.5	A1:G013	A1_RIGHT_SECTOR_SLOT_05	F67_RIGHT_WHEEL_NS	OPAQUE_LOCAL_EXEMPLAR_LABEL	NAMESPACE_EXPANSION_ONLY	NAMESPACE_EXPANSION_ONLY	NONE_SELECTED	NONE	NONE
