namespace_id	page	visible_kind	locus_count	group_count	medical_working_purpose_de	medical_silent_terms	medical_insertion_cost	technical_working_purpose_de	technical_silent_terms	technical_insertion_cost	local_winner	orientation	crosspage_join	prose_card_import
F67_RIGHT_WHEEL_NS	f67r2	RIGHT_CELESTIAL_WHEEL	23	56	Behandlungswahl nach lokalem Himmelssektor	Behandlungswahl|Körpersektor	2	Arbeitswahl nach lokalem Himmelssektor	Arbeitswahl	1	TECHNICAL	NONE_SELECTED	NONE	NONE
F67_LEFT_WHEEL_NS	f67r2	LEFT_CELESTIAL_WHEEL	50	121	Planeteneinfluss für einen Körperteil nachschlagen	Planeteneinfluss|Körperteil	2	örtliche Wetterlage am Himmelsrad nachschlagen	Wetterlage	1	TECHNICAL	NONE_SELECTED	NONE	NONE
F67_PAIRED_LEGEND_QUARANTINE_NS	f67r2	UNRESOLVED_PAGE_LEGEND	1	13	örtliche Wahllegende kopieren	Wahllegende	1	örtliche Arbeitslegende kopieren	Arbeitslegende	1	TIE	NONE_SELECTED	NONE	NONE
F68_LEFT_PANEL_HEADER_NS	f68r1	LEFT_PANEL_HEADER	1	9	Kopf einer medizinischen Wahltafel	Wahltafel	1	Kopf einer Beobachtungstafel	Beobachtungstafel	1	TIE	NONE_SELECTED	NONE	NONE
F68_MIDDLE_PANEL_HEADER_NS	f68r1	MIDDLE_PANEL_HEADER	1	9	Kopf einer medizinischen Wahltafel	Wahltafel	1	Kopf einer Beobachtungstafel	Beobachtungstafel	1	TIE	NONE_SELECTED	NONE	NONE
F68_RIGHT_PANEL_HEADER_NS	f68r1	RIGHT_PANEL_HEADER	1	8	Kopf einer medizinischen Wahltafel	Wahltafel	1	Kopf einer Beobachtungstafel	Beobachtungstafel	1	TIE	NONE_SELECTED	NONE	NONE
F68_MULTIPANEL_HEADER_QUARANTINE_NS	f68r1	UNRESOLVED_MULTIPANEL_HEADER	4	5	ungelöster Teil einer medizinischen Wahltafel	Wahltafel	1	ungelöster Teil einer Beobachtungstafel	Beobachtungstafel	1	TIE	NONE_SELECTED	NONE	NONE
F68_CENTRE_KEY_QUARANTINE_NS	f68r1	UNRESOLVED_FACE_CENTRE_KEY	1	1	Mondphase als Schlüssel einer Behandlungswahl	Mondphase|Behandlungswahl	2	örtliche Zeitmarke als Schlüssel	Zeitmarke	1	TECHNICAL	NONE_SELECTED	NONE	NONE
F68_LOCAL_STAR_SLOT_NS	f68r1	LOCAL_STAR_SLOT_POOL	28	28	Mondstation für eine Anwendungszeit	Mondstation|Anwendungszeit	2	örtliche Sternstation für den Arbeitskalender	Sternstation	1	TECHNICAL	NONE_SELECTED	NONE	NONE
F68_CENTRAL_LEGEND_QUARANTINE_NS	f68r1	UNRESOLVED_CENTRAL_LEGEND	1	5	zentrale Wahllegende kopieren	Wahllegende	1	zentrale Arbeitslegende kopieren	Arbeitslegende	1	TIE	NONE_SELECTED	NONE	NONE
F69_LEFT_WHEEL_NS	f69v	LEFT_WHEEL_WITH_28_UNORDERED_SLOTS	29	73	Mondstation für einen Behandlungstermin	Mondstation|Behandlungstermin	2	lokalen Arbeitstag im 28-Platz-Rad nachschlagen	Arbeitstag	1	TECHNICAL	NONE_SELECTED	NONE	NONE
F69_MIDDLE_WHEEL_NS	f69v	MIDDLE_WAVE_OR_CLOUD_WHEEL	1	38	Feuchtigkeitsprognose für einen Körperzustand	Feuchtigkeitsprognose|Körperzustand	2	Wetterzustand am Wolken-/Wellenrad nachschlagen	Wetterzustand	1	TECHNICAL	NONE_SELECTED	NONE	NONE
F69_RIGHT_WHEEL_NS	f69v	RIGHT_FACE_RAY_WHEEL	1	29	Komplexion am Gesicht-/Strahlenrad nachschlagen	Komplexion	1	Tageslicht und Arbeitszustand am Strahlenrad nachschlagen	Tageslicht|Arbeitszustand	2	MEDICAL	NONE_SELECTED	NONE	NONE
