page	diagram_id	locus	group_count	opaque_group_ids	local_image_owner	local_namespace	visible_content_class	medical_expansion_de	technical_expansion_de	orientation	f68_f69_mapping	prose_card_import	exact_external_label
f67r2	A1	f67r2.1	3	A1:G001|A1:G002|A1:G003	A1_RIGHT_SECTOR_SLOT_01	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	f67r2.1: Behandlungswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	f67r2.1: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	UNORDERED_OR_UNSELECTED	NONE	NONE	NOT_ASSIGNED
f67r2	A1	f67r2.2	3	A1:G004|A1:G005|A1:G006	A1_RIGHT_SECTOR_SLOT_02	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	f67r2.2: Behandlungswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	f67r2.2: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	UNORDERED_OR_UNSELECTED	NONE	NONE	NOT_ASSIGNED
f67r2	A1	f67r2.3	3	A1:G007|A1:G008|A1:G009	A1_RIGHT_SECTOR_SLOT_03	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	f67r2.3: Behandlungswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	f67r2.3: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	UNORDERED_OR_UNSELECTED	NONE	NONE	NOT_ASSIGNED
f67r2	A1	f67r2.4	2	A1:G010|A1:G011	A1_RIGHT_SECTOR_SLOT_04	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	f67r2.4: Behandlungswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	f67r2.4: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	UNORDERED_OR_UNSELECTED	NONE	NONE	NOT_ASSIGNED
f67r2	A1	f67r2.5	2	A1:G012|A1:G013	A1_RIGHT_SECTOR_SLOT_05	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	f67r2.5: Behandlungswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	f67r2.5: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	UNORDERED_OR_UNSELECTED	NONE	NONE	NOT_ASSIGNED
f67r2	A1	f67r2.6	1	A1:G014	A1_RIGHT_SECTOR_SLOT_06	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	f67r2.6: Behandlungswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	f67r2.6: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	UNORDERED_OR_UNSELECTED	NONE	NONE	NOT_ASSIGNED
f67r2	A1	f67r2.7	3	A1:G015|A1:G016|A1:G017	A1_RIGHT_SECTOR_SLOT_07	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	f67r2.7: Behandlungswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	f67r2.7: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	UNORDERED_OR_UNSELECTED	NONE	NONE	NOT_ASSIGNED
f67r2	A1	f67r2.8	1	A1:G018	A1_RIGHT_SECTOR_SLOT_08	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	f67r2.8: Behandlungswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	f67r2.8: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	UNORDERED_OR_UNSELECTED	NONE	NONE	NOT_ASSIGNED
f67r2	A1	f67r2.9	2	A1:G019|A1:G020	A1_RIGHT_SECTOR_SLOT_09	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	f67r2.9: Behandlungswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	f67r2.9: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	UNORDERED_OR_UNSELECTED	NONE	NONE	NOT_ASSIGNED
f67r2	A1	f67r2.10	3	A1:G021|A1:G022|A1:G023	A1_RIGHT_SECTOR_SLOT_10	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	f67r2.10: Behandlungswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	f67r2.10: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	UNORDERED_OR_UNSELECTED	NONE	NONE	NOT_ASSIGNED
