locus_order	physical_page	source_page	register	locus	source_kind	events	owner_bound_events	repaired_events	surface_sequence	atomic_sequence_de	continuous_reading_de	physical_line_is_sentence_end
1	f10r	f10r	HERBAL	f10r.1	P	8	0	1	pchocthy · shor · octhody · chorchy · pchodol · chopchal · ypch · kom	BEGINNEN/EINSETZEN · ENTNEHMEN/ABLESEN · GANG · STATUS · DIESER POSTEN | HALTEN · ANSATZ/EINTRAG | GANG · STATUS · GANG · TEILADRESSE · DIESER POSTEN | ENTNEHMEN/ABLESEN · ANSATZ/EINTRAG · ENTNEHMEN/ABLESEN · DIESER POSTEN | BEGINNEN/EINSETZEN · ENTNEHMEN/ABLESEN · GANG · TEILADRESSE · FORTSETZEN | ENTNEHMEN/ABLESEN · GANG · BEGINNEN/EINSETZEN · ENTNEHMEN/ABLESEN · ZIELSTELLE | DIESER POSTEN · BEGINNEN/EINSETZEN · ENTNEHMEN/ABLESEN | ZUORDNEN/ZUGEBEN · GANG · M-KENNZEICHEN	den Teil einsetzen; den Pflanzenteil entnehmen; den Verarbeitungsgang ausführen; den Zubereitungsstatus prüfen; diesen Posten; den Ansatz halten; mit dem Pflanzenansatz; den Verarbeitungsgang ausführen; den Zubereitungsstatus prüfen; den Verarbeitungsgang ausführen; an der Teiladresse; diesen Posten; den Pflanzenteil entnehmen; mit dem Pflanzenansatz; den Pflanzenteil entnehmen; diesen Posten; den Teil einsetzen; den Pflanzenteil entnehmen; den Verarbeitungsgang ausführen; an der Teiladresse; fortsetzen; den Pflanzenteil entnehmen; den Verarbeitungsgang ausführen; den Teil einsetzen; den Pflanzenteil entnehmen; zur Zielstelle; diesen Posten; den Teil einsetzen; den Pflanzenteil entnehmen; Material zugeben; den Verarbeitungsgang ausführen; mit M-Kennzeichen	NO
2	f10r	f10r	HERBAL	f10r.2	P	10	0	0	dchey · cthoor · char · chty · os · chair · otytchol · oky · daiin · etyd	ENTNEHMEN/ABLESEN · KURZ · DIESER POSTEN | STATUS · GANG · ANSATZ/EINTRAG | QUELLSTELLE | ENTNEHMEN/ABLESEN · BEARBEITEN/MARKIEREN · DIESER POSTEN | AUCH | ENTNEHMEN/ABLESEN · LAUF | DANACH · DIESER POSTEN · BEARBEITEN/MARKIEREN · ENTNEHMEN/ABLESEN · FORTSETZEN | ANSETZEN · DIESER POSTEN | SOLL-MASS | KURZ · BEARBEITEN/MARKIEREN · DIESER POSTEN	den Pflanzenteil entnehmen; kurz; diesen Posten; den Zubereitungsstatus prüfen; den Verarbeitungsgang ausführen; mit dem Pflanzenansatz; von der Quellstelle; den Pflanzenteil entnehmen; den Teil bearbeiten; diesen Posten; ebenfalls; den Pflanzenteil entnehmen; entlang des Laufs; danach; diesen Posten; den Teil bearbeiten; den Pflanzenteil entnehmen; fortsetzen; die Zubereitung ansetzen; diesen Posten; nach Sollmaß; kurz; den Teil bearbeiten; diesen Posten	NO
3	f10r	f10r	HERBAL	f10r.3	P	11	0	1	qotor · o · tchy · daiin · chocthy · qotchy · chol · or · yty · dy · dy	DANACH · ANSATZ/EINTRAG | GANG | BEARBEITEN/MARKIEREN · DIESER POSTEN | SOLL-MASS | ENTNEHMEN/ABLESEN · GANG · STATUS · DIESER POSTEN | DANACH · DIESER POSTEN | FORTSETZEN | ANSATZ/EINTRAG | DIESER POSTEN · BEARBEITEN/MARKIEREN · DIESER POSTEN | DIESER POSTEN | DIESER POSTEN	danach; mit dem Pflanzenansatz; den Verarbeitungsgang ausführen; den Teil bearbeiten; diesen Posten; nach Sollmaß; den Pflanzenteil entnehmen; den Verarbeitungsgang ausführen; den Zubereitungsstatus prüfen; diesen Posten; danach; diesen Posten; fortsetzen; mit dem Pflanzenansatz; diesen Posten; den Teil bearbeiten; diesen Posten; diesen Posten; diesen Posten	NO
4	f10r	f10r	HERBAL	f10r.4	P	10	0	1	sor · chaiin · chcthy · ctho · ckhy · or · aiin · chtchor · doiir · ody	KONTEXT/PROBE · ANSATZ/EINTRAG | ENTNEHMEN/ABLESEN · SOLL-MASS | ENTNEHMEN/ABLESEN · STATUS · DIESER POSTEN | STATUS · GANG | DURCHLASS · DIESER POSTEN | ANSATZ/EINTRAG | SOLL-MASS | ENTNEHMEN/ABLESEN · BEARBEITEN/MARKIEREN · ENTNEHMEN/ABLESEN · ANSATZ/EINTRAG | TEILADRESSE · GANG · STUFE · MARKIERTER ZUSTAND | GANG · SCHLUSS	prüfen oder weitergehen; mit dem Pflanzenansatz; den Pflanzenteil entnehmen; nach Sollmaß; den Pflanzenteil entnehmen; den Zubereitungsstatus prüfen; diesen Posten; den Zubereitungsstatus prüfen; den Verarbeitungsgang ausführen; durch den Durchlass; diesen Posten; mit dem Pflanzenansatz; nach Sollmaß; den Pflanzenteil entnehmen; den Teil bearbeiten; den Pflanzenteil entnehmen; mit dem Pflanzenansatz; an der Teiladresse; den Verarbeitungsgang ausführen; auf der Stufe; den Zustand markieren; den Verarbeitungsgang ausführen; den Schritt schließen	NO
5	f10r	f10r	HERBAL	f10r.5	P	4	0	0	qokchy · qotchol · chol · cthy	ANSETZEN · DIESER POSTEN | DANACH · ENTNEHMEN/ABLESEN · FORTSETZEN | FORTSETZEN | STATUS · DIESER POSTEN	die Zubereitung ansetzen; diesen Posten; danach; den Pflanzenteil entnehmen; fortsetzen; fortsetzen; den Zubereitungsstatus prüfen; diesen Posten	NO
6	f10r	f10r	HERBAL	f10r.6	P	9	0	0	ycheor · cthy · chor · cthaiin · qoctholy · dy · chy · taiin · shy	DIESER POSTEN · REGISTER-EINTRAG · MARKIERTER ZUSTAND | STATUS · DIESER POSTEN | ENTNEHMEN/ABLESEN · ANSATZ/EINTRAG | STATUS · SOLL-MASS | GANG · STATUS · FORTSETZEN · DIESER POSTEN | DIESER POSTEN | DIESER POSTEN | BEARBEITEN/MARKIEREN · SOLL-MASS | DIESER POSTEN	diesen Posten; den Auszug verwenden; den Zustand markieren; den Zubereitungsstatus prüfen; diesen Posten; den Pflanzenteil entnehmen; mit dem Pflanzenansatz; den Zubereitungsstatus prüfen; nach Sollmaß; den Verarbeitungsgang ausführen; den Zubereitungsstatus prüfen; fortsetzen; diesen Posten; diesen Posten; diesen Posten; den Teil bearbeiten; nach Sollmaß; diesen Posten	NO
7	f10r	f10r	HERBAL	f10r.7	P	10	0	1	dchy · qokchol · y · kchaiin · yty · daiin · cth · dain · dair · am	TEILADRESSE · DIESER POSTEN | ANSETZEN · FORTSETZEN | DIESER POSTEN | ZUORDNEN/ZUGEBEN · ENTNEHMEN/ABLESEN · SOLL-MASS | DIESER POSTEN · BEARBEITEN/MARKIEREN · DIESER POSTEN | SOLL-MASS | STATUS | PORTION | TEILADRESSE · LAUF | GEGEN-/INNENFELD	an der Teiladresse; diesen Posten; die Zubereitung ansetzen; fortsetzen; diesen Posten; Material zugeben; den Pflanzenteil entnehmen; nach Sollmaß; diesen Posten; den Teil bearbeiten; diesen Posten; nach Sollmaß; den Zubereitungsstatus prüfen; eine Portion; an der Teiladresse; entlang des Laufs; am Gegen-/Innenfeld	NO
8	f10r	f10r	HERBAL	f10r.8	P	8	0	0	qotchor · chor · otol · chol · cholor · chol · daiin · dar	DANACH · ENTNEHMEN/ABLESEN · ANSATZ/EINTRAG | ENTNEHMEN/ABLESEN · ANSATZ/EINTRAG | DANACH · FORTSETZEN | FORTSETZEN | FORTSETZEN · ANSATZ/EINTRAG | FORTSETZEN | SOLL-MASS | TEILADRESSE · QUELLSTELLE	danach; den Pflanzenteil entnehmen; mit dem Pflanzenansatz; den Pflanzenteil entnehmen; mit dem Pflanzenansatz; danach; fortsetzen; fortsetzen; fortsetzen; mit dem Pflanzenansatz; fortsetzen; nach Sollmaß; an der Teiladresse; von der Quellstelle	NO
9	f10r	f10r	HERBAL	f10r.9	P	7	0	0	oykchor · shor · chor · chy · kaiiin · dy · chodaiin	GANG · DIESER POSTEN · ZUORDNEN/ZUGEBEN · ENTNEHMEN/ABLESEN · ANSATZ/EINTRAG | HALTEN · ANSATZ/EINTRAG | ENTNEHMEN/ABLESEN · ANSATZ/EINTRAG | DIESER POSTEN | ZUORDNEN/ZUGEBEN · LOKALE ADRESSE · I-KENNZEICHEN · STUFE | DIESER POSTEN | ENTNEHMEN/ABLESEN · GANG · TEILADRESSE · SOLL-MASS	den Verarbeitungsgang ausführen; diesen Posten; Material zugeben; den Pflanzenteil entnehmen; mit dem Pflanzenansatz; den Ansatz halten; mit dem Pflanzenansatz; den Pflanzenteil entnehmen; mit dem Pflanzenansatz; diesen Posten; Material zugeben; an der lokalen Adresse; mit lokalem I-Kennzeichen; auf der Stufe; diesen Posten; den Pflanzenteil entnehmen; den Verarbeitungsgang ausführen; an der Teiladresse; nach Sollmaß	NO
10	f10r	f10r	HERBAL	f10r.10	P	6	0	0	oqotor · otor · cfhy · cthor · osain · ytoiin	GANG · DANACH · ANSATZ/EINTRAG | DANACH · ANSATZ/EINTRAG | TRENNEN/PRESSEN · DIESER POSTEN | STATUS · ANSATZ/EINTRAG | GANG · KONTEXT/PROBE · PORTION | DIESER POSTEN · BEARBEITEN/MARKIEREN · GANG · STUFE	den Verarbeitungsgang ausführen; danach; mit dem Pflanzenansatz; danach; mit dem Pflanzenansatz; auspressen oder trennen; diesen Posten; den Zubereitungsstatus prüfen; mit dem Pflanzenansatz; den Verarbeitungsgang ausführen; prüfen oder weitergehen; eine Portion; diesen Posten; den Teil bearbeiten; den Verarbeitungsgang ausführen; auf der Stufe	NO
11	f10r	f10r	HERBAL	f10r.11	P	5	0	0	otchoshor · qoty · qotor · cthyd · otar	DANACH · ENTNEHMEN/ABLESEN · GANG · HALTEN · ANSATZ/EINTRAG | DANACH · DIESER POSTEN | DANACH · ANSATZ/EINTRAG | STATUS · DIESER POSTEN · TEILADRESSE | DANACH · QUELLSTELLE	danach; den Pflanzenteil entnehmen; den Verarbeitungsgang ausführen; den Ansatz halten; mit dem Pflanzenansatz; danach; diesen Posten; danach; mit dem Pflanzenansatz; den Zubereitungsstatus prüfen; diesen Posten; an der Teiladresse; danach; von der Quellstelle	NO
12	f10r	f10r	HERBAL	f10r.12	P	4	0	0	odaiin · daiin · qotchy · qotor	GANG · TEILADRESSE · SOLL-MASS | SOLL-MASS | DANACH · DIESER POSTEN | DANACH · ANSATZ/EINTRAG	den Verarbeitungsgang ausführen; an der Teiladresse; nach Sollmaß; nach Sollmaß; danach; diesen Posten; danach; mit dem Pflanzenansatz	NO
