page_order	physical_page	register	source_pages	loci	events	surface_types	dictionary_entries	owner_bound_labels	repaired_workshop_events	cph_events
1	f10r	HERBAL	f10r	12	92	72	72	0	4	0
2	f11r	HERBAL	f11r	7	59	42	42	0	3	1
3	f13r	HERBAL	f13r	10	77	61	61	0	0	0
4	f55v	HERBAL	f55v	12	106	74	74	0	2	0
5	f56r	HERBAL	f56r	19	105	81	81	0	2	1
6	f75r	BIOLOGICAL	f75r	53	418	203	205	10	0	0
7	f81v	BIOLOGICAL	f81v	28	255	157	158	2	12	1
8	f82r	BIOLOGICAL	f82r	45	291	173	174	13	7	1
9	f83r	BIOLOGICAL	f83r	55	345	199	199	4	10	3
10	f67r2	ZODIAC	f67r2	74	190	157	166	64	8	1
11	f68r1	ZODIAC	f68r1	37	65	64	65	29	4	3
12	f69v	ZODIAC	f69v	31	140	107	112	0	7	0
13	f70v	ZODIAC	f70v1|f70v2	50	218	170	181	60	0	0
14	f88r	PHARMA	f88r	31	150	110	111	16	4	1
