dictionary_entry_id	surface	register	usage_class	component_recipe	meaning_mode	owner_binding_required	events	physical_pages	loci	atomic_default_de	fluent_default_de
P912-D0001	a	ZODIAC	RING_TEXT	A_ADDR	LEARNED_COMPONENT_RECIPE	NO	1	f69v	f69v.3	LOKALE ADRESSE	an der lokalen Adresse
P912-D0002	aiin	BIOLOGICAL	PROSE	AIIN	LEARNED_COMPONENT_RECIPE	NO	8	f81v|f82r|f83r	f81v.6|f82r.16|f82r.26|f83r.10|f83r.33|f83r.36|f83r.48	SOLL-MASS	nach Sollmaß
P912-D0003	aiin	HERBAL	PROSE	AIIN	LEARNED_COMPONENT_RECIPE	NO	7	f10r|f55v|f56r	f10r.4|f55v.10|f55v.11|f55v.12|f55v.3|f55v.9|f56r.17	SOLL-MASS	nach Sollmaß
P912-D0004	aiin	PHARMA	PROSE	AIIN	LEARNED_COMPONENT_RECIPE	NO	4	f88r	f88r.20|f88r.27|f88r.8	SOLL-MASS	nach Sollmaß
P912-D0005	aiin	ZODIAC	PROSE	AIIN	LEARNED_COMPONENT_RECIPE	NO	5	f67r2	f67r2.27|f67r2.43|f67r2.44|f67r2.49|f67r2.74	SOLL-MASS	nach Sollmaß
P912-D0006	aiin	ZODIAC	RING_TEXT	AIIN	LEARNED_COMPONENT_RECIPE	NO	3	f69v|f70v	f69v.2|f70v2.1|f70v2.32	SOLL-MASS	nach Sollmaß
P912-D0007	aildy	ZODIAC	RING_TEXT	A_ADDR+IIN+L+DY	LEARNED_COMPONENT_RECIPE	NO	1	f70v	f70v2.32	LOKALE ADRESSE · STUFE · LEITEN · SCHLUSS	an der lokalen Adresse; auf der Stufe; weiterleiten; den Schritt schließen
P912-D0008	ain	BIOLOGICAL	PROSE	AIN	LEARNED_COMPONENT_RECIPE	NO	1	f75r	f75r.5	PORTION	eine Portion
P912-D0009	ain	HERBAL	PROSE	AIN	LEARNED_COMPONENT_RECIPE	NO	2	f55v	f55v.3|f55v.7	PORTION	eine Portion
P912-D0010	ain	ZODIAC	PROSE	AIN	LEARNED_COMPONENT_RECIPE	NO	2	f67r2	f67r2.13|f67r2.19	PORTION	eine Portion
P912-D0011	air	ZODIAC	LABEL	AIR	OWNER_BOUND_COMPOUND_LABEL	YES	1	f67r2	f67r2.64	LAUF	sichtbaren Besitzer als Namen/Klasse lesen; Komponenten nur als Klassifikator-Hypothese
P912-D0012	air	ZODIAC	PROSE	AIR	LEARNED_COMPONENT_RECIPE	NO	2	f67r2	f67r2.32|f67r2.74	LAUF	entlang des Laufs
P912-D0013	air	ZODIAC	RING_TEXT	AIR	LEARNED_COMPONENT_RECIPE	NO	2	f69v|f70v	f69v.3|f70v1.1	LAUF	entlang des Laufs
P912-D0014	airchy	ZODIAC	RING_TEXT	AIR+Y	LEARNED_COMPONENT_RECIPE	NO	1	f69v	f69v.2	LAUF · DIESER POSTEN	entlang des Laufs; diesen Posten
P912-D0015	ajy	BIOLOGICAL	PROSE	A_ADDR+Y	LEARNED_COMPONENT_RECIPE	NO	1	f75r	f75r.26	LOKALE ADRESSE · DIESER POSTEN	an der lokalen Adresse; diesen Posten
P912-D0016	al	BIOLOGICAL	PROSE	AL	LEARNED_COMPONENT_RECIPE	NO	3	f75r|f81v|f83r	f75r.14|f81v.2|f83r.12	ZIELSTELLE	zur Zielstelle
P912-D0017	al	HERBAL	PROSE	AL	LEARNED_COMPONENT_RECIPE	NO	2	f55v	f55v.3|f55v.4	ZIELSTELLE	zur Zielstelle
P912-D0018	al	ZODIAC	LABEL	AL	OWNER_BOUND_COMPOUND_LABEL	YES	1	f70v	f70v2.23	ZIELSTELLE	sichtbaren Besitzer als Namen/Klasse lesen; Komponenten nur als Klassifikator-Hypothese
P912-D0019	al	ZODIAC	RING_TEXT	AL	LEARNED_COMPONENT_RECIPE	NO	4	f70v	f70v1.12|f70v2.1|f70v2.32	ZIELSTELLE	zur Zielstelle
P912-D0020	alaiin	ZODIAC	PROSE	AL+AIIN	NEW_COMPONENT_COMPOSITION	NO	1	f67r2	f67r2.32	ZIELSTELLE · SOLL-MASS	zur Zielstelle; nach Sollmaß
P912-D0021	alain	ZODIAC	RING_TEXT	AL+AIN	LEARNED_COMPONENT_RECIPE	NO	1	f70v	f70v2.1	ZIELSTELLE · PORTION	zur Zielstelle; eine Portion
P912-D0022	alals	ZODIAC	LABEL	AL+AL+S_ADDR	OWNER_BOUND_COMPOUND_LABEL	YES	1	f70v	f70v1.15	ZIELSTELLE · ZIELSTELLE · S-ADRESSE	sichtbaren Besitzer als Namen/Klasse lesen; Komponenten nur als Klassifikator-Hypothese
P912-D0023	aldaiin	ZODIAC	PROSE	AL+D_ADDR+AIIN	NEW_COMPONENT_COMPOSITION	NO	1	f67r2	f67r2.72	ZIELSTELLE · TEILADRESSE · SOLL-MASS	zur Zielstelle; an der Teiladresse; nach Sollmaß
P912-D0024	aldy	HERBAL	PROSE	AL+D_ADDR+Y	NEW_COMPONENT_COMPOSITION	NO	1	f55v	f55v.7	ZIELSTELLE · TEILADRESSE · DIESER POSTEN	zur Zielstelle; an der Teiladresse; diesen Posten
P912-D0025	aldy	ZODIAC	PROSE	AL+D_ADDR+Y	NEW_COMPONENT_COMPOSITION	NO	1	f67r2	f67r2.13	ZIELSTELLE · TEILADRESSE · DIESER POSTEN	zur Zielstelle; an der Teiladresse; diesen Posten
P912-D0026	alody	ZODIAC	RING_TEXT	AL+O+DY	LEARNED_COMPONENT_RECIPE	NO	1	f70v	f70v2.21	ZIELSTELLE · GANG · SCHLUSS	zur Zielstelle; den Ringgang lesen; den Schritt schließen
P912-D0027	alos	ZODIAC	RING_TEXT	AL+O+S_ADDR	LEARNED_COMPONENT_RECIPE	NO	1	f70v	f70v2.21	ZIELSTELLE · GANG · S-ADRESSE	zur Zielstelle; den Ringgang lesen; an der S-Adresse
P912-D0028	alsy	PHARMA	PROSE	AL+S+Y	NEW_COMPONENT_COMPOSITION	NO	1	f88r	f88r.28	ZIELSTELLE · KONTEXT/PROBE · DIESER POSTEN	zur Zielstelle; und dann; diesen Posten
P912-D0029	altedy	BIOLOGICAL	PROSE	AL+T+E+D_ADDR+Y	NEW_COMPONENT_COMPOSITION	NO	1	f83r	f83r.13	ZIELSTELLE · BEARBEITEN/MARKIEREN · KURZ · TEILADRESSE · DIESER POSTEN	zur Zielstelle; den Abschnitt bedienen; kurz; an der Teiladresse; diesen Posten
P912-D0030	aly	BIOLOGICAL	PROSE	AL+Y	LEARNED_COMPONENT_RECIPE	NO	1	f75r	f75r.14	ZIELSTELLE · DIESER POSTEN	zur Zielstelle; diesen Posten
P912-D0031	alys	ZODIAC	DIAGRAM_TEXT	AL+Y+S	NEW_COMPONENT_COMPOSITION	NO	1	f69v	f69v.31	ZIELSTELLE · DIESER POSTEN · KONTEXT/PROBE	zur Zielstelle; diesen Posten; die Sternkennung lesen
P912-D0032	am	BIOLOGICAL	PROSE	AM_ADDR	LEARNED_COMPONENT_RECIPE	NO	1	f75r	f75r.21	GEGEN-/INNENFELD	am Gegen-/Innenfeld
P912-D0033	am	HERBAL	PROSE	AM_ADDR	LEARNED_COMPONENT_RECIPE	NO	2	f10r|f55v	f10r.7|f55v.3	GEGEN-/INNENFELD	am Gegen-/Innenfeld
