event_id	prior_local_code	surface	register	physical_page	source_page	locus	owner_description_de	component_recipe	atomic_reading_de	owner_bound_reading_de
P912-E0848	B-L022	sal	BIOLOGICAL	f75r	f75r	f75r.47	Kennung der lower pool label 1	S+AL	KONTEXT/PROBE · ZIELSTELLE	Bild-/Musterwert: Kennung der lower pool label 1
P912-E0849	B-L013	okeedy	BIOLOGICAL	f75r	f75r	f75r.47	Kennung der lower pool label 1	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	Bild-/Musterwert: Kennung der lower pool label 1
P912-E0850	B-L003	daly	BIOLOGICAL	f75r	f75r	f75r.48	Kennung der lower pool label 2	AL+Y	ZIELSTELLE · DIESER POSTEN	Bild-/Musterwert: Kennung der lower pool label 2
P912-E0851	B-L028	ychey	BIOLOGICAL	f75r	f75r	f75r.48	Kennung der lower pool label 2	Y+Y	DIESER POSTEN · DIESER POSTEN	Bild-/Musterwert: Kennung der lower pool label 2
P912-E0852	B-L026	sols	BIOLOGICAL	f75r	f75r	f75r.49	Kennung der lower pool label 3	OL+S	FORTSETZEN · KONTEXT/PROBE	Bild-/Musterwert: Kennung der lower pool label 3
P912-E0853	B-L004	dara	BIOLOGICAL	f75r	f75r	f75r.49	Kennung der lower pool label 3	D_ADDR+AR+A_ADDR	TEILADRESSE · QUELLSTELLE · LOKALE ADRESSE	Bild-/Musterwert: Kennung der lower pool label 3
P912-E0854	B-L029	ychty	BIOLOGICAL	f75r	f75r	f75r.50	Kennung der lower pool label 4	Y+CH+T+Y	DIESER POSTEN · ENTNEHMEN/ABLESEN · BEARBEITEN/MARKIEREN · DIESER POSTEN	Bild-/Musterwert: Kennung der lower pool label 4
P912-E0855	B-L021	saino	BIOLOGICAL	f75r	f75r	f75r.51	Kennung der lower pool label 5	S+AIN+O	KONTEXT/PROBE · PORTION · GANG	Bild-/Musterwert: Kennung der lower pool label 5
P912-E0856	B-L023	saldy	BIOLOGICAL	f75r	f75r	f75r.52	Kennung der lower pool label 6	S+AL+DY	KONTEXT/PROBE · ZIELSTELLE · SCHLUSS	Bild-/Musterwert: Kennung der lower pool label 6
P912-E0857	B-L002	dainy	BIOLOGICAL	f75r	f75r	f75r.53	Kennung der lower pool label 7	AIN+Y	PORTION · DIESER POSTEN	Bild-/Musterwert: Kennung der lower pool label 7
P912-E1111	B-L020	otain	BIOLOGICAL	f81v	f81v	f81v.28	Kennung am gemeinsames Bad- und Beckenfeld (f81v.28)	OT+AIN	DANACH · PORTION	Bild-/Musterwert: Kennung am gemeinsames Bad- und Beckenfeld (f81v.28)
P912-E1112	B-L016	olkal	BIOLOGICAL	f81v	f81v	f81v.28	Kennung am gemeinsames Bad- und Beckenfeld (f81v.28)	OL+K+AL	FORTSETZEN · ZUORDNEN/ZUGEBEN · ZIELSTELLE	Bild-/Musterwert: Kennung am gemeinsames Bad- und Beckenfeld (f81v.28)
P912-E1185	B-L019	oroldair	BIOLOGICAL	f82r	f82r	f82r.10	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.10)	OR+OL+D_ADDR+AIR	ANSATZ/EINTRAG · FORTSETZEN · TEILADRESSE · LAUF	Bild-/Musterwert: Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.10)
P912-E1392	B-L014	okor	BIOLOGICAL	f82r	f82r	f82r.34	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.34)	OK+OR	ANSETZEN · ANSATZ/EINTRAG	Bild-/Musterwert: Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.34)
P912-E1393	B-L006	darol	BIOLOGICAL	f82r	f82r	f82r.35	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.35)	DA+R+OL	ZWEITE STUFE · MARKIERTER ZUSTAND · FORTSETZEN	Bild-/Musterwert: Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.35)
P912-E1394	B-L010	okal	BIOLOGICAL	f82r	f82r	f82r.36	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.36)	OK+AL	ANSETZEN · ZIELSTELLE	Bild-/Musterwert: Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.36)
P912-E1395	B-L011	okaldy	BIOLOGICAL	f82r	f82r	f82r.37	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.37)	OK+AL+DY	ANSETZEN · ZIELSTELLE · SCHLUSS	Bild-/Musterwert: Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.37)
P912-E1396	B-L005	darary	BIOLOGICAL	f82r	f82r	f82r.38	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.38)	DA+R+AR+Y	ZWEITE STUFE · MARKIERTER ZUSTAND · QUELLSTELLE · DIESER POSTEN	Bild-/Musterwert: Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.38)
P912-E1397	B-L009	okairady	BIOLOGICAL	f82r	f82r	f82r.39	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.39)	OK+AIR+A_ADDR+D_ADDR+Y	ANSETZEN · LAUF · LOKALE ADRESSE · TEILADRESSE · DIESER POSTEN	Bild-/Musterwert: Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.39)
P912-E1398	B-L027	sororl	BIOLOGICAL	f82r	f82r	f82r.40	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.40)	S+OR+OR+L	KONTEXT/PROBE · ANSATZ/EINTRAG · ANSATZ/EINTRAG · LEITEN	Bild-/Musterwert: Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.40)
P912-E1399	B-L017	olkoky	BIOLOGICAL	f82r	f82r	f82r.41	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.41)	OL+K+OK+Y	FORTSETZEN · ZUORDNEN/ZUGEBEN · ANSETZEN · DIESER POSTEN	Bild-/Musterwert: Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.41)
P912-E1400	B-L025	sokoly	BIOLOGICAL	f82r	f82r	f82r.42	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.42)	S+OK+OL+Y	KONTEXT/PROBE · ANSETZEN · FORTSETZEN · DIESER POSTEN	Bild-/Musterwert: Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.42)
P912-E1401	B-L008	dolol	BIOLOGICAL	f82r	f82r	f82r.43	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.43)	D_ADDR+OL+OL	TEILADRESSE · FORTSETZEN · FORTSETZEN	Bild-/Musterwert: Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.43)
P912-E1402	B-L015	olaiin	BIOLOGICAL	f82r	f82r	f82r.44	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.44)	OL+AIIN	FORTSETZEN · SOLL-MASS	Bild-/Musterwert: Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.44)
P912-E1403	B-L012	okeear	BIOLOGICAL	f82r	f82r	f82r.45	Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.45)	OK+EE+AR	ANSETZEN · LANG · QUELLSTELLE	Bild-/Musterwert: Kennung am mehrere lokale Bad- und Leitungsstationen (f82r.45)
P912-E1718	B-L001	chtorol	BIOLOGICAL	f83r	f83r	f83r.45	Kennung am lokale Becken-, Figuren- und Verbindungsstationen (f83r.45)	CH+T+OR+OL	ENTNEHMEN/ABLESEN · BEARBEITEN/MARKIEREN · ANSATZ/EINTRAG · FORTSETZEN	Bild-/Musterwert: Kennung am lokale Becken-, Figuren- und Verbindungsstationen (f83r.45)
P912-E1719	B-L018	olsaiin	BIOLOGICAL	f83r	f83r	f83r.46	Kennung am lokale Becken-, Figuren- und Verbindungsstationen (f83r.46)	OL+S+AIIN	FORTSETZEN · KONTEXT/PROBE · SOLL-MASS	Bild-/Musterwert: Kennung am lokale Becken-, Figuren- und Verbindungsstationen (f83r.46)
P912-E1731	B-L024	sasoldal	BIOLOGICAL	f83r	f83r	f83r.50	Kennung am lokale Becken-, Figuren- und Verbindungsstationen (f83r.50)	S+A_ADDR+S+OL+DA+L	KONTEXT/PROBE · LOKALE ADRESSE · KONTEXT/PROBE · FORTSETZEN · ZWEITE STUFE · LEITEN	Bild-/Musterwert: Kennung am lokale Becken-, Figuren- und Verbindungsstationen (f83r.50)
P912-E1732	B-L007	darolsy	BIOLOGICAL	f83r	f83r	f83r.51	Kennung am lokale Becken-, Figuren- und Verbindungsstationen (f83r.51)	DA+R+OL+S+Y	ZWEITE STUFE · MARKIERTER ZUSTAND · FORTSETZEN · KONTEXT/PROBE · DIESER POSTEN	Bild-/Musterwert: Kennung am lokale Becken-, Figuren- und Verbindungsstationen (f83r.51)
P912-E1749	Z-L132	ykshy	ZODIAC	f67r2	f67r2	f67r2.1	Kennung am zwei lokale Himmelsraeder (f67r2.1)	Y+K+Y	DIESER POSTEN · ZUORDNEN/ZUGEBEN · DIESER POSTEN	Bild-/Musterwert: Kennung am zwei lokale Himmelsraeder (f67r2.1)
P912-E1750	Z-L109	s	ZODIAC	f67r2	f67r2	f67r2.1	Kennung am zwei lokale Himmelsraeder (f67r2.1)	S	KONTEXT/PROBE	Bild-/Musterwert: Kennung am zwei lokale Himmelsraeder (f67r2.1)
P912-E1751	Z-L007	aram	ZODIAC	f67r2	f67r2	f67r2.1	Kennung am zwei lokale Himmelsraeder (f67r2.1)	AR+AM_ADDR	QUELLSTELLE · GEGEN-/INNENFELD	Bild-/Musterwert: Kennung am zwei lokale Himmelsraeder (f67r2.1)
P912-E1752	Z-L128	ykecho	ZODIAC	f67r2	f67r2	f67r2.2	Kennung am zwei lokale Himmelsraeder (f67r2.2)	Y+K+E+CH+O	DIESER POSTEN · ZUORDNEN/ZUGEBEN · KURZ · ENTNEHMEN/ABLESEN · GANG	Bild-/Musterwert: Kennung am zwei lokale Himmelsraeder (f67r2.2)
P912-E1753	Z-L070	ols	ZODIAC	f67r2	f67r2	f67r2.2	Kennung am zwei lokale Himmelsraeder (f67r2.2)	OL+S	FORTSETZEN · KONTEXT/PROBE	Bild-/Musterwert: Kennung am zwei lokale Himmelsraeder (f67r2.2)
P912-E1754	Z-L027	eesydy	ZODIAC	f67r2	f67r2	f67r2.2	Kennung am zwei lokale Himmelsraeder (f67r2.2)	EE+S+Y+D_ADDR+Y	LANG · KONTEXT/PROBE · DIESER POSTEN · TEILADRESSE · DIESER POSTEN	Bild-/Musterwert: Kennung am zwei lokale Himmelsraeder (f67r2.2)
P912-E1755	Z-L028	ey	ZODIAC	f67r2	f67r2	f67r2.3	Kennung am zwei lokale Himmelsraeder (f67r2.3)	E+Y	KURZ · DIESER POSTEN	Bild-/Musterwert: Kennung am zwei lokale Himmelsraeder (f67r2.3)
P912-E1756	Z-L114	shs	ZODIAC	f67r2	f67r2	f67r2.3	Kennung am zwei lokale Himmelsraeder (f67r2.3)	SH+S	HALTEN · KONTEXT/PROBE	Bild-/Musterwert: Kennung am zwei lokale Himmelsraeder (f67r2.3)
P912-E1757	Z-L051	okar	ZODIAC	f67r2	f67r2	f67r2.3	Kennung am zwei lokale Himmelsraeder (f67r2.3)	OK+AR	ANSETZEN · QUELLSTELLE	Bild-/Musterwert: Kennung am zwei lokale Himmelsraeder (f67r2.3)
P912-E1758	Z-L113	shekchy	ZODIAC	f67r2	f67r2	f67r2.4	Kennung am zwei lokale Himmelsraeder (f67r2.4)	SH+E+K+CH+Y	HALTEN · KURZ · ZUORDNEN/ZUGEBEN · ENTNEHMEN/ABLESEN · DIESER POSTEN	Bild-/Musterwert: Kennung am zwei lokale Himmelsraeder (f67r2.4)
P912-E1759	Z-L116	sykos	ZODIAC	f67r2	f67r2	f67r2.4	Kennung am zwei lokale Himmelsraeder (f67r2.4)	S+Y+K+O+S_ADDR	KONTEXT/PROBE · DIESER POSTEN · ZUORDNEN/ZUGEBEN · GANG · S-ADRESSE	Bild-/Musterwert: Kennung am zwei lokale Himmelsraeder (f67r2.4)
