locus_row	diagram_id	page	locus	local_namespace	groups	group_serials	atomic_reading_de	celestial_context_reading_de	orientation	cross_instrument_join
1	A1	f67r2	f67r2.1	A67_RIGHT_CELESTIAL_WHEEL	3	1|2|3	dies + zufuehren + dies; Sternbezug; von dort + Gegenfeld	dieser Eintrag; zuordnen; dieser Eintrag. Sternbezug. von dieser Position; Gegenfeld.	UNSPECIFIED	NONE
2	A1	f67r2	f67r2.2	A67_RIGHT_CELESTIAL_WHEEL	3	4|5|6	dies + zufuehren + kurz + Gabe; Arbeitsgang + hinausfuehren; laenger + dies + Schluss	dieser Eintrag; zuordnen; kurze Stufe; Eintrag. Lesegang; aus dem Bereich hinausfuehren. lange Stufe; dieser Eintrag; Eintrag schliessen.	UNSPECIFIED	NONE
3	A1	f67r2	f67r2.3	A67_RIGHT_CELESTIAL_WHEEL	3	7|8|9	kurz + dies; halten + Sternbezug; ansetzen + von dort	kurze Stufe; dieser Eintrag. beibehalten; Sternbezug. markieren; von dieser Position.	UNSPECIFIED	NONE
4	A1	f67r2	f67r2.4	A67_RIGHT_CELESTIAL_WHEEL	2	10|11	halten + kurz + zufuehren + dies; dies + zufuehren + Arbeitsgang + Sternbezug	beibehalten; kurze Stufe; zuordnen; dieser Eintrag. dieser Eintrag; zuordnen; Lesegang; Sternbezug.	UNSPECIFIED	NONE
5	A1	f67r2	f67r2.5	A67_RIGHT_CELESTIAL_WHEEL	2	12|13	dies + zufuehren + kurz + Arbeitsgang + dies; dies ansetzen	dieser Eintrag; zuordnen; kurze Stufe; Lesegang; dieser Eintrag. markieren; dieser Eintrag.	UNSPECIFIED	NONE
6	A1	f67r2	f67r2.6	A67_RIGHT_CELESTIAL_WHEEL	1	14	Teiladresse + entnehmen + kurz + eintragen + Nebenadresse + dies	Teiladresse; Eintrag entnehmen; kurze Stufe; eintragen; Nebenadresse; dieser Eintrag.	UNSPECIFIED	NONE
7	A1	f67r2	f67r2.7	A67_RIGHT_CELESTIAL_WHEEL	3	15|16|17	dies + zufuehren + dies; dies kurz zuführen; dies + zufuehren + dies + Sternbezug	dieser Eintrag; zuordnen; dieser Eintrag. zuordnen; kurze Stufe; dieser Eintrag. dieser Eintrag; zuordnen; dieser Eintrag; Sternbezug.	UNSPECIFIED	NONE
8	A1	f67r2	f67r2.8	A67_RIGHT_CELESTIAL_WHEEL	1	18	anheben + umsetzen + von dort	Stufe anheben; uebertragen; von dieser Position.	UNSPECIFIED	NONE
9	A1	f67r2	f67r2.9	A67_RIGHT_CELESTIAL_WHEEL	2	19|20	dies + zufuehren + von dort; dies + zufuehren + Stelle + dies	dieser Eintrag; zuordnen; von dieser Position. dieser Eintrag; zuordnen; Position; dieser Eintrag.	UNSPECIFIED	NONE
10	A1	f67r2	f67r2.10	A67_RIGHT_CELESTIAL_WHEEL	3	21|22|23	fuehren + zufuehren + dies; dies zuführen; ansetzen + von dort	fuehren; zuordnen; dieser Eintrag. zuordnen; dieser Eintrag. markieren; von dieser Position.	UNSPECIFIED	NONE
