component	atomic_default_de	wet_context_expansion_de	celestial_context_expansion_de	prose_events	astro_groups	cross_register	genuine_content_collision	reason
AIIN	Mass	Mass	Wert	39	24	YES	NO	both expansions are specializations of the same common action
AIN	Portion	Portion	Teilwert	19	9	YES	NO	both expansions are specializations of the same common action
AIR	Lauf	Lauf	Bahn	5	13	YES	NO	both expansions are specializations of the same common action
AL	Stelle	Stelle	Position	39	34	YES	NO	both expansions are specializations of the same common action
AR	von dort	von dort	von dieser Position	14	56	YES	NO	both expansions are specializations of the same common action
CH	entnehmen	Fluessigkeit abziehen	Eintrag entnehmen	13	19	YES	NO	both expansions are specializations of the same common action
CHD	umsetzen	umsetzen	uebertragen	48	10	YES	NO	both expansions are specializations of the same common action
CHK	anheben	waermen	Stufe anheben	7	3	YES	NO	both expansions are specializations of the same common action
CKH	Durchgang	Rohr- oder Seihdurchlass	Diagrammdurchgang	10	4	YES	NO	both expansions are specializations of the same common action
CKHE	trennen	seihen	Bereiche trennen	4	1	YES	NO	both expansions are specializations of the same common action
CTH	bereit	bereit	gueltig	15	6	YES	NO	both expansions are specializations of the same common action
DY	Schluss	Schluss	Eintrag schliessen	88	21	YES	NO	both expansions are specializations of the same common action
E	kurz	kurz	kurze Stufe	43	62	YES	NO	both expansions are specializations of the same common action
EE	laenger	laenger	lange Stufe	36	39	YES	NO	both expansions are specializations of the same common action
EEE	vollstaendig	vollstaendig	volle Stufe	2	3	YES	NO	both expansions are specializations of the same common action
IIN	Sollstufe	Sollstufe	Sollstufe	3	7	YES	NO	both expansions are specializations of the same common action
K	zufuehren	zufuehren	zuordnen	21	46	YES	NO	both expansions are specializations of the same common action
L	fuehren	fuehren	fuehren	27	3	YES	NO	both expansions are specializations of the same common action
LDDY	befestigen und schliessen	befestigen und schliessen	festsetzen und schliessen	1	0	NO	NO	component is not active in both registers
LS	hinausfuehren	Fluessigkeit abfuehren	aus dem Bereich hinausfuehren	1	1	YES	NO	both expansions are specializations of the same common action
LSH	Waschgang	Waschgang	Durchgang	3	0	NO	NO	component is not active in both registers
O	Arbeitsgang	Arbeitsgang	Lesegang	17	118	YES	NO	both expansions are specializations of the same common action
OK	ansetzen	ansetzen	markieren	80	57	YES	NO	both expansions are specializations of the same common action
OL	fortsetzen	fortsetzen	weiterzaehlen	49	33	YES	NO	both expansions are specializations of the same common action
OR	Ansatz	Ansatz	Einstellung	18	22	YES	NO	both expansions are specializations of the same common action
OT	danach	danach	naechster Eintrag	26	34	YES	NO	both expansions are specializations of the same common action
P	hinein	hinein	hinein	3	9	YES	NO	both expansions are specializations of the same common action
R	senken	abkuehlen	senken	6	11	YES	NO	both expansions are specializations of the same common action
SH	halten	halten	beibehalten	21	9	YES	NO	both expansions are specializations of the same common action
SHED	absetzen	absetzen	ruhen	15	0	NO	NO	component is not active in both registers
SOLK	auffangen	auffangen	sammeln	7	0	NO	NO	component is not active in both registers
T	eintragen	eintragen	eintragen	10	27	YES	NO	both expansions are specializations of the same common action
Y	dies	dies	dieser Eintrag	120	208	YES	NO	both expansions are specializations of the same common action
HO	Gabe	Gabe	Eintrag	8	24	YES	NO	both expansions are specializations of the same common action
CHEO	Entnahme	Pflanzenauszug	entnommener Wert	2	9	YES	NO	both expansions are specializations of the same common action
