sequence	field_id	field_mode	position	license_type	license_id	intended_card_id	hand_a_surface	hand_b_surface	surface_changed	decoded_card_id	value_de	drawer	readback_status
1	P01	CH	1	LEARNED_CHAIN	LC02	MC086	chety	chty	YES	MC086	Teil	STOFF_POSTEN	EXACT
2	P01	CH	2	LEARNED_CHAIN	LC02	MC159	os	os	NO	MC159	Aufnahmegefäß	GANZKARTE	EXACT
3	P01	CH	3	LEARNED_CHAIN	LC02	MC014	chair	chair	NO	MC014	Zuguss	WEG_QUELLE_ZIEL	EXACT
4	P02	D	1	PRODUCTIVE_FRAME	PF07	MC055	char	sar	YES	MC055	davon	WEG_QUELLE_ZIEL	EXACT
5	P02	D	2	PRODUCTIVE_FRAME	PF07	MC105	chkain	kain	YES	MC105	Portion	MENGE_STUFE	EXACT
6	P02	D	3	PRODUCTIVE_FRAME	PF07	MC154	al	tal	YES	MC154	dorthin	WEG_QUELLE_ZIEL	EXACT
7	P03	O	1	PRODUCTIVE_FRAME	PF03	MC103	chokchy	qokchy	YES	MC103	weiterbearbeiten	HANDLUNG_VERWEIS	EXACT
8	P03	O	2	PRODUCTIVE_FRAME	PF03	MC039	aiin	taiin	YES	MC039	Sollmaß	MENGE_STUFE	EXACT
9	P03	O	3	PRODUCTIVE_FRAME	PF03	MC026	choky	qoky	YES	MC026	einsetzen	HANDLUNG_VERWEIS	EXACT
10	P04	Q	1	PRODUCTIVE_FRAME	PF01	MC120	okaiin	qokaiin	YES	MC120	bemessen	MENGE_STUFE	EXACT
11	P04	Q	2	PRODUCTIVE_FRAME	PF01	MC040	okal	qokal	YES	MC040	dorthin einsetzen	WEG_QUELLE_ZIEL	EXACT
12	P04	Q	3	PRODUCTIVE_FRAME	PF01	MC005	okchedy	qokchedy	YES	MC005	einführen; Schluss	ABSCHLUSS	EXACT
13	P05	S	1	LEARNED_CHAIN	LC04	MC098	tshol	tshol	NO	MC098	Kochgut	WEG_QUELLE_ZIEL	EXACT
14	P05	S	2	LEARNED_CHAIN	LC04	MC049	schoal	schoal	NO	MC049	Sudansatz	WEG_QUELLE_ZIEL	EXACT
15	P05	S	3	LEARNED_CHAIN	LC04	MC129	cfhy	cfhy	NO	MC129	auswringen	GANZKARTE	EXACT
16	P05	S	4	LEARNED_CHAIN	LC04	MC111	shfydaiin	shfydaiin	NO	MC111	Stehzeit	MENGE_STUFE	EXACT
17	P05	S	5	LEARNED_CHAIN	LC04	MC156	cphy	cphy	NO	MC156	nachseihen	GANZKARTE	EXACT
18	P05	S	6	LEARNED_CHAIN	LC04	MC119	cheey	shey	YES	MC119	Klarlauf	GANZKARTE	EXACT
19	P05	S	7	LEARNED_CHAIN	LC04	MC037	tchody	tchody	NO	MC037	kalt stellen; Schluss	GANZKARTE	EXACT
20	P06	Q	1	PRODUCTIVE_FRAME	PF09	MC035	chckhy	shckhy	YES	MC035	durchleiten	WEG_QUELLE_ZIEL	EXACT
21	P06	Q	2	PRODUCTIVE_FRAME	PF09	MC002	okeey	qokeey	YES	MC002	lange einwirken	ZUSTAND_DAUER	EXACT
22	P06	Q	3	PRODUCTIVE_FRAME	PF09	MC057	otchedy	qotchedy	YES	MC057	Folgetransfer; Schluss	ABSCHLUSS	EXACT
