field_id	pair_position	left_card_id	right_card_id	left_drawer	right_drawer	license_type	license_id	bridge_status
P01	1	MC086	MC159	STOFF_POSTEN	GANZKARTE	LEARNED_CHAIN	LC02	LICENSED_EXEMPLAR_CHAIN
P01	2	MC159	MC014	GANZKARTE	WEG_QUELLE_ZIEL	LEARNED_CHAIN	LC02	LICENSED_EXEMPLAR_CHAIN
P02	1	MC055	MC105	WEG_QUELLE_ZIEL	MENGE_STUFE	PRODUCTIVE_FRAME	PF07	LICENSED_PRODUCTIVE_FRAME
P02	2	MC105	MC154	MENGE_STUFE	WEG_QUELLE_ZIEL	PRODUCTIVE_FRAME	PF07	LICENSED_PRODUCTIVE_FRAME
P03	1	MC103	MC039	HANDLUNG_VERWEIS	MENGE_STUFE	PRODUCTIVE_FRAME	PF03	LICENSED_PRODUCTIVE_FRAME
P03	2	MC039	MC026	MENGE_STUFE	HANDLUNG_VERWEIS	PRODUCTIVE_FRAME	PF03	LICENSED_PRODUCTIVE_FRAME
P04	1	MC120	MC040	MENGE_STUFE	WEG_QUELLE_ZIEL	PRODUCTIVE_FRAME	PF01	LICENSED_PRODUCTIVE_FRAME
P04	2	MC040	MC005	WEG_QUELLE_ZIEL	ABSCHLUSS	PRODUCTIVE_FRAME	PF01	LICENSED_PRODUCTIVE_FRAME
P05	1	MC098	MC049	WEG_QUELLE_ZIEL	WEG_QUELLE_ZIEL	LEARNED_CHAIN	LC04	LICENSED_EXEMPLAR_CHAIN
P05	2	MC049	MC129	WEG_QUELLE_ZIEL	GANZKARTE	LEARNED_CHAIN	LC04	LICENSED_EXEMPLAR_CHAIN
P05	3	MC129	MC111	GANZKARTE	MENGE_STUFE	LEARNED_CHAIN	LC04	LICENSED_EXEMPLAR_CHAIN
P05	4	MC111	MC156	MENGE_STUFE	GANZKARTE	LEARNED_CHAIN	LC04	LICENSED_EXEMPLAR_CHAIN
P05	5	MC156	MC119	GANZKARTE	GANZKARTE	LEARNED_CHAIN	LC04	LICENSED_EXEMPLAR_CHAIN
P05	6	MC119	MC037	GANZKARTE	GANZKARTE	LEARNED_CHAIN	LC04	LICENSED_EXEMPLAR_CHAIN
P06	1	MC035	MC002	WEG_QUELLE_ZIEL	ZUSTAND_DAUER	PRODUCTIVE_FRAME	PF09	LICENSED_PRODUCTIVE_FRAME
P06	2	MC002	MC057	ZUSTAND_DAUER	ABSCHLUSS	PRODUCTIVE_FRAME	PF09	LICENSED_PRODUCTIVE_FRAME
