component	value_de	opening_token_uses	records	insertion_rule_de
CH	ABNEHMEN	7	H1|H2|H3|H5	Nach dem pocket-core Prompt an der belegten Position einsetzen; keine neue Grundform erfinden.
T	EINTRAGEN	5	H1|H3	Nach dem pocket-core Prompt an der belegten Position einsetzen; keine neue Grundform erfinden.
CTH	BEREIT	4	H1|H2	Nach dem pocket-core Prompt an der belegten Position einsetzen; keine neue Grundform erfinden.
HO	ZUTAT	4	H5	Nach dem pocket-core Prompt an der belegten Position einsetzen; keine neue Grundform erfinden.
SH	HALTEN	4	H3	Nach dem pocket-core Prompt an der belegten Position einsetzen; keine neue Grundform erfinden.
AIN	PORTION	2	H4|B6	Nach dem pocket-core Prompt an der belegten Position einsetzen; keine neue Grundform erfinden.
CHD	UMSETZEN	2	B2|B5	Nach dem pocket-core Prompt an der belegten Position einsetzen; keine neue Grundform erfinden.
SOLK	AUFFANGEN	2	B3|B6	Nach dem pocket-core Prompt an der belegten Position einsetzen; keine neue Grundform erfinden.
AIR	LAUF	1	H1	Nach dem pocket-core Prompt an der belegten Position einsetzen; keine neue Grundform erfinden.
AN	NACHGABE	1	H4	Nach dem pocket-core Prompt an der belegten Position einsetzen; keine neue Grundform erfinden.
CFH	AUSWRINGEN	1	H3	Nach dem pocket-core Prompt an der belegten Position einsetzen; keine neue Grundform erfinden.
L	WEITERLEITEN	1	B6	Nach dem pocket-core Prompt an der belegten Position einsetzen; keine neue Grundform erfinden.
OS	FACH	1	H1	Nach dem pocket-core Prompt an der belegten Position einsetzen; keine neue Grundform erfinden.
P	EINFUELLEN	1	H3	Nach dem pocket-core Prompt an der belegten Position einsetzen; keine neue Grundform erfinden.
R	KUEHLEN	1	B6	Nach dem pocket-core Prompt an der belegten Position einsetzen; keine neue Grundform erfinden.
