record	page	opening_statement	event_id	surface	full_recipe	pocket_core_projection	specialist_residual	full_reading_de
H1	f10r	H1-S001	E001	dchey	CH+E+Y	E+Y	CH	ABNEHMEN · KURZ · DIES
H1	f10r	H1-S001	E002	cthoor	CTH+O+OR	O+OR	CTH	BEREIT · GANG · ANSATZ
H1	f10r	H1-S001	E003	char	AR	AR	NONE	QUELLE
H1	f10r	H1-S001	E004	chty	T+Y	Y	T	EINTRAGEN · DIES
H1	f10r	H1-S001	E005	os	OS	OWNER_ONLY_SLOT	OS	FACH
H1	f10r	H1-S001	E006	chair	CH+AIR	OWNER_ONLY_SLOT	CH+AIR	ABNEHMEN · LAUF
H1	f10r	H1-S001	E007	otytchol	OT+Y+T+CH+OL	OT+Y+OL	T+CH	DANACH · DIES · EINTRAGEN · ABNEHMEN · FORTSETZEN
H1	f10r	H1-S001	E008	oky	OK+Y	OK+Y	NONE	ANSETZEN · DIES
H1	f10r	H1-S001	E009	daiin	AIIN	AIIN	NONE	MASS
H1	f10r	H1-S001	E010	etyd	E+T+Y	E+Y	T	KURZ · EINTRAGEN · DIES
H2	f10r	H2-S001	E015	ycheor	Y+CH+E+OR	Y+E+OR	CH	DIES · ABNEHMEN · KURZ · ANSATZ
H2	f10r	H2-S001	E016	cthy	CTH+Y	Y	CTH	BEREIT · DIES
H2	f10r	H2-S001	E017	chor	OR	OR	NONE	ANSATZ
H2	f10r	H2-S001	E018	cthaiin	CTH+AIIN	AIIN	CTH	BEREIT · MASS
H2	f10r	H2-S001	E019	qoctholy	O+CTH+OL+Y	O+OL+Y	CTH	GANG · BEREIT · FORTSETZEN · DIES
H2	f10r	H2-S001	E020	dy	Y	Y	NONE	DIES
H2	f10r	H2-S001	E021	chy	Y	Y	NONE	DIES
H2	f10r	H2-S001	E022	taiin	AIIN	AIIN	NONE	MASS
H2	f10r	H2-S001	E023	shy	Y	Y	NONE	DIES
H3	f11r	H3-S001	E039	tshol	T+SH+OL	OL	T+SH	EINTRAGEN · HALTEN · FORTSETZEN
H3	f11r	H3-S001	E040	schoal	SH+O+AL	O+AL	SH	HALTEN · GANG · ZIEL
H3	f11r	H3-S001	E041	cfhy	CFH+Y	Y	CFH	AUSWRINGEN · DIES
H3	f11r	H3-S001	E042	shfydaiin	SH+Y+AIIN	Y+AIIN	SH	HALTEN · DIES · MASS
H3	f11r	H3-S001	E043	cphy	P+Y	Y	P	EINFUELLEN · DIES
H3	f11r	H3-S001	E044	shey	SH+EE+Y	EE+Y	SH	HALTEN · LANG · DIES
H3	f11r	H3-S001	E045	tchody	T+CH+O+DY	O+DY	T+CH	EINTRAGEN · ABNEHMEN · GANG · SCHLUSS
H4	f55v	H4-S001	E056	qokaiin	OK+AIIN	OK+AIIN	NONE	ANSETZEN · MASS
H4	f55v	H4-S001	E057	chaiin	AIIN	AIIN	NONE	MASS
H4	f55v	H4-S001	E058	ykain	Y+K+AIN	Y+K	AIN	DIES · ZUDOSIEREN · PORTION
H4	f55v	H4-S001	E059	ykan	Y+K+AN	Y+K	AN	DIES · ZUDOSIEREN · NACHGABE
H4	f55v	H4-S001	E060	ody	O+DY	O+DY	NONE	GANG · SCHLUSS
H5	f56r	H5-S001	E074	chochor	HO+CH+OR	OR	HO+CH	ZUTAT · ABNEHMEN · ANSATZ
H5	f56r	H5-S001	E075	cho	HO	OWNER_ONLY_SLOT	HO	ZUTAT
H5	f56r	H5-S001	E076	chodaly	HO+AL+Y	AL+Y	HO	ZUTAT · ZIEL · DIES
H5	f56r	H5-S001	E077	daiin	AIIN	AIIN	NONE	MASS
H5	f56r	H5-S001	E078	sho	HO	OWNER_ONLY_SLOT	HO	ZUTAT
H5	f56r	H5-S001	E079	kchol	K+OL	K+OL	NONE	ZUDOSIEREN · FORTSETZEN
H5	f56r	H5-S001	E080	otchor	OT+CH+OR	OT+OR	CH	DANACH · ABNEHMEN · ANSATZ
H5	f56r	H5-S001	E081	choky	OK+Y	OK+Y	NONE	ANSETZEN · DIES
H5	f56r	H5-S001	E082	dal	AL	AL	NONE	ZIEL
B1	f81v	B1-S001	E101	qokedy	OK+E+DY	OK+E+DY	NONE	ANSETZEN · KURZ · SCHLUSS
B2	f82r	B2-S001	E167	dchedy	CHD+DY	DY	CHD	UMSETZEN · SCHLUSS
B3	f83r	B3-S001	E229	olkeedy	SOLK+EE+DY	EE+DY	SOLK	AUFFANGEN · LANG · SCHLUSS
B4	f83r	B4-S001	E315	qokeedy	OK+EE+DY	OK+EE+DY	NONE	ANSETZEN · LANG · SCHLUSS
B5	f83r	B5-S001	E362	otchdy	OT+CHD+DY	OT+DY	CHD	DANACH · UMSETZEN · SCHLUSS
B6	f83r	B6-S001	E373	solkeey	SOLK+EE+Y	EE+Y	SOLK	AUFFANGEN · LANG · DIES
B6	f83r	B6-S001	E374	qekey	E+K+E+Y	E+K+E+Y	NONE	KURZ · ZUDOSIEREN · KURZ · DIES
B6	f83r	B6-S001	E375	raly	R+AL+Y	AL+Y	R	KUEHLEN · ZIEL · DIES
B6	f83r	B6-S001	E376	ol	OL	OL	NONE	FORTSETZEN
B6	f83r	B6-S001	E377	daiin	AIIN	AIIN	NONE	MASS
B6	f83r	B6-S001	E378	ol	OL	OL	NONE	FORTSETZEN
B6	f83r	B6-S001	E379	dain	AIN	OWNER_ONLY_SLOT	AIN	PORTION
B6	f83r	B6-S001	E380	chey	Y	Y	NONE	DIES
B6	f83r	B6-S001	E381	ldalor	L+AL+OR	AL+OR	L	WEITERLEITEN · ZIEL · ANSATZ
