record	page	opening_statement	opening_events	owner_de	prompt_archetype	pocket_core_tokens	pocket_core_token_count	pocket_core_values_de	specialist_tokens	specialist_token_count	simple_form_prompt_de	surface_sequence
H1	f10r	H1-S001	10	die breite gezahnte Bluetenpflanze	HERBAL_OWNER_CONTINUATION	E Y O OR AR Y OT Y OL OK Y AIIN E Y	14	KURZ · DIES · GANG · ANSATZ · QUELLE · DIES · DANACH · DIES · FORTSETZEN · ANSETZEN · DIES · MASS · KURZ · DIES	CH CTH T OS CH AIR T CH T	9	DIES kurz; Gang und Ansatz aus der Quelle; danach DIES fortsetzen, ansetzen und nach MASS weiterfuehren.	dchey cthoor char chty os chair otytchol oky daiin etyd
H2	f10r	H2-S001	9	die breite gezahnte Bluetenpflanze	HERBAL_OWNER_CONTINUATION	Y E OR Y OR AIIN O OL Y Y Y AIIN Y	13	DIES · KURZ · ANSATZ · DIES · ANSATZ · MASS · GANG · FORTSETZEN · DIES · DIES · DIES · MASS · DIES	CH CTH CTH CTH	4	DIES am Ansatz; denselben Gang nach MASS fortsetzen und DIES verfuegbar lassen.	ycheor cthy chor cthaiin qoctholy dy chy taiin shy
H3	f11r	H3-S001	7	die dicht bluehende Kronenpflanze	HERBAL_MEASURE_CLOSE	OL O AL Y Y AIIN Y EE Y O DY	11	FORTSETZEN · GANG · ZIEL · DIES · DIES · MASS · DIES · LANG · DIES · GANG · SCHLUSS	T SH SH CFH SH P SH T CH	9	Am ZIEL fortsetzen; DIES nach MASS lang; den Gang schliessen.	tshol schoal cfhy shfydaiin cphy shey tchody
H4	f55v	H4-S001	5	die breitblaettrige rispige Pflanze	HERBAL_MEASURE_CLOSE	OK AIIN AIIN Y K Y K O DY	9	ANSETZEN · MASS · MASS · DIES · ZUDOSIEREN · DIES · ZUDOSIEREN · GANG · SCHLUSS	AIN AN	2	MASS ansetzen; DIES zudosieren; den Gang schliessen.	qokaiin chaiin ykain ykan ody
H5	f56r	H5-S001	9	die mehrkoepfige stachelige Pflanze	HERBAL_OWNER_CONTINUATION	OR AL Y AIIN K OL OT OR OK Y AL	11	ANSATZ · ZIEL · DIES · MASS · ZUDOSIEREN · FORTSETZEN · DANACH · ANSATZ · ANSETZEN · DIES · ZIEL	HO CH HO HO HO CH	6	Ansatz am ZIEL; DIES nach MASS fortsetzen, danach den Ansatz ansetzen und zum ZIEL fuehren.	chochor cho chodaly daiin sho kchol otchor choky dal
B1	f81v	B1-S001	1	das gemeinsame zweireihige Becken	BIO_GRADED_SET_CLOSE	OK E DY	3	ANSETZEN · KURZ · SCHLUSS	NONE	0	Kurz ansetzen; SCHLUSS.	qokedy
B2	f82r	B2-S001	1	die oberen Paarbecken mit Zylinder	BIO_SPECIALIST_CLOSE	DY	1	SCHLUSS	CHD	1	SCHLUSS; die Fachhandlung wird aus dem Spezialkasten eingesetzt.	dchedy
B3	f83r	B3-S001	1	die obere offene Faecherstation	BIO_SPECIALIST_CLOSE	EE DY	2	LANG · SCHLUSS	SOLK	1	Lang; SCHLUSS; die Fachhandlung wird aus dem Spezialkasten eingesetzt.	olkeedy
B4	f83r	B4-S001	1	das zweite durch den Bogen verbundene Hauptpaar	BIO_GRADED_SET_CLOSE	OK EE DY	3	ANSETZEN · LANG · SCHLUSS	NONE	0	Lang ansetzen; SCHLUSS.	qokeedy
B5	f83r	B5-S001	1	die linke offene Nebenstation	BIO_SPECIALIST_CLOSE	OT DY	2	DANACH · SCHLUSS	CHD	1	DANACH; SCHLUSS; die Fachhandlung wird aus dem Spezialkasten eingesetzt.	otchdy
B6	f83r	B6-S001	9	die rechte S-Lauf-Nebenstation	BIO_GRADED_TARGET_SEQUENCE	EE Y E K E Y AL Y OL AIIN OL Y AL OR	14	LANG · DIES · KURZ · ZUDOSIEREN · KURZ · DIES · ZIEL · DIES · FORTSETZEN · MASS · FORTSETZEN · DIES · ZIEL · ANSATZ	SOLK R AIN L	4	DIES lang und kurz fuehren; am ZIEL nach MASS fortsetzen und DIES beim Ansatz halten.	solkeey qekey raly ol daiin ol dain chey ldalor
