surface	target_family	reader_exact_occurrences	dry_d1	dry_r3	dry_line	dry_d1_r3_line	moist_d1	moist_r3	moist_line	moist_d1_r3_line	hot_d1	hot_r3	hot_line	hot_d1_r3_line	cold_d1	cold_r3	cold_line	cold_d1_r3_line	stage_d1	stage_r3	stage_line	stage_d1_r3_line	value_amount_d1	value_amount_r3	value_amount_line	value_amount_d1_r3_line	cthy_leaf_d1	cthy_leaf_r3	cthy_leaf_line	cthy_leaf_d1_r3_line	chor_repro_d1	chor_repro_r3	chor_repro_line	chor_repro_d1_r3_line	prep_d1	prep_r3	prep_line	prep_d1_r3_line	process_close_d1	process_close_r3	process_close_line	process_close_d1_r3_line	h1_d1	h1_r3	h1_line	h1_d1_r3_line	h2_d1	h2_r3	h2_line	h2_d1_r3_line	specific_substance_identity_from_cofields	component_credit
chofchdy	OFCH_CONTAINING	1	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	OPEN	0
chofchol	OFCH_CONTAINING	1	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	OPEN	0
chofchy	OFCH_CONTAINING	1	0	0	0	0/0/0	0	0	1	0/0/1	0	0	0	0/0/0	0	0	0	0/0/0	0	1	1	0/1/1	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	1	1	0/1/1	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	OPEN	0
chor	CHOR_SCHOR_LCHOR	176	45	92	112	45/92/112	9	32	47	9/32/47	20	40	55	20/40/55	12	31	36	12/31/36	30	78	97	30/78/97	47	78	103	47/78/103	5	13	15	5/13/15	0	0	0	0/0/0	25	55	71	25/55/71	9	20	26	9/20/26	0	3	4	0/3/4	6	9	13	6/9/13	OPEN	0
lchor	CHOR_SCHOR_LCHOR	2	1	1	1	1/1/1	0	0	1	0/0/1	0	0	0	0/0/0	0	0	0	0/0/0	0	0	1	0/0/1	0	0	1	0/0/1	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	1	0/0/1	OPEN	0
ofchar	OFCH_CONTAINING	2	0	1	1	0/1/1	0	0	2	0/0/2	0	0	0	0/0/0	0	1	1	0/1/1	0	1	2	0/1/2	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	1	1	0/1/1	0	1	1	0/1/1	0	0	0	0/0/0	0	0	1	0/0/1	OPEN	0
ofchdy	OFCH_CONTAINING	4	1	1	1	1/1/1	0	0	1	0/0/1	0	0	1	0/0/1	0	0	2	0/0/2	1	2	4	1/2/4	0	1	1	0/1/1	0	0	0	0/0/0	0	0	0	0/0/0	0	2	2	0/2/2	0	1	1	0/1/1	0	1	1	0/1/1	0	0	0	0/0/0	OPEN	0
ofcheds	OFCH_CONTAINING	1	0	0	1	0/0/1	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	1	1	0/1/1	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	1	1	0/1/1	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	OPEN	0
ofchedy	OFCH_CONTAINING	5	0	1	1	0/1/1	0	1	1	0/1/1	0	1	3	0/1/3	0	1	2	0/1/2	0	3	4	0/3/4	1	1	2	1/1/2	0	0	0	0/0/0	0	0	0	0/0/0	0	0	1	0/0/1	0	1	2	0/1/2	0	1	1	0/1/1	0	0	0	0/0/0	OPEN	0
ofcheefar	OFCH_CONTAINING	1	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	OPEN	0
ofcheol	OFCH_CONTAINING	1	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	1	1	0/1/1	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	OPEN	0
ofchey	OFCH_CONTAINING	3	0	1	2	0/1/2	1	1	1	1/1/1	0	1	2	0/1/2	1	1	1	1/1/1	2	3	3	2/3/3	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	1	1	0/1/1	1	1	1	1/1/1	1	2	2	1/2/2	0	0	0	0/0/0	OPEN	0
ofchol	OFCH_CONTAINING	1	0	0	0	0/0/0	0	0	0	0/0/0	1	1	1	1/1/1	0	0	0	0/0/0	1	1	1	1/1/1	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	OPEN	0
ofchor	OFCH_CONTAINING	1	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	1	1	1	1/1/1	0	1	1	0/1/1	1	1	1	1/1/1	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	OPEN	0
ofchoshy	OFCH_CONTAINING	1	0	0	1	0/0/1	0	0	1	0/0/1	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	1	0/0/1	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	OPEN	0
ofchr	OFCH_CONTAINING	1	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	OPEN	0
ofchtar	OFCH_CONTAINING	1	0	0	0	0/0/0	0	1	1	0/1/1	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	OPEN	0
