pair_id	page	locus	chor_ordinal	cthy_ordinal	cthy_direction_from_chor	distance	direct_pair	written_order	written_line_eva	cthy_working_whole	cthy_prior_confidence	cthy_global_exact_occurrences	cthy_global_herbal_occurrences	chor_portable_whole	chor_forced_concrete_default	chor_primary_rival	same_identity_reading	specific_flower_vs_seed_credit	component_credit
G767-CP01	f10r	f10r.6	3	2	LEFT	1	1	CTHY_CHOR	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Blattgut / Blattdroge	C2_CROSS_PASS_EXPLORATORY	85	83	anderer oder reproduktiver Pflanzenteilposten	Blütenstand	Samen- oder Fruchtstand	DISFAVORED_BY_REPEATED_PARALLELISM	0	0
G767-CP02	f15v	f15v.10	2	4	RIGHT	2	0	CHOR_CTHY	sor chor cthoiin cthy qokaiin	Blattgut / Blattdroge	C2_CROSS_PASS_EXPLORATORY	85	83	anderer oder reproduktiver Pflanzenteilposten	Blütenstand	Samen- oder Fruchtstand	DISFAVORED_BY_REPEATED_PARALLELISM	0	0
G767-CP03	f15v	f15v.2	1	6	RIGHT	5	0	CHOR_CTHY	chor or oro r aiin cthy ain dar	Blattgut / Blattdroge	C2_CROSS_PASS_EXPLORATORY	85	83	anderer oder reproduktiver Pflanzenteilposten	Blütenstand	Samen- oder Fruchtstand	DISFAVORED_BY_REPEATED_PARALLELISM	0	0
G767-CP04	f15v	f15v.5	2	5	RIGHT	3	0	CHOR_CTHY	otchor chor chor ytchor cthy s	Blattgut / Blattdroge	C2_CROSS_PASS_EXPLORATORY	85	83	anderer oder reproduktiver Pflanzenteilposten	Blütenstand	Samen- oder Fruchtstand	DISFAVORED_BY_REPEATED_PARALLELISM	0	0
G767-CP05	f17r	f17r.5	3	2	LEFT	1	1	CTHY_CHOR	ychekchy cthy chor shor cphor cphaldy dair cthey qody	Blattgut / Blattdroge	C2_CROSS_PASS_EXPLORATORY	85	83	anderer oder reproduktiver Pflanzenteilposten	Blütenstand	Samen- oder Fruchtstand	DISFAVORED_BY_REPEATED_PARALLELISM	0	0
G767-CP06	f29r	f29r.8	2	8	RIGHT	6	0	CHOR_CTHY	shor chor shosheky shy qoty kody daiin cthy	Blattgut / Blattdroge	C2_CROSS_PASS_EXPLORATORY	85	83	anderer oder reproduktiver Pflanzenteilposten	Blütenstand	Samen- oder Fruchtstand	DISFAVORED_BY_REPEATED_PARALLELISM	0	0
G767-CP07	f3r	f3r.19	8	9	RIGHT	1	1	CHOR_CTHY	otchor ol cheor qoeor dair qoteol qosaiin chor cthy	Blattgut / Blattdroge	C2_CROSS_PASS_EXPLORATORY	85	83	anderer oder reproduktiver Pflanzenteilposten	Blütenstand	Samen- oder Fruchtstand	DISFAVORED_BY_REPEATED_PARALLELISM	0	0
G767-CP08	f3v	f3v.9	4	5	RIGHT	1	1	CHOR_CTHY	ytcheear okeol cthodoaly chor cthy	Blattgut / Blattdroge	C2_CROSS_PASS_EXPLORATORY	85	83	anderer oder reproduktiver Pflanzenteilposten	Blütenstand	Samen- oder Fruchtstand	DISFAVORED_BY_REPEATED_PARALLELISM	0	0
G767-CP09	f45v	f45v.2	2	4	RIGHT	2	0	CHOR_CTHY	okol chor daiin cthy okchol chom okolor dy okchol s	Blattgut / Blattdroge	C2_CROSS_PASS_EXPLORATORY	85	83	anderer oder reproduktiver Pflanzenteilposten	Blütenstand	Samen- oder Fruchtstand	DISFAVORED_BY_REPEATED_PARALLELISM	0	0
G767-CP10	f6r	f6r.12	4	5	RIGHT	1	1	CHOR_CTHY	or shol cthom chor cthy	Blattgut / Blattdroge	C2_CROSS_PASS_EXPLORATORY	85	83	anderer oder reproduktiver Pflanzenteilposten	Blütenstand	Samen- oder Fruchtstand	DISFAVORED_BY_REPEATED_PARALLELISM	0	0
G767-CP11	f6r	f6r.2	3	6	RIGHT	3	0	CHOR_CTHY	daiin chckhy chor chor kar cthy cthor chotols	Blattgut / Blattdroge	C2_CROSS_PASS_EXPLORATORY	85	83	anderer oder reproduktiver Pflanzenteilposten	Blütenstand	Samen- oder Fruchtstand	DISFAVORED_BY_REPEATED_PARALLELISM	0	0
G767-CP12	f6r	f6r.2	4	6	RIGHT	2	0	CHOR_CTHY	daiin chckhy chor chor kar cthy cthor chotols	Blattgut / Blattdroge	C2_CROSS_PASS_EXPLORATORY	85	83	anderer oder reproduktiver Pflanzenteilposten	Blütenstand	Samen- oder Fruchtstand	DISFAVORED_BY_REPEATED_PARALLELISM	0	0
G767-CP13	f6v	f6v.13	4	2	LEFT	2	0	CTHY_CHOR	yodaiin cthy s chor oees or	Blattgut / Blattdroge	C2_CROSS_PASS_EXPLORATORY	85	83	anderer oder reproduktiver Pflanzenteilposten	Blütenstand	Samen- oder Fruchtstand	DISFAVORED_BY_REPEATED_PARALLELISM	0	0
G767-CP14	f9r	f9r.5	2	4	RIGHT	2	0	CHOR_CTHY	daiin chor sor cthy chokoiin shol dsholdy otchol ot dy	Blattgut / Blattdroge	C2_CROSS_PASS_EXPLORATORY	85	83	anderer oder reproduktiver Pflanzenteilposten	Blütenstand	Samen- oder Fruchtstand	DISFAVORED_BY_REPEATED_PARALLELISM	0	0
G767-CP15	f9v	f9v.3	2	5	RIGHT	3	0	CHOR_CTHY	ykey chor ykaiin daiin cthy otaiin oky oeees daiin	Blattgut / Blattdroge	C2_CROSS_PASS_EXPLORATORY	85	83	anderer oder reproduktiver Pflanzenteilposten	Blütenstand	Samen- oder Fruchtstand	DISFAVORED_BY_REPEATED_PARALLELISM	0	0
