surface	target_family	reader_exact_occurrences	predicted_channel_from_gdt766	candidate_layer	candidate_id	historical_expression	working_noun_de	gate_all_r3	gate_any_r3	forbid_line	d1_gate_hits	r3_gate_hits	line_gate_hits	r3_gate_rate	role_fit	repeat_required	repeat_requirement_met	semantic_redundancy_penalty	evidence_level_0_4	evidence_label	evidence_score	legacy_flower_tiebreak	exploratory_score	identity_specificity	source_ids	attested_forms	attestation_scope	literal_identity_confirmed	component_credit	evidence_rank	exploratory_rank
chofchdy	OFCH_CONTAINING	1	COMPOUND_PREPARATION	SUBSTANCE	S00	nomen medicaminis	benannte Arzneidroge	NONE	NONE	NONE	0	0	0	0.000000	1	0	0	0	0	NO_TARGET_FREE_GATE_HIT	0.000000	0	2.000000	GENERIC_CLASS	HS02|HS05	Aloe est una de medicinis; medicina simplex	LEARNED_WHOLE_ARCHITECTURE	0	0	1	2
chofchdy	OFCH_CONTAINING	1	COMPOUND_PREPARATION	SUBSTANCE	S01	flos vel flores	Blütendroge	CHOR_REPRO	NONE	NONE	0	0	0	0.000000	1	1	0	0	0	REPEAT_REQUIREMENT_NOT_MET	0.000000	1	3.000000	SPECIFIC_PLANT_PART	HS01	De floribus	DIRECT_PERIOD_RUBRIC_CLASS	0	0	2	1
chofchdy	OFCH_CONTAINING	1	COMPOUND_PREPARATION	SUBSTANCE	S02	semen	Samendroge	CHOR_REPRO	NONE	NONE	0	0	0	0.000000	1	1	0	0	0	REPEAT_REQUIREMENT_NOT_MET	0.000000	0	2.000000	SPECIFIC_PLANT_PART	HS01|HS03	De seminibus; Accipe semen	DIRECT_PERIOD_EXPRESSION_CLASS	0	0	3	3
chofchdy	OFCH_CONTAINING	1	COMPOUND_PREPARATION	SUBSTANCE	S03	radix	Wurzeldroge	ROOT_IDENTITY	NONE	NONE	0	0	0	0.000000	1	1	0	0	0	REPEAT_REQUIREMENT_NOT_MET	0.000000	0	2.000000	SPECIFIC_PLANT_PART	HS01|HS02	De radicibus; Eleborus radix	DIRECT_PERIOD_EXPRESSION_CLASS	0	0	4	4
chofchdy	OFCH_CONTAINING	1	COMPOUND_PREPARATION	SUBSTANCE	S04	folia vel frondes	Blattdroge	CTHY_LEAF	NONE	NONE	0	0	0	0.000000	1	1	0	0	0	REPEAT_REQUIREMENT_NOT_MET	0.000000	0	2.000000	SPECIFIC_PLANT_PART	HS01|HS04	De foliis; Accipe folia	DIRECT_PERIOD_EXPRESSION_CLASS	0	0	5	5
chofchdy	OFCH_CONTAINING	1	COMPOUND_PREPARATION	SUBSTANCE	S05	lignum vel cortex	Holz- oder Rindendroge	WOOD_BARK_IDENTITY	NONE	NONE	0	0	0	0.000000	1	1	0	0	0	REPEAT_REQUIREMENT_NOT_MET	0.000000	0	2.000000	SPECIFIC_PLANT_PART	HS01|HS02	De lignis; Aloes lignum	DIRECT_PERIOD_EXPRESSION_CLASS_FOR_WOOD	0	0	6	6
chofchdy	OFCH_CONTAINING	1	COMPOUND_PREPARATION	SUBSTANCE	S06	gummi vel resina	Harz oder Gummi	RESIN_GUM_IDENTITY	NONE	NONE	0	0	0	0.000000	1	1	0	0	0	REPEAT_REQUIREMENT_NOT_MET	0.000000	0	2.000000	SPECIFIC_MATERIA	HS01|HS03|HS06	De gummis; gummi arabici; ammoniacum	DIRECT_PERIOD_EXPRESSION_CLASS	0	0	7	7
chofchdy	OFCH_CONTAINING	1	COMPOUND_PREPARATION	SUBSTANCE	S07	sal	Arzneisalz	SALT_IDENTITY	NONE	NONE	0	0	0	0.000000	0	1	0	0	0	REPEAT_REQUIREMENT_NOT_MET	0.000000	0	0.000000	SPECIFIC_MATERIA	HS04|HS05	sal; salt	DIRECT_PERIOD_EXPRESSION_CLASS	0	0	8	8
chofchdy	OFCH_CONTAINING	1	COMPOUND_PREPARATION	FORM	F00	forma medicaminis	Arzneiform offen	NONE	NONE	NONE	0	0	0	0.000000	1	0	0	0	0	NO_TARGET_FREE_GATE_HIT	0.000000	0	2.000000	GENERIC_FORM	HS02|HS05	medicina simplex; medicina composita	PERIOD_ARCHITECTURE	0	0	1	1
chofchdy	OFCH_CONTAINING	1	COMPOUND_PREPARATION	FORM	F01	materia simplex	Rohdroge	NONE	VALUE_AMOUNT	NONE	0	0	0	0.000000	0	0	0	0	0	NO_TARGET_FREE_GATE_HIT	0.000000	0	0.000000	BROAD_FORM	HS02|HS05	medicina simplex	PERIOD_ARCHITECTURE	0	0	2	3
