surface	target_family	reader_exact_occurrences	predicted_channel	selected_target_free_substance_candidate	selected_target_free_substance_de	substance_evidence_level_0_4	selected_target_free_form_candidate	selected_target_free_form_de	form_evidence_level_0_4	portable_working_class_de	forced_concrete_default_de	forced_concrete_identity_confidence	form_confidence	prior_concrete_default_de	gdt767_default_disposition	primary_rival_de	secondary_rival_de	dry_d1_r3_line	moist_d1_r3_line	value_amount_d1_r3_line	prep_d1_r3_line	process_close_d1_r3_line	cthy_leaf_d1_r3_line	chor_repro_d1_r3_line	zero_admitted_target_free_features	evidence	counterevidence	specific_identity_replaceable	confirmed_lexeme	component_credit	unseen_form_export
chofchdy	OFCH_CONTAINING	1	COMPOUND_PREPARATION	S00	benannte Arzneidroge	0	F00	Arzneiform offen	0	zusammengesetzte Arzneizubereitung; target-freie Kontextklasse Arzneiform offen	Blütenmischung im Zwischenzustand	C0_REPLACEABLE_DEFAULT	C0_LOCAL_OR_FALLBACK_FORM	Blütenmischung im Zwischenzustand	legacy concrete default retained until contradicted or replaced	gemischte Kräuterzubereitung	Zubereitungsfeld ohne Stoffidentität	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	1	form=F00 level=0, hits D1/R3/line=0/0/0; substance=S00 level=0	No independent exact chor or cthy anchor identifies an ofch substance; specific noun is a forced working default.	1	0	0	0
chofchol	OFCH_CONTAINING	1	DRY_RESULT	S00	benannte Arzneidroge	0	F00	Arzneiform offen	0	Trockenmaterial oder Trockenbereitung; target-freie Kontextklasse Arzneiform offen	getrocknete Blütenmischung	C0_REPLACEABLE_DEFAULT	C0_LOCAL_OR_FALLBACK_FORM	getrocknete Blütenmischung	legacy concrete default retained until contradicted or replaced	getrocknete Kräutermischung	Trockenmaterial ohne Stoffidentität	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	1	form=F00 level=0, hits D1/R3/line=0/0/0; substance=S00 level=0	No independent exact chor or cthy anchor identifies an ofch substance; specific noun is a forced working default.	1	0	0	0
chofchy	OFCH_CONTAINING	1	COMPOUND_PREPARATION	S00	benannte Arzneidroge	0	F04	Zubereitung	2	zusammengesetzte Arzneizubereitung; target-freie Kontextklasse Zubereitung	Blütenmischung	C0_REPLACEABLE_DEFAULT	C1_TARGET_FREE_FORM_GATE	Blütenmischung	legacy concrete default retained until contradicted or replaced	Kräutermischung	Zubereitung ohne Stoffidentität	0/0/0	0/0/1	0/0/0	0/1/1	0/0/0	0/0/0	0/0/0	0	form=F04 level=2, hits D1/R3/line=0/1/1; substance=S00 level=0	No independent exact chor or cthy anchor identifies an ofch substance; specific noun is a forced working default.	1	0	0	0
chor	CHOR_SCHOR_LCHOR	176	BASE_CONTENT	S00	benannte Arzneidroge	0	F00	Arzneiform offen	0	anderer oder reproduktiver Pflanzenteilposten; nicht Blattgut	Blütenstand	C0_REPLACEABLE_DEFAULT	C0_LOCAL_OR_FALLBACK_FORM	Blütenstand	legacy concrete default retained until contradicted or replaced	Samenstand	allgemeiner Pflanzenteil	45/92/112	9/32/47	47/78/103	25/55/71	9/20/26	5/13/15	0/0/0	0	form=F00 level=0, hits D1/R3/line=0/0/0; substance=S00 level=0	The repeated cthy parallelism supports a different plant-part class but does not choose flower over seed or fruit.	1	0	0	0
lchor	CHOR_SCHOR_LCHOR	2	PREPARATION	S00	benannte Arzneidroge	0	F00	Arzneiform offen	0	internes Drogen- oder Zubereitungsfeld	Blütenzubereitung	C0_REPLACEABLE_DEFAULT	C0_LOCAL_OR_FALLBACK_FORM	Blütenzubereitung	legacy concrete default retained until contradicted or replaced	Blütenauszug	gebundene Anschlussform	1/1/1	0/0/1	0/0/1	0/0/0	0/0/0	0/0/0	0/0/0	0	form=F00 level=0, hits D1/R3/line=0/0/0; substance=S00 level=0	Specific substance identity is not independently selected.	1	0	0	0
ofchar	OFCH_CONTAINING	2	PART_AMOUNT	S00	benannte Arzneidroge	0	F02	getrocknete Droge	2	Drogenportion oder Drogenanteil; target-freie Kontextklasse getrocknete Droge	Blütenanteil	C0_REPLACEABLE_DEFAULT	C1_TARGET_FREE_FORM_GATE	Blütenanteil	legacy concrete default retained until contradicted or replaced	Blütenfraktion	Anteil einer anderen Arzneidroge	0/1/1	0/0/2	0/0/0	0/1/1	0/1/1	0/0/0	0/0/0	0	form=F02 level=2, hits D1/R3/line=0/1/1; substance=S00 level=0	No independent exact chor or cthy anchor identifies an ofch substance; specific noun is a forced working default.	1	0	0	0
ofchdy	OFCH_CONTAINING	4	BASE_CONTENT	S00	benannte Arzneidroge	0	F04	Zubereitung	4	benannter Drogen- oder Pflanzenteilkopf; target-freie Kontextklasse Zubereitung	aufbereitete Blütendroge	C0_REPLACEABLE_DEFAULT	C2_REPEATED_TARGET_FREE_FORM_GATE	aufbereitete Blütendroge	legacy concrete default retained until contradicted or replaced	Blütenzubereitung	sonstige aufbereitete Droge	1/1/1	0/0/1	0/1/1	0/2/2	0/1/1	0/0/0	0/0/0	0	form=F04 level=4, hits D1/R3/line=0/2/2; substance=S00 level=0	No independent exact chor or cthy anchor identifies an ofch substance; specific noun is a forced working default.	1	0	0	0
ofcheds	OFCH_CONTAINING	1	TERMINAL_RESULT	S00	benannte Arzneidroge	0	F04	Zubereitung	2	Endprodukt oder Abschlusszubereitung einer Droge; target-freie Kontextklasse Zubereitung	fertige Blütenzubereitung	C0_REPLACEABLE_DEFAULT	C1_TARGET_FREE_FORM_GATE	fertige Blütenzubereitung	legacy concrete default retained until contradicted or replaced	abgeschlossene Blütendroge	fertige Zubereitung ohne Stoffidentität	0/0/1	0/0/0	0/0/0	0/1/1	0/0/0	0/0/0	0/0/0	0	form=F04 level=2, hits D1/R3/line=0/1/1; substance=S00 level=0	No independent exact chor or cthy anchor identifies an ofch substance; specific noun is a forced working default.	1	0	0	0
ofchedy	OFCH_CONTAINING	5	DRY_RESULT	S00	benannte Arzneidroge	0	F02	getrocknete Droge	2	Trockenmaterial oder Trockenbereitung; target-freie Kontextklasse getrocknete Droge	vollständig getrocknete Blütenmasse	C0_REPLACEABLE_DEFAULT	C1_TARGET_FREE_FORM_GATE	vollständig getrocknete Blütenmasse	legacy concrete default retained until contradicted or replaced	vollständig getrocknete Fruchtmasse	vollständig getrocknete sonstige Droge	0/1/1	0/1/1	1/1/2	0/0/1	0/1/2	0/0/0	0/0/0	0	form=F02 level=2, hits D1/R3/line=0/1/1; substance=S00 level=0	No independent exact chor or cthy anchor identifies an ofch substance; specific noun is a forced working default.	1	0	0	0
ofcheefar	OFCH_CONTAINING	1	PART_AMOUNT	S00	benannte Arzneidroge	0	F00	Arzneiform offen	0	Drogenportion oder Drogenanteil; target-freie Kontextklasse Arzneiform offen	abgemessene Blütendosis	C0_REPLACEABLE_DEFAULT	C0_LOCAL_OR_FALLBACK_FORM	abgemessene Blütendosis	legacy concrete default retained until contradicted or replaced	dritte Blütenportion	Dosis einer anderen Arzneidroge	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	1	form=F00 level=0, hits D1/R3/line=0/0/0; substance=S00 level=0	No independent exact chor or cthy anchor identifies an ofch substance; specific noun is a forced working default.	1	0	0	0
ofcheol	OFCH_CONTAINING	1	EXTRACT	S00	benannte Arzneidroge	0	F00	Arzneiform offen	0	benannte Zubereitung; Auszug oder Flüssigkeit nicht identifiziert; target-freie Kontextklasse Arzneiform offen	Blütenzubereitung	C0_REPLACEABLE_DEFAULT	C0_LOCAL_OR_FALLBACK_FORM	Blütenauszug	Auszug, Oel, Wasser, Wein oder Essig bleiben C0-Rivalen	Blütenaufguss	Zubereitung ohne Stoffidentität	0/0/0	0/0/0	0/1/1	0/0/0	0/0/0	0/0/0	0/0/0	0	form=F00 level=0, hits D1/R3/line=0/0/0; substance=S00 level=0	No independent exact chor or cthy anchor identifies an ofch substance; specific noun is a forced working default.	1	0	0	0
ofchey	OFCH_CONTAINING	3	PREPARATION	S00	benannte Arzneidroge	0	F04	Zubereitung	4	Zubereitung einer benannten Droge; target-freie Kontextklasse Zubereitung	Blütenzubereitung	C0_REPLACEABLE_DEFAULT	C2_REPEATED_TARGET_FREE_FORM_GATE	Blütenzubereitung	legacy concrete default retained until contradicted or replaced	Blütenextrakt	sonstige Drogenzubereitung	0/1/2	1/1/1	0/0/0	0/1/1	1/1/1	0/0/0	0/0/0	0	form=F04 level=4, hits D1/R3/line=1/2/2; substance=S00 level=0	No independent exact chor or cthy anchor identifies an ofch substance; specific noun is a forced working default.	1	0	0	0
ofchol	OFCH_CONTAINING	1	DRY_RESULT	S00	benannte Arzneidroge	0	F00	Arzneiform offen	0	Trockenmaterial oder Trockenbereitung; target-freie Kontextklasse Arzneiform offen	getrocknete Blütendroge	C0_REPLACEABLE_DEFAULT	C0_LOCAL_OR_FALLBACK_FORM	getrocknete Blütendroge	legacy concrete default retained until contradicted or replaced	Blütendroge zweiten Grades	getrocknete sonstige Droge	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0	form=F00 level=0, hits D1/R3/line=0/0/0; substance=S00 level=0	No independent exact chor or cthy anchor identifies an ofch substance; specific noun is a forced working default.	1	0	0	0
ofchor	OFCH_CONTAINING	1	PART_AMOUNT	S00	benannte Arzneidroge	0	F01	Rohdroge	2	Drogenportion oder Drogenanteil; target-freie Kontextklasse Rohdroge	Blütenportion	C0_REPLACEABLE_DEFAULT	C1_TARGET_FREE_FORM_GATE	Blütenportion	legacy concrete default retained until contradicted or replaced	Blütenstand	Portion eines anderen Pflanzenteils	0/0/0	0/0/0	1/1/1	0/0/0	0/0/0	0/0/0	0/0/0	0	form=F01 level=2, hits D1/R3/line=1/1/1; substance=S00 level=0	No independent exact chor or cthy anchor identifies an ofch substance; specific noun is a forced working default.	1	0	0	0
ofchoshy	OFCH_CONTAINING	1	MOIST_PREPARATION	S00	benannte Arzneidroge	0	F00	Arzneiform offen	0	feuchte Zubereitung einer benannten Droge; target-freie Kontextklasse Arzneiform offen	eingeweichte Blütenmasse	C0_REPLACEABLE_DEFAULT	C0_LOCAL_OR_FALLBACK_FORM	eingeweichte Blütenmasse	legacy concrete default retained until contradicted or replaced	feuchte Blütenzubereitung	angefeuchtete sonstige Droge	0/0/1	0/0/1	0/0/0	0/0/1	0/0/0	0/0/0	0/0/0	0	form=F00 level=0, hits D1/R3/line=0/0/0; substance=S00 level=0	No independent exact chor or cthy anchor identifies an ofch substance; specific noun is a forced working default.	1	0	0	0
ofchr	OFCH_CONTAINING	1	TERMINAL_RESULT	S00	benannte Arzneidroge	0	F00	Arzneiform offen	0	Endprodukt oder Abschlusszubereitung einer Droge; target-freie Kontextklasse Arzneiform offen	Blütenrückstand	C0_REPLACEABLE_DEFAULT	C0_LOCAL_OR_FALLBACK_FORM	Blütenrückstand	legacy concrete default retained until contradicted or replaced	Blütenendprodukt	Drogenrückstand ohne Stoffidentität	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	1	form=F00 level=0, hits D1/R3/line=0/0/0; substance=S00 level=0	No independent exact chor or cthy anchor identifies an ofch substance; specific noun is a forced working default.	1	0	0	0
