reader_token_id	locus	ordinal	surface	gdt766_local_default_de	gdt767_local_default_de	gdt767_confidence	updated_target	written_line_eva	gdt767_revised_line_de	renderer_boundary	confirmed_plaintext	component_credit
G767-R01	f22r.4	1	pchaiin	Haupteintrag; Trockenklasse III	Haupteintrag; Trockenklasse III	C1	0	pchaiin ofchy daiin cfhy doroiin ypchol sy schor daiin	Haupteintrag; Trockenklasse III; Blütenmasse; drei Einheiten; Feldwechsel; abgemessene Drogenportion; Form III; dazugehöriges Trockenmaterial; Unterposten; Blütenstandsposten; drei Einheiten.	TOKEN_DEFAULTS_IN_WRITTEN_ORDER_SEMICOLONS_ASSERT_NO_ATTACHMENT	0	0
G767-R02	f22r.4	2	ofchy	Blütenmasse	Blütenmasse	C0_REPLACEABLE_DEFAULT	1	pchaiin ofchy daiin cfhy doroiin ypchol sy schor daiin	Haupteintrag; Trockenklasse III; Blütenmasse; drei Einheiten; Feldwechsel; abgemessene Drogenportion; Form III; dazugehöriges Trockenmaterial; Unterposten; Blütenstandsposten; drei Einheiten.	TOKEN_DEFAULTS_IN_WRITTEN_ORDER_SEMICOLONS_ASSERT_NO_ATTACHMENT	0	0
G767-R03	f22r.4	3	daiin	drei Einheiten	drei Einheiten	C0	0	pchaiin ofchy daiin cfhy doroiin ypchol sy schor daiin	Haupteintrag; Trockenklasse III; Blütenmasse; drei Einheiten; Feldwechsel; abgemessene Drogenportion; Form III; dazugehöriges Trockenmaterial; Unterposten; Blütenstandsposten; drei Einheiten.	TOKEN_DEFAULTS_IN_WRITTEN_ORDER_SEMICOLONS_ASSERT_NO_ATTACHMENT	0	0
G767-R04	f22r.4	4	cfhy	Feldwechsel	Feldwechsel	C1	0	pchaiin ofchy daiin cfhy doroiin ypchol sy schor daiin	Haupteintrag; Trockenklasse III; Blütenmasse; drei Einheiten; Feldwechsel; abgemessene Drogenportion; Form III; dazugehöriges Trockenmaterial; Unterposten; Blütenstandsposten; drei Einheiten.	TOKEN_DEFAULTS_IN_WRITTEN_ORDER_SEMICOLONS_ASSERT_NO_ATTACHMENT	0	0
G767-R05	f22r.4	5	doroiin	abgemessene Drogenportion; Form III	abgemessene Drogenportion; Form III	C0	0	pchaiin ofchy daiin cfhy doroiin ypchol sy schor daiin	Haupteintrag; Trockenklasse III; Blütenmasse; drei Einheiten; Feldwechsel; abgemessene Drogenportion; Form III; dazugehöriges Trockenmaterial; Unterposten; Blütenstandsposten; drei Einheiten.	TOKEN_DEFAULTS_IN_WRITTEN_ORDER_SEMICOLONS_ASSERT_NO_ATTACHMENT	0	0
G767-R06	f22r.4	6	ypchol	dazugehöriges Trockenmaterial	dazugehöriges Trockenmaterial	C0	0	pchaiin ofchy daiin cfhy doroiin ypchol sy schor daiin	Haupteintrag; Trockenklasse III; Blütenmasse; drei Einheiten; Feldwechsel; abgemessene Drogenportion; Form III; dazugehöriges Trockenmaterial; Unterposten; Blütenstandsposten; drei Einheiten.	TOKEN_DEFAULTS_IN_WRITTEN_ORDER_SEMICOLONS_ASSERT_NO_ATTACHMENT	0	0
G767-R07	f22r.4	7	sy	Unterposten	Unterposten	C1	0	pchaiin ofchy daiin cfhy doroiin ypchol sy schor daiin	Haupteintrag; Trockenklasse III; Blütenmasse; drei Einheiten; Feldwechsel; abgemessene Drogenportion; Form III; dazugehöriges Trockenmaterial; Unterposten; Blütenstandsposten; drei Einheiten.	TOKEN_DEFAULTS_IN_WRITTEN_ORDER_SEMICOLONS_ASSERT_NO_ATTACHMENT	0	0
G767-R08	f22r.4	8	schor	Blütenstand	Blütenstandsposten	C0_REPLACEABLE_DEFAULT	1	pchaiin ofchy daiin cfhy doroiin ypchol sy schor daiin	Haupteintrag; Trockenklasse III; Blütenmasse; drei Einheiten; Feldwechsel; abgemessene Drogenportion; Form III; dazugehöriges Trockenmaterial; Unterposten; Blütenstandsposten; drei Einheiten.	TOKEN_DEFAULTS_IN_WRITTEN_ORDER_SEMICOLONS_ASSERT_NO_ATTACHMENT	0	0
G767-R09	f22r.4	9	daiin	drei Einheiten	drei Einheiten	C0	0	pchaiin ofchy daiin cfhy doroiin ypchol sy schor daiin	Haupteintrag; Trockenklasse III; Blütenmasse; drei Einheiten; Feldwechsel; abgemessene Drogenportion; Form III; dazugehöriges Trockenmaterial; Unterposten; Blütenstandsposten; drei Einheiten.	TOKEN_DEFAULTS_IN_WRITTEN_ORDER_SEMICOLONS_ASSERT_NO_ATTACHMENT	0	0
G767-R10	f22v.1	1	pysaiinor	Eintragskopf; Inhalt offen	Eintragskopf; Inhalt offen	C0	0	pysaiinor ofchar oky tchy otdy sor shy qod	Eintragskopf; Inhalt offen; Blütenanteil; erste Wärmestufe; kalt-trockener Gradanfang; kalter Anfangsansatz; abgeschlossen; Unterposten; Portionsträger; feucht oder angefeuchtet; Anfangsstufe; Zubereitung abschließen.	TOKEN_DEFAULTS_IN_WRITTEN_ORDER_SEMICOLONS_ASSERT_NO_ATTACHMENT	0	0
