feature	ofch_exact_occurrences	d1_occurrences	r3_occurrences	line_occurrences	d1_rate	r3_rate	line_rate	identity_credit	interpretation
DRY	43	4	10	14	0.093023	0.232558	0.325581	0	Target-excluding state, amount, record or process context; class evidence only.
MOIST	43	3	6	13	0.069767	0.139535	0.302326	0	Target-excluding state, amount, record or process context; class evidence only.
HOT	43	4	7	13	0.093023	0.162791	0.302326	0	Target-excluding state, amount, record or process context; class evidence only.
COLD	43	2	5	10	0.046512	0.116279	0.232558	0	Target-excluding state, amount, record or process context; class evidence only.
STAGE	43	8	21	29	0.186047	0.488372	0.674419	0	Target-excluding state, amount, record or process context; class evidence only.
VALUE_AMOUNT	43	5	9	11	0.116279	0.209302	0.255814	0	Target-excluding state, amount, record or process context; class evidence only.
CTHY_LEAF	43	0	0	0	0.000000	0.000000	0.000000	0	No independent exact leaf-whole cofield support.
CHOR_REPRO	43	0	0	0	0.000000	0.000000	0.000000	0	No independent exact chor cofield support; shadow family contacts remain separate.
PREP	43	0	6	8	0.000000	0.139535	0.186047	0	Target-excluding state, amount, record or process context; class evidence only.
PROCESS_CLOSE	43	1	8	9	0.023256	0.186047	0.209302	0	Target-excluding state, amount, record or process context; class evidence only.
H1	43	3	8	10	0.069767	0.186047	0.232558	0	Target-excluding state, amount, record or process context; class evidence only.
H2	43	2	2	4	0.046512	0.046512	0.093023	0	Target-excluding state, amount, record or process context; class evidence only.
