source_occurrence_id	target_family	surface	page	locus	ordinal	line_token_count	d1_features	r3_features	line_features	d1_donors	r3_donors	line_donors	written_line_eva	all_target_surfaces_blocked_as_donors	all_donors_reader_exact_and_clean	component_credit
G767-CF0001	CHOR_SCHOR_LCHOR	chor	f100r	f100r.15	4	7	DRY	DRY|MOIST|STAGE|PREP	DRY|MOIST|STAGE|PREP	chol@5:d1[DRY]	shol@2:d2[MOIST]|chol@5:d1[DRY]|qokeeody@6:d2[STAGE|PREP]	shol@2:d2[MOIST]|chol@5:d1[DRY]|qokeeody@6:d2[STAGE|PREP]	dcheor shol qokeeol chor chol qokeeody dareu	1	1	0
G767-CF0002	CHOR_SCHOR_LCHOR	chor	f100r	f100r.23	7	12	DRY|PREP	DRY|MOIST|PREP	DRY|MOIST|PREP|H2	qockhol@6:d1[PREP]|chol@8:d1[DRY]	shol@4:d3[MOIST]|shol@5:d2[MOIST]|qockhol@6:d1[PREP]|chol@8:d1[DRY]|sho@9:d2[MOIST|PREP]	soiin@1:d6[H2]|chol@2:d5[DRY]|shol@4:d3[MOIST]|shol@5:d2[MOIST]|qockhol@6:d1[PREP]|chol@8:d1[DRY]|sho@9:d2[MOIST|PREP]	soiin chol cphol shol shol qockhol chor chol sho keey y ykeeam	1	1	0
G767-CF0003	CHOR_SCHOR_LCHOR	chor	f100v	f100v.14	6	9	COLD|STAGE|PREP	COLD|STAGE|VALUE_AMOUNT|PREP	COLD|STAGE|VALUE_AMOUNT|PREP	oteey@7:d1[COLD|STAGE|PREP]	oteey@7:d1[COLD|STAGE|PREP]|daiin@8:d2[VALUE_AMOUNT]	oteey@7:d1[COLD|STAGE|PREP]|daiin@8:d2[VALUE_AMOUNT]	deey sheocphy qoteody ckhoor ar chor oteey daiin qokomo	1	1	0
G767-CF0004	CHOR_SCHOR_LCHOR	chor	f102v1	f102v1.14	1	5	DRY|VALUE_AMOUNT	DRY|COLD|STAGE|VALUE_AMOUNT|PREP|PROCESS_CLOSE	DRY|COLD|STAGE|VALUE_AMOUNT|PREP|PROCESS_CLOSE	cheor@2:d1[DRY|VALUE_AMOUNT]	cheor@2:d1[DRY|VALUE_AMOUNT]|ckhey@3:d2[STAGE|PREP]|oteol@4:d3[COLD|STAGE|PREP|PROCESS_CLOSE]	cheor@2:d1[DRY|VALUE_AMOUNT]|ckhey@3:d2[STAGE|PREP]|oteol@4:d3[COLD|STAGE|PREP|PROCESS_CLOSE]	chor cheor ckhey oteol aeky	1	1	0
G767-CF0005	CHOR_SCHOR_LCHOR	chor	f104v	f104v.20	9	12	HOT|PROCESS_CLOSE	DRY|HOT|COLD|STAGE|PROCESS_CLOSE	DRY|HOT|COLD|STAGE|PREP|PROCESS_CLOSE	qokol@8:d1[HOT|PROCESS_CLOSE]	qotcheedy@6:d3[DRY|COLD|STAGE|PROCESS_CLOSE]|qokol@8:d1[HOT|PROCESS_CLOSE]	sheeo@2:d7[STAGE|PREP]|qokeey@4:d5[HOT|STAGE]|qotcheedy@6:d3[DRY|COLD|STAGE|PROCESS_CLOSE]|qokol@8:d1[HOT|PROCESS_CLOSE]	or sheeo lcheedy qokeey qochey qotcheedy qotchedy qokol chor chorol chdar otam	1	1	0
G767-CF0006	CHOR_SCHOR_LCHOR	chor	f105v	f105v.35	6	12	NONE	DRY|STAGE|PREP	DRY|STAGE|PREP	NONE	odaiin@8:d2[STAGE|PREP]|chedy@9:d3[DRY|STAGE]	odaiin@8:d2[STAGE|PREP]|chedy@9:d3[DRY|STAGE]	doee okcheeo l taiin otcheedy chor aiin odaiin chedy otaiin al kaishd	1	1	0
G767-CF0007	CHOR_SCHOR_LCHOR	chor	f106v	f106v.23	4	13	NONE	DRY|STAGE	DRY|HOT|STAGE|PREP|PROCESS_CLOSE	NONE	chdy@6:d2[DRY|STAGE]|chol@7:d3[DRY]	chdy@6:d2[DRY|STAGE]|chol@7:d3[DRY]|okeedy@12:d8[HOT|STAGE|PREP|PROCESS_CLOSE]	ol kalol shar chor okal chdy chol chedy qotaiin or aiin okeedy qokain	1	1	0
G767-CF0008	OFCH_CONTAINING	qofchedy	f106v	f106v.32	6	11	H2	HOT|STAGE|PROCESS_CLOSE|H1|H2	HOT|STAGE|PROCESS_CLOSE|H1|H2	sair@7:d1[H2]	keedy@4:d2[HOT|STAGE|PROCESS_CLOSE]|sair@7:d1[H2]|pchedy@9:d3[H1]	keedy@4:d2[HOT|STAGE|PROCESS_CLOSE]|sair@7:d1[H2]|pchedy@9:d3[H1]	polos shdair sheky keedy qoeedy qofchedy sair al pchedy ypodaiin saram	1	1	0
G767-CF0009	OFCH_CONTAINING	qofchol	f107r	f107r.27	7	10	DRY|HOT|STAGE	DRY|HOT|STAGE|VALUE_AMOUNT	DRY|HOT|STAGE|VALUE_AMOUNT	chkaiin@8:d1[DRY|HOT|STAGE]	chkaiin@8:d1[DRY|HOT|STAGE]|orol@10:d3[VALUE_AMOUNT]	chkaiin@8:d1[DRY|HOT|STAGE]|orol@10:d3[VALUE_AMOUNT]	pydar aiirod qokiir otiir ofchedy qofchedy qofchol chkaiin chpaiin orol	1	1	0
G767-CF0010	OFCH_CONTAINING	ofchey	f107r	f107r.38	3	9	COLD|STAGE|PROCESS_CLOSE	COLD|STAGE|PROCESS_CLOSE	DRY|HOT|COLD|STAGE|PROCESS_CLOSE	qoteedy@4:d1[COLD|STAGE|PROCESS_CLOSE]	qoteedy@4:d1[COLD|STAGE|PROCESS_CLOSE]	qoteedy@4:d1[COLD|STAGE|PROCESS_CLOSE]|qokchey@7:d4[DRY|HOT|STAGE]|aly@9:d6[STAGE]	poaral orar ofchey qoteedy qotaiin opchedy qokchey otlchdain aly	1	1	0
