mode	record	line	locus	word	kind	rendering	row_status
R	f17r	f17r.4	f17r.4:1	tcho	OPEN	⟦tcho⟧	recorded
R	f17r	f17r.4	f17r.4:2	shol	OPEN	⟦shol⟧	recorded
R	f17r	f17r.4	f17r.4:3	qokol	OPEN	⟦qokol⟧	recorded
R	f17r	f17r.4	f17r.4:4	qor	OPEN	⟦qor⟧	recorded
R	f17r	f17r.4	f17r.4:5	olaiin	OPEN	⟦olaiin⟧	recorded
R	f17r	f17r.4	f17r.4:6	opydg	OPEN	⟦opydg⟧	recorded
R	f17r	f17r.4	f17r.4:7	som	OPEN	⟦som⟧	recorded
R	f17r	f17r.4	f17r.4:8	ypchy	OPEN	⟦ypchy⟧	recorded
R	f17r	f17r.4	f17r.4:9	ypaim	OPEN	⟦ypaim⟧	recorded
R	f17r	f17r.5	f17r.5:1	ychekchy	OPEN	⟦ychekchy⟧	recorded
R	f17r	f17r.5	f17r.5:2	cthy	MATERIAL	Pflanzengut	recorded
R	f17r	f17r.5	f17r.5:3	chor	MATERIAL	Blüten	recorded
R	f17r	f17r.5	f17r.5:4	shor	MATERIAL	Samen	recorded
R	f17r	f17r.5	f17r.5:5	cphor	OPEN	⟦cphor⟧	recorded
R	f17r	f17r.5	f17r.5:6	cphaldy	OPEN	⟦cphaldy⟧	recorded
R	f17r	f17r.5	f17r.5:7	dair	OPEN	⟦dair⟧	recorded
R	f17r	f17r.5	f17r.5:8	cthey	OPEN	⟦cthey⟧	recorded
R	f17r	f17r.5	f17r.5:9	qody	OPEN	⟦qody⟧	recorded
R	f17r	f17r.6	f17r.6:1	tsho	OPEN	⟦tsho⟧	recorded
R	f17r	f17r.6	f17r.6:2	qof	OPEN	⟦qof⟧	recorded
R	f17r	f17r.6	f17r.6:3	cho	OTHER_ASSUMPTION	Inneres	recorded
R	f17r	f17r.6	f17r.6:4	qokcheor	OPEN	⟦qokcheor⟧	recorded
R	f17r	f17r.6	f17r.6:5	cheteg	OPEN	⟦cheteg⟧	recorded
R	f21r	f21r.8	f21r.8:1	fcho	OPEN	⟦fcho⟧	recorded
R	f21r	f21r.8	f21r.8:2	kshy	OPEN	⟦kshy⟧	recorded
R	f21r	f21r.8	f21r.8:3	otor	OPEN	⟦otor⟧	recorded
R	f21r	f21r.8	f21r.8:4	sheol	OPEN	⟦sheol⟧	recorded
R	f21r	f21r.8	f21r.8:5	ocphal	OPEN	⟦ocphal⟧	recorded
R	f21r	f21r.8	f21r.8:6	opsheas	OPEN	⟦opsheas⟧	recorded
R	f21r	f21r.8	f21r.8:7	cthodaiin	OPEN	⟦cthodaiin⟧	recorded
R	f21r	f21r.8	f21r.8:8	oty	OPEN	⟦oty⟧	recorded
R	f21r	f21r.9	f21r.9:1	okaiin	MATERIAL	Ansatz	recorded
R	f21r	f21r.9	f21r.9:2	sho	OTHER_ASSUMPTION	Flüssigkeit	recorded
R	f21r	f21r.9	f21r.9:3	tshaiin	OPEN	⟦tshaiin⟧	recorded
R	f21r	f21r.9	f21r.9:4	chkaiin	OPEN	⟦chkaiin⟧	recorded
R	f21r	f21r.9	f21r.9:5	sh	OPEN	⟦sh⟧	recorded
R	f21r	f21r.9	f21r.9:6	cthey	OPEN	⟦cthey⟧	recorded
R	f21r	f21r.9	f21r.9:7	cthody	OPEN	⟦cthody⟧	recorded
R	f21r	f21r.9	f21r.9:8	cthy	MATERIAL	Pflanzengut	recorded
R	f21r	f21r.9	f21r.9:9	s	OTHER_ASSUMPTION	je	recorded
R	f21r	f21r.10	f21r.10:1	totchy	OPEN	⟦totchy⟧	recorded
R	f21r	f21r.10	f21r.10:2	keor	OPEN	⟦keor⟧	recorded
R	f21r	f21r.10	f21r.10:3	chy	OPERATION	verarbeite(cthy;Quelle=f21r.9:8;ASSUMED_SINGLE_MATERIAL)	recorded
R	f21r	f21r.10	f21r.10:4	ky	OPEN	⟦ky⟧	recorded
R	f21r	f21r.10	f21r.10:5	qotaiin	MATERIAL	abgeteilte Portion	recorded
R	f21r	f21r.10	f21r.10:6	qotchol	OPEN	⟦qotchol⟧	recorded
R	f21r	f21r.10	f21r.10:7	ty	OPEN	⟦ty⟧	recorded
R	f21r	f21r.10	f21r.10:8	ctheey	OPEN	⟦ctheey⟧	recorded
R	f21r	f21r.10	f21r.10:9	otaiin	OPEN	⟦otaiin⟧	recorded
R	f21r	f21r.11	f21r.11:1	shol	OPEN	⟦shol⟧	recorded
R	f21r	f21r.11	f21r.11:2	chol	OTHER_ASSUMPTION	trocken	recorded
R	f21r	f21r.11	f21r.11:3	shol	OPEN	⟦shol⟧	recorded
R	f21r	f21r.11	f21r.11:4	tchol	OPEN	⟦tchol⟧	recorded
R	f21r	f21r.11	f21r.11:5	chcthy	OPEN	⟦chcthy⟧	recorded
R	f21r	f21r.11	f21r.11:6	otyky	OPEN	⟦otyky⟧	recorded
R	f21r	f21r.11	f21r.11:7	shey	OPERATION	fülle ein(qotaiin;Quelle=f21r.10:5;ASSUMED_SINGLE_MATERIAL)	recorded
R	f21r	f21r.11	f21r.11:8	yteol	OPEN	⟦yteol⟧	recorded
R	f21r	f21r.11	f21r.11:9	shody	OPEN	⟦shody⟧	recorded
R	f21r	f21r.12	f21r.12:1	ykeey	OPEN	⟦ykeey⟧	recorded
R	f21r	f21r.12	f21r.12:2	chor	MATERIAL	Blüten	recorded
R	f21r	f21r.12	f21r.12:3	sheey	OPEN	⟦sheey⟧	recorded
R	f21r	f21r.12	f21r.12:4	ysheol	OPEN	⟦ysheol⟧	recorded
R	f21r	f21r.12	f21r.12:5	chor	MATERIAL	Blüten	recorded
R	f21r	f21r.12	f21r.12:6	chol	OTHER_ASSUMPTION	trocken	recorded
R	f21r	f21r.12	f21r.12:7	daiin	OTHER_ASSUMPTION	festgelegte Dosis	recorded
R	f21r	f21r.12	f21r.12:8	chkaiin	OPEN	⟦chkaiin⟧	recorded
R	f32v	f32v.7	f32v.7:1	ksho	OPEN	⟦ksho⟧	recorded
R	f32v	f32v.7	f32v.7:2	cphos	OPERATION	zerreibe(NA;Quelle=NA;MISSING_MATERIAL)	recorded
R	f32v	f32v.7	f32v.7:3	she	OPERATION	lasse stehen(NA;Quelle=NA;MISSING_MATERIAL)	recorded
R	f32v	f32v.7	f32v.7:4	sheaiin	OTHER_ASSUMPTION	Standzeit	recorded
R	f32v	f32v.7	f32v.7:5	otshcho	OTHER_ASSUMPTION	kühles Inneres	recorded
R	f32v	f32v.7	f32v.7:6	r	OTHER_ASSUMPTION	danach	recorded
R	f32v	f32v.7	f32v.7:7	dain	OTHER_ASSUMPTION	kleine Dosis	recorded
R	f32v	f32v.7	f32v.7:8	shckhy	OPERATION	vermische(NA;Quelle=NA;MISSING_MATERIAL)	recorded
R	f32v	f32v.7	f32v.7:9	s	OTHER_ASSUMPTION	je	recorded
R	f32v	f32v.7	f32v.7:10	odan	MATERIAL	Rest	recorded
