mode	record	line	locus	word	family	occurrence	material	material_source	argument_status	source_partner	source_order	source_material	source_conditions	correspondence	material_flow_binding	condition_binding	row_status
A	f21r	f21r.10	f21r.10:3	chy	PROCESS	1	cthy	f21r.9:8	ASSUMED_SINGLE_MATERIAL	NONE	-1	NA	NA	NO_SOURCE_EVENT	UNBOUND	UNBOUND	recorded
A	f21r	f21r.11	f21r.11:7	shey	POUR	1	qotaiin	f21r.10:5	ASSUMED_SINGLE_MATERIAL	NONE	-1	NA	NA	NO_SOURCE_EVENT	UNBOUND	UNBOUND	recorded
A	f32v	f32v.7	f32v.7:2	cphos	GRIND	1	NA	NA	MISSING_MATERIAL	NONE	-1	NA	NA	NO_SOURCE_EVENT	UNBOUND	UNBOUND	recorded
A	f32v	f32v.7	f32v.7:3	she	REST	1	NA	NA	MISSING_MATERIAL	NONE	-1	NA	NA	NO_SOURCE_EVENT	UNBOUND	UNBOUND	recorded
A	f32v	f32v.7	f32v.7:8	shckhy	MIX	1	NA	NA	MISSING_MATERIAL	S12	12	WINE+VITRIOL	beide gut miteinander	OPERATION_FAMILY_ONLY	UNBOUND	UNBOUND	recorded
A	f32v	f32v.8	f32v.8:7	otchy	TAKE	1	qotaiin	f32v.8:6	ASSUMED_SINGLE_MATERIAL	S01	1	WATER	12 librae Regenwasser	OPERATION_FAMILY_ONLY	UNBOUND	UNBOUND	recorded
A	f32v	f32v.9	f32v.9:1	qotchy	SIEVE	1	shan	f32v.8:9	ASSUMED_SINGLE_MATERIAL	NONE	-1	NA	NA	NO_SOURCE_EVENT	UNBOUND	UNBOUND	recorded
A	f32v	f32v.9	f32v.9:3	skey	RETAIN	1	shan	f32v.8:9	ASSUMED_SINGLE_MATERIAL	NONE	-1	NA	NA	NO_SOURCE_EVENT	UNBOUND	UNBOUND	recorded
A	f32v	f32v.10	f32v.10:6	cpho	GRIND	2	chor	f32v.10:3	ASSUMED_SINGLE_MATERIAL	NONE	-1	NA	NA	NO_SOURCE_EVENT	UNBOUND	UNBOUND	recorded
A	f32v	f32v.11	f32v.11:3	chy	PROCESS	1	cthol	f32v.10:8	ASSUMED_SINGLE_MATERIAL	NONE	-1	NA	NA	NO_SOURCE_EVENT	UNBOUND	UNBOUND	recorded
A	f29v	f29v.1	f29v.1:3	chetchy	GRIND	1	shor	f29v.1:2	ASSUMED_SINGLE_MATERIAL	NONE	-1	NA	NA	NO_SOURCE_EVENT	UNBOUND	UNBOUND	recorded
A	f29v	f29v.1	f29v.1:6	shytchy	WET	1	cthy	f29v.1:7	ASSUMED_SINGLE_MATERIAL	S03	3	GALLS+WATER	abends bis morgens; dieselben Gallen und dasselbe Regenwasser	OPERATION_FAMILY_ONLY	UNBOUND	UNBOUND	recorded
A	f29v	f29v.2	f29v.2:6	chey	CHECK	1	cthy	f29v.2:5	ASSUMED_SINGLE_MATERIAL	NONE	-1	NA	NA	NO_SOURCE_EVENT	UNBOUND	UNBOUND	recorded
A	f29v	f29v.3	f29v.3:4	shey	POUR	1	ytchor	f29v.2:8	ASSUMED_SINGLE_MATERIAL	NONE	-1	NA	NA	NO_SOURCE_EVENT	UNBOUND	UNBOUND	recorded
A	f29v	f29v.3	f29v.3:6	qotchy	SIEVE	1	odaiin	f29v.3:5	ASSUMED_SINGLE_MATERIAL	NONE	-1	NA	NA	NO_SOURCE_EVENT	UNBOUND	UNBOUND	recorded
A	f29v	f29v.3	f29v.3:9	she	REST	1	odaiin	f29v.3:5	ASSUMED_SINGLE_MATERIAL	NONE	-1	NA	NA	NO_SOURCE_EVENT	UNBOUND	UNBOUND	recorded
A	f29v	f29v.4	f29v.4:7	shot	HEAT	1	cthy	f29v.4:4	ASSUMED_SINGLE_MATERIAL	S04	4	GALLS+WATER	Kochen; Wasser bis zur Hälfte verbraucht	OPERATION_FAMILY_ONLY	UNBOUND	UNBOUND	recorded
R	f21r	f21r.10	f21r.10:3	chy	PROCESS	1	cthy	f21r.9:8	ASSUMED_SINGLE_MATERIAL	NONE	-1	NA	NA	NO_SOURCE_EVENT	UNBOUND	UNBOUND	recorded
R	f21r	f21r.11	f21r.11:7	shey	POUR	1	qotaiin	f21r.10:5	ASSUMED_SINGLE_MATERIAL	NONE	-1	NA	NA	NO_SOURCE_EVENT	UNBOUND	UNBOUND	recorded
R	f32v	f32v.7	f32v.7:2	cphos	GRIND	1	NA	NA	MISSING_MATERIAL	NONE	-1	NA	NA	NO_SOURCE_EVENT	UNBOUND	UNBOUND	recorded
R	f32v	f32v.7	f32v.7:3	she	REST	1	NA	NA	MISSING_MATERIAL	NONE	-1	NA	NA	NO_SOURCE_EVENT	UNBOUND	UNBOUND	recorded
R	f32v	f32v.7	f32v.7:8	shckhy	MIX	1	NA	NA	MISSING_MATERIAL	S12	12	WINE+VITRIOL	beide gut miteinander	OPERATION_FAMILY_ONLY	UNBOUND	UNBOUND	recorded
R	f32v	f32v.8	f32v.8:7	otchy	TAKE	1	qotaiin	f32v.8:6	ASSUMED_SINGLE_MATERIAL	S01	1	WATER	12 librae Regenwasser	OPERATION_FAMILY_ONLY	UNBOUND	UNBOUND	recorded
R	f32v	f32v.9	f32v.9:1	qotchy	FILTER	1	shan	f32v.8:9	ASSUMED_SINGLE_MATERIAL	S05	5	WATER1	sehr gut durch feines Tuch; erste Filtration	OPERATION_FAMILY_ONLY	UNBOUND	UNBOUND	recorded
R	f32v	f32v.9	f32v.9:3	skey	RETAIN	1	shan	f32v.8:9	ASSUMED_SINGLE_MATERIAL	NONE	-1	NA	NA	NO_SOURCE_EVENT	UNBOUND	UNBOUND	recorded
R	f32v	f32v.10	f32v.10:6	cpho	GRIND	2	chor	f32v.10:3	ASSUMED_SINGLE_MATERIAL	NONE	-1	NA	NA	NO_SOURCE_EVENT	UNBOUND	UNBOUND	recorded
R	f32v	f32v.11	f32v.11:3	chy	PROCESS	1	cthol	f32v.10:8	ASSUMED_SINGLE_MATERIAL	NONE	-1	NA	NA	NO_SOURCE_EVENT	UNBOUND	UNBOUND	recorded
R	f29v	f29v.1	f29v.1:3	chetchy	GRIND	1	shor	f29v.1:2	ASSUMED_SINGLE_MATERIAL	NONE	-1	NA	NA	NO_SOURCE_EVENT	UNBOUND	UNBOUND	recorded
R	f29v	f29v.1	f29v.1:6	shytchy	WET	1	cthy	f29v.1:7	ASSUMED_SINGLE_MATERIAL	S03	3	GALLS+WATER	abends bis morgens; dieselben Gallen und dasselbe Regenwasser	OPERATION_FAMILY_ONLY	UNBOUND	UNBOUND	recorded
R	f29v	f29v.2	f29v.2:6	chey	CHECK	1	cthy	f29v.2:5	ASSUMED_SINGLE_MATERIAL	NONE	-1	NA	NA	NO_SOURCE_EVENT	UNBOUND	UNBOUND	recorded
R	f29v	f29v.3	f29v.3:4	shey	POUR	1	ytchor	f29v.2:8	ASSUMED_SINGLE_MATERIAL	NONE	-1	NA	NA	NO_SOURCE_EVENT	UNBOUND	UNBOUND	recorded
R	f29v	f29v.3	f29v.3:6	qotchy	FILTER	1	odaiin	f29v.3:5	ASSUMED_SINGLE_MATERIAL	S05	5	WATER1	sehr gut durch feines Tuch; erste Filtration	OPERATION_FAMILY_ONLY	UNBOUND	UNBOUND	recorded
R	f29v	f29v.3	f29v.3:9	she	REST	1	odaiin	f29v.3:5	ASSUMED_SINGLE_MATERIAL	NONE	-1	NA	NA	NO_SOURCE_EVENT	UNBOUND	UNBOUND	recorded
R	f29v	f29v.4	f29v.4:7	shot	HEAT	1	cthy	f29v.4:4	ASSUMED_SINGLE_MATERIAL	S04	4	GALLS+WATER	Kochen; Wasser bis zur Hälfte verbraucht	OPERATION_FAMILY_ONLY	UNBOUND	UNBOUND	recorded
