panel,word,A,B,required_pairs,possible_pools,decision
ZL_ALL_LITERAL_GROUPS,aiin,3,4,3,BP04|BP20,NECESSARY_DOMAIN_NONEMPTY
ZL_ALL_LITERAL_GROUPS,aiinal,1,0,0,,NOT_SHARED
ZL_ALL_LITERAL_GROUPS,ain,1,0,0,,NOT_SHARED
ZL_ALL_LITERAL_GROUPS,al,4,1,1,BP04|BP20,NECESSARY_DOMAIN_NONEMPTY
ZL_ALL_LITERAL_GROUPS,char,0,1,0,,NOT_SHARED
ZL_ALL_LITERAL_GROUPS,chchky,0,1,0,,NOT_SHARED
ZL_ALL_LITERAL_GROUPS,cheal,1,0,0,,NOT_SHARED
ZL_ALL_LITERAL_GROUPS,checkhed,1,0,0,,NOT_SHARED
ZL_ALL_LITERAL_GROUPS,chedy,3,3,3,BP04|BP20,NECESSARY_DOMAIN_NONEMPTY
ZL_ALL_LITERAL_GROUPS,cheedy,0,1,0,,NOT_SHARED
ZL_ALL_LITERAL_GROUPS,cheeo,1,0,0,,NOT_SHARED
ZL_ALL_LITERAL_GROUPS,chees,0,1,0,,NOT_SHARED
ZL_ALL_LITERAL_GROUPS,cheey,2,1,1,BP02|BP04|BP14|BP19|BP20|BP46,NECESSARY_DOMAIN_NONEMPTY
ZL_ALL_LITERAL_GROUPS,cheom,0,0,0,,NOT_SHARED
ZL_ALL_LITERAL_GROUPS,chey,5,3,3,,EMPTY_NECESSARY_DOMAIN
ZL_ALL_LITERAL_GROUPS,chody,1,0,0,,NOT_SHARED
ZL_ALL_LITERAL_GROUPS,daiin,1,2,1,BP02|BP04|BP13|BP16|BP17|BP19|BP20|BP22|BP44,NECESSARY_DOMAIN_NONEMPTY
ZL_ALL_LITERAL_GROUPS,dal,1,1,1,BP02|BP04|BP06|BP13|BP14|BP16|BP17|BP19|BP20|BP22|BP41|BP44|BP45|BP46,NECESSARY_DOMAIN_NONEMPTY
ZL_ALL_LITERAL_GROUPS,dchedy,0,1,0,,NOT_SHARED
ZL_ALL_LITERAL_GROUPS,dedy,0,1,0,,NOT_SHARED
ZL_ALL_LITERAL_GROUPS,dkshey,0,1,0,,NOT_SHARED
ZL_ALL_LITERAL_GROUPS,dl,0,1,0,,NOT_SHARED
ZL_ALL_LITERAL_GROUPS,dy,1,0,0,,NOT_SHARED
ZL_ALL_LITERAL_GROUPS,iir,1,0,0,,NOT_SHARED
ZL_ALL_LITERAL_GROUPS,kain,0,1,0,,NOT_SHARED
ZL_ALL_LITERAL_GROUPS,kedy,1,0,0,,NOT_SHARED
ZL_ALL_LITERAL_GROUPS,keedy,0,1,0,,NOT_SHARED
ZL_ALL_LITERAL_GROUPS,keeedal,1,0,0,,NOT_SHARED
ZL_ALL_LITERAL_GROUPS,keeey,1,0,0,,NOT_SHARED
ZL_ALL_LITERAL_GROUPS,keey,1,0,0,,NOT_SHARED
ZL_ALL_LITERAL_GROUPS,lchedy,0,1,0,,NOT_SHARED
ZL_ALL_LITERAL_GROUPS,lkain,0,0,0,,NOT_SHARED
ZL_ALL_LITERAL_GROUPS,lkar,2,0,0,,NOT_SHARED
ZL_ALL_LITERAL_GROUPS,lkeedain,1,0,0,,NOT_SHARED
ZL_ALL_LITERAL_GROUPS,lkeedy,2,0,0,,NOT_SHARED
ZL_ALL_LITERAL_GROUPS,lkeeey,1,0,0,,NOT_SHARED
