base_id	base_family	primitive_signature	observed_support	teaching_use
PG001	BIO_RECURRENT_DEFAULT	HOLD_STATE>CLOSE	21	COMPARISON_BASE_NOT_MEMORIZED_SCRIPT
PG002	BIO_RECURRENT_DEFAULT	MOVE_PASS>CLOSE	14	COMPARISON_BASE_NOT_MEMORIZED_SCRIPT
PG003	BIO_RECURRENT_DEFAULT	ACTIVATE_CHARGE>CLOSE	4	COMPARISON_BASE_NOT_MEMORIZED_SCRIPT
PG004	BIO_RECURRENT_DEFAULT	CONTINUE_USE>HOLD_STATE>HOLD_STATE>CLOSE	3	COMPARISON_BASE_NOT_MEMORIZED_SCRIPT
PG005	BIO_RECURRENT_DEFAULT	HOLD_STATE>HOLD_STATE>CLOSE	3	COMPARISON_BASE_NOT_MEMORIZED_SCRIPT
PG006	BIO_RECURRENT_DEFAULT	ACTIVATE_CHARGE>ACTIVATE_CHARGE>HOLD_STATE>CLOSE	2	COMPARISON_BASE_NOT_MEMORIZED_SCRIPT
PG007	BIO_RECURRENT_DEFAULT	ACTIVATE_CHARGE>HOLD_STATE>CLOSE	2	COMPARISON_BASE_NOT_MEMORIZED_SCRIPT
PG008	BIO_RECURRENT_DEFAULT	METER_CHECK>ACTIVATE_CHARGE>ACTIVATE_CHARGE>HOLD_STATE>CLOSE	2	COMPARISON_BASE_NOT_MEMORIZED_SCRIPT
PG009	BIO_RECURRENT_DEFAULT	TARGET_HANDOFF>HOLD_STATE>CLOSE	2	COMPARISON_BASE_NOT_MEMORIZED_SCRIPT
M01	SHARED_SENTENCE_MOTIF	ACTIVATE_CHARGE>METER_CHECK>MOVE_PASS	SEE_PASS477	COMPARISON_BASE_NOT_MEMORIZED_SCRIPT
M02	SHARED_SENTENCE_MOTIF	METER_CHECK>MOVE_PASS>METER_CHECK	SEE_PASS477	COMPARISON_BASE_NOT_MEMORIZED_SCRIPT
M03	SHARED_SENTENCE_MOTIF	MOVE_PASS>ACTIVATE_CHARGE>MOVE_PASS	SEE_PASS477	COMPARISON_BASE_NOT_MEMORIZED_SCRIPT
M04	SHARED_SENTENCE_MOTIF	METER_CHECK>MOVE_PASS	SEE_PASS477	COMPARISON_BASE_NOT_MEMORIZED_SCRIPT
M05	SHARED_SENTENCE_MOTIF	METER_CHECK>HOLD_STATE	SEE_PASS477	COMPARISON_BASE_NOT_MEMORIZED_SCRIPT
M06	SHARED_SENTENCE_MOTIF	MOVE_PASS>METER_CHECK	SEE_PASS477	COMPARISON_BASE_NOT_MEMORIZED_SCRIPT
M07	SHARED_SENTENCE_MOTIF	MOVE_PASS>ACTIVATE_CHARGE	SEE_PASS477	COMPARISON_BASE_NOT_MEMORIZED_SCRIPT
M08	SHARED_SENTENCE_MOTIF	ACTIVATE_CHARGE>METER_CHECK	SEE_PASS477	COMPARISON_BASE_NOT_MEMORIZED_SCRIPT
M09	SHARED_SENTENCE_MOTIF	TARGET_HANDOFF>METER_CHECK	SEE_PASS477	COMPARISON_BASE_NOT_MEMORIZED_SCRIPT
