decision_no	event_id	statement_id	record	page	decision_type	selected_value
1	E001	H1-S001	H1	f10r	RESET_VISIBLE_OWNER	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB
2	E008	H1-S001	H1	f10r	ENTER_ALLOGRAPH_BLOCK	AB01
3	E011	H1-S002	H1	f10r	ENTER_ALLOGRAPH_BLOCK	AB02
4	E015	H2-S001	H2	f10r	RESET_VISIBLE_OWNER	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB
5	E020	H2-S001	H2	f10r	ENTER_ALLOGRAPH_BLOCK	AB03
6	E024	H2-S002	H2	f10r	ENTER_ALLOGRAPH_BLOCK	AB04
7	E028	H2-S002	H2	f10r	ENTER_ALLOGRAPH_BLOCK	AB05
8	E031	H2-S002	H2	f10r	ENTER_ALLOGRAPH_BLOCK	AB06
9	E033	H2-S003	H2	f10r	ENTER_ALLOGRAPH_BLOCK	AB07
10	E037	H2-S003	H2	f10r	ENTER_ALLOGRAPH_BLOCK	AB08
11	E039	H3-S001	H3	f11r	RESET_VISIBLE_OWNER	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT
12	E044	H3-S001	H3	f11r	ENTER_ALLOGRAPH_BLOCK	AB09
13	E050	H3-S003	H3	f11r	ENTER_ALLOGRAPH_BLOCK	AB10
14	E055	H3-S004	H3	f11r	ENTER_ALLOGRAPH_BLOCK	AB11
15	E056	H4-S001	H4	f55v	RESET_VISIBLE_OWNER	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT
16	E057	H4-S001	H4	f55v	ENTER_ALLOGRAPH_BLOCK	AB12
17	E068	H4-S004	H4	f55v	ENTER_ALLOGRAPH_BLOCK	AB13
18	E074	H5-S001	H5	f56r	RESET_VISIBLE_OWNER	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB
19	E083	H5-S002	H5	f56r	ENTER_ALLOGRAPH_BLOCK	AB14
20	E095	H5-S005	H5	f56r	ENTER_ALLOGRAPH_BLOCK	AB15
21	E101	B1-S001	B1	f81v	RESET_VISIBLE_OWNER	B1_SHARED_TWO_ROW_POOL
22	E102	B1-S002	B1	f81v	ENTER_ALLOGRAPH_BLOCK	AB16
23	E109	B1-S002	B1	f81v	ENTER_ALLOGRAPH_BLOCK	AB17
24	E121	B1-S003	B1	f81v	ENTER_ALLOGRAPH_BLOCK	AB18
25	E128	B1-S006	B1	f81v	ENTER_ALLOGRAPH_BLOCK	AB19
26	E142	B1-S012	B1	f81v	ENTER_ALLOGRAPH_BLOCK	AB20
27	E148	B1-S014	B1	f81v	ENTER_ALLOGRAPH_BLOCK	AB21
28	E153	B1-S016	B1	f81v	ENTER_ALLOGRAPH_BLOCK	AB22
29	E163	B1-S019	B1	f81v	ENTER_ALLOGRAPH_BLOCK	AB23
30	E166	B1-S021	B1	f81v	ENTER_ALLOGRAPH_BLOCK	AB24
31	E167	B2-S001	B2	f82r	RESET_VISIBLE_OWNER	B2_UPPER_PAIRED_BASINS_AND_CYLINDER
32	E167	B2-S001	B2	f82r	ENTER_ALLOGRAPH_BLOCK	AB25
33	E170	B2-S003	B2	f82r	ENTER_ALLOGRAPH_BLOCK	AB26
34	E189	B2-S007	B2	f82r	RESET_VISIBLE_OWNER	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE
35	E190	B2-S008	B2	f82r	ENTER_ALLOGRAPH_BLOCK	AB27
36	E198	B2-S011	B2	f82r	RESET_VISIBLE_OWNER	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION
37	E198	B2-S011	B2	f82r	ENTER_ALLOGRAPH_BLOCK	AB28
38	E203	B2-S012	B2	f82r	RESET_VISIBLE_OWNER	B2_LOWER_GREEN_MULTI_FIGURE_POOL
39	E212	B2-S015	B2	f82r	RESET_VISIBLE_OWNER	B2_LOWER_POOL_EDGE_STATIONS
40	E214	B2-S016	B2	f82r	ENTER_ALLOGRAPH_BLOCK	AB29
41	E217	B2-S016	B2	f82r	ENTER_ALLOGRAPH_BLOCK	AB30
42	E229	B3-S001	B3	f83r	RESET_VISIBLE_OWNER	B3_UPPER_MARGIN_OPEN_FAN_STATION
43	E238	B3-S004	B3	f83r	ENTER_ALLOGRAPH_BLOCK	AB31
44	E239	B3-S005	B3	f83r	RESET_VISIBLE_OWNER	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION
45	E242	B3-S006	B3	f83r	ENTER_ALLOGRAPH_BLOCK	AB32
46	E248	B3-S010	B3	f83r	RESET_VISIBLE_OWNER	B3_LOWER_MARGIN_BASKET_VESSEL_STATION
47	E254	B3-S012	B3	f83r	ENTER_ALLOGRAPH_BLOCK	AB33
48	E257	B3-S013	B3	f83r	ENTER_ALLOGRAPH_BLOCK	AB34
49	E264	B3-S016	B3	f83r	RESET_VISIBLE_OWNER	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED
50	E264	B3-S016	B3	f83r	ENTER_ALLOGRAPH_BLOCK	AB35
51	E271	B3-S021	B3	f83r	ENTER_ALLOGRAPH_BLOCK	AB36
52	E278	B3-S021	B3	f83r	ENTER_ALLOGRAPH_BLOCK	AB37
53	E283	B3-S024	B3	f83r	ENTER_ALLOGRAPH_BLOCK	AB38
54	E291	B3-S026	B3	f83r	RESET_VISIBLE_OWNER	B3_MAIN_ARCH_LINKED_PAIR
55	E291	B3-S026	B3	f83r	ENTER_ALLOGRAPH_BLOCK	AB39
56	E299	B3-S030	B3	f83r	ENTER_ALLOGRAPH_BLOCK	AB40
57	E309	B3-S034	B3	f83r	ENTER_ALLOGRAPH_BLOCK	AB41
58	E315	B4-S001	B4	f83r	RESET_VISIBLE_OWNER	B4_MAIN_ARCH_LINKED_PAIR
59	E320	B4-S003	B4	f83r	ENTER_ALLOGRAPH_BLOCK	AB42
60	E324	B4-S003	B4	f83r	ENTER_ALLOGRAPH_BLOCK	AB43
61	E338	B4-S011	B4	f83r	RESET_VISIBLE_OWNER	B4_MAIN_LEFT_OPEN_FRINGE_STATION
62	E341	B4-S011	B4	f83r	ENTER_ALLOGRAPH_BLOCK	AB44
63	E348	B4-S014	B4	f83r	ENTER_ALLOGRAPH_BLOCK	AB45
64	E353	B4-S015	B4	f83r	ENTER_ALLOGRAPH_BLOCK	AB46
65	E356	B4-S015	B4	f83r	RESET_VISIBLE_OWNER	B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION
66	E358	B4-S016	B4	f83r	ENTER_ALLOGRAPH_BLOCK	AB47
67	E362	B5-S001	B5	f83r	RESET_VISIBLE_OWNER	B5_LEFT_OPEN_FRINGE_STATION
68	E366	B5-S003	B5	f83r	ENTER_ALLOGRAPH_BLOCK	AB48
69	E369	B5-S003	B5	f83r	ENTER_ALLOGRAPH_BLOCK	AB49
70	E373	B6-S001	B6	f83r	RESET_VISIBLE_OWNER	B6_RIGHT_S_RUN_MULTIPORT_STATION
71	E377	B6-S001	B6	f83r	ENTER_ALLOGRAPH_BLOCK	AB50
