statement_id	record	page	events	actual_signature	nearest_base_id	nearest_base_signature	edit_distance	edit_script	fit_class	teach_as_program	workshop_reading	same_edit_recipe_count	reusable_edit_recipe
H1-S001	H1	f10r	10	SOURCE_DRAW>ACTIVATE_CHARGE>SOURCE_DRAW>ACTIVATE_CHARGE>TARGET_HANDOFF>SOURCE_DRAW>SOURCE_DRAW>CONTINUE_USE>METER_CHECK>ACTIVATE_CHARGE	M01	ACTIVATE_CHARGE>METER_CHECK>MOVE_PASS	8	INS@1:SOURCE_DRAW|INS@1:ACTIVATE_CHARGE|INS@1:SOURCE_DRAW|INS@2:TARGET_HANDOFF|INS@2:SOURCE_DRAW|INS@2:SOURCE_DRAW|INS@2:CONTINUE_USE|SUB@3:MOVE_PASS>ACTIVATE_CHARGE	LONG_LOCAL_CHAIN	NO	EMERGENT_CARD_BY_CARD_PATH	1	NO
H1-S002	H1	f10r	4	ACTIVATE_CHARGE>SOURCE_DRAW>CONTINUE_USE>HOLD_STATE	M01	ACTIVATE_CHARGE>METER_CHECK>MOVE_PASS	3	INS@2:SOURCE_DRAW|SUB@2:METER_CHECK>CONTINUE_USE|SUB@3:MOVE_PASS>HOLD_STATE	SMALL_LOCAL_VARIATION	NO	EMERGENT_CARD_BY_CARD_PATH	1	NO
H2-S001	H2	f10r	9	SOURCE_DRAW>HOLD_STATE>ACTIVATE_CHARGE>METER_CHECK>CONTINUE_USE>MOVE_PASS>CONTINUE_USE>METER_CHECK>TARGET_HANDOFF	M01	ACTIVATE_CHARGE>METER_CHECK>MOVE_PASS	6	INS@1:SOURCE_DRAW|INS@1:HOLD_STATE|INS@3:CONTINUE_USE|INS@4:CONTINUE_USE|INS@4:METER_CHECK|INS@4:TARGET_HANDOFF	LONG_LOCAL_CHAIN	NO	EMERGENT_CARD_BY_CARD_PATH	1	NO
H2-S002	H2	f10r	8	ACTIVATE_CHARGE>ACTIVATE_CHARGE>CONTINUE_USE>CONTINUE_USE>ACTIVATE_CHARGE>CONTINUE_USE>METER_CHECK>SOURCE_DRAW	M01	ACTIVATE_CHARGE>METER_CHECK>MOVE_PASS	6	INS@1:ACTIVATE_CHARGE|INS@1:ACTIVATE_CHARGE|INS@1:CONTINUE_USE|INS@1:CONTINUE_USE|INS@2:CONTINUE_USE|SUB@3:MOVE_PASS>SOURCE_DRAW	LONG_LOCAL_CHAIN	NO	EMERGENT_CARD_BY_CARD_PATH	1	NO
H2-S003	H2	f10r	7	ACTIVATE_CHARGE>ACTIVATE_CHARGE>ACTIVATE_CHARGE>CONTINUE_USE>METER_CHECK>CONTINUE_USE>SOURCE_DRAW	M01	ACTIVATE_CHARGE>METER_CHECK>MOVE_PASS	5	INS@1:ACTIVATE_CHARGE|INS@1:ACTIVATE_CHARGE|INS@2:CONTINUE_USE|INS@3:CONTINUE_USE|SUB@3:MOVE_PASS>SOURCE_DRAW	LONG_LOCAL_CHAIN	NO	EMERGENT_CARD_BY_CARD_PATH	1	NO
H3-S001	H3	f11r	7	HOLD_STATE>TARGET_HANDOFF>SOURCE_DRAW>METER_CHECK>MOVE_PASS>HOLD_STATE>SOURCE_DRAW>CLOSE	PG005	HOLD_STATE>HOLD_STATE>CLOSE	5	INS@2:TARGET_HANDOFF|INS@2:SOURCE_DRAW|INS@2:METER_CHECK|INS@2:MOVE_PASS|INS@3:SOURCE_DRAW	LONG_LOCAL_CHAIN	NO	EMERGENT_CARD_BY_CARD_PATH	1	NO
H3-S002	H3	f11r	1	HOLD_STATE	M05	METER_CHECK>HOLD_STATE	1	DEL@1:METER_CHECK	SMALL_LOCAL_VARIATION	NO	EMERGENT_CARD_BY_CARD_PATH	1	NO
H3-S003	H3	f11r	5	CONTINUE_USE>CONTINUE_USE>ACTIVATE_CHARGE>CONTINUE_USE>METER_CHECK	M08	ACTIVATE_CHARGE>METER_CHECK	3	INS@1:CONTINUE_USE|INS@1:CONTINUE_USE|INS@2:CONTINUE_USE	SMALL_LOCAL_VARIATION	NO	EMERGENT_CARD_BY_CARD_PATH	1	NO
H3-S004	H3	f11r	4	ACTIVATE_CHARGE>ACTIVATE_CHARGE>HOLD_STATE>CONTINUE_USE	PG006	ACTIVATE_CHARGE>ACTIVATE_CHARGE>HOLD_STATE>CLOSE	1	SUB@4:CLOSE>CONTINUE_USE	SMALL_LOCAL_VARIATION	NO	EMERGENT_CARD_BY_CARD_PATH	1	NO
H4-S001	H4	f55v	5	METER_CHECK>METER_CHECK>ACTIVATE_CHARGE>ACTIVATE_CHARGE>CONTINUE_USE>CLOSE	PG008	METER_CHECK>ACTIVATE_CHARGE>ACTIVATE_CHARGE>HOLD_STATE>CLOSE	2	INS@1:METER_CHECK|SUB@4:HOLD_STATE>CONTINUE_USE	SMALL_LOCAL_VARIATION	NO	EMERGENT_CARD_BY_CARD_PATH	1	NO
