unified_order	section	page	unit_id	source_id	visible_surface	atomic_or_local_value_de	page_job	complete_workshop_expansion_de
1	PROSE	f10r	H1	E001	dchey	Grundteil	J1	Nimm den Grundteil der Bildpflanze, bereite einen Anteil im Gefaess vor, giesse Arbeitsfluessigkeit zu und setze den Blueten- oder Folgeteil bis zum Sollmass ein.
2	PROSE	f10r	H1	E002	cthoor	Vorbereitung	J1	Nimm den Grundteil der Bildpflanze, bereite einen Anteil im Gefaess vor, giesse Arbeitsfluessigkeit zu und setze den Blueten- oder Folgeteil bis zum Sollmass ein.
3	PROSE	f10r	H1	E003	char	davon	J1	Nimm den Grundteil der Bildpflanze, bereite einen Anteil im Gefaess vor, giesse Arbeitsfluessigkeit zu und setze den Blueten- oder Folgeteil bis zum Sollmass ein.
4	PROSE	f10r	H1	E004	chty	Anteil	J1	Nimm den Grundteil der Bildpflanze, bereite einen Anteil im Gefaess vor, giesse Arbeitsfluessigkeit zu und setze den Blueten- oder Folgeteil bis zum Sollmass ein.
5	PROSE	f10r	H1	E005	os	Aufnahmegefäß	J1	Nimm den Grundteil der Bildpflanze, bereite einen Anteil im Gefaess vor, giesse Arbeitsfluessigkeit zu und setze den Blueten- oder Folgeteil bis zum Sollmass ein.
6	PROSE	f10r	H1	E006	chair	Zuguss	J1	Nimm den Grundteil der Bildpflanze, bereite einen Anteil im Gefaess vor, giesse Arbeitsfluessigkeit zu und setze den Blueten- oder Folgeteil bis zum Sollmass ein.
7	PROSE	f10r	H1	E007	otytchol	Folgeteil	J1	Nimm den Grundteil der Bildpflanze, bereite einen Anteil im Gefaess vor, giesse Arbeitsfluessigkeit zu und setze den Blueten- oder Folgeteil bis zum Sollmass ein.
8	PROSE	f10r	H1	E008	oky	einsetzen	J1	Nimm den Grundteil der Bildpflanze, bereite einen Anteil im Gefaess vor, giesse Arbeitsfluessigkeit zu und setze den Blueten- oder Folgeteil bis zum Sollmass ein.
9	PROSE	f10r	H1	E009	daiin	Sollmaß	J1	Nimm den Grundteil der Bildpflanze, bereite einen Anteil im Gefaess vor, giesse Arbeitsfluessigkeit zu und setze den Blueten- oder Folgeteil bis zum Sollmass ein.
10	PROSE	f10r	H1	E010	etyd	Kurzteil	J1	Nimm den Grundteil der Bildpflanze, bereite einen Anteil im Gefaess vor, giesse Arbeitsfluessigkeit zu und setze den Blueten- oder Folgeteil bis zum Sollmass ein.
11	PROSE	f10r	H1	E011	qokchy	weiterbearbeiten	J1	Bearbeite diese erste Charge weiter und halte den fertigen Grundauszug bereit.
12	PROSE	f10r	H1	E012	qotchol	Weitergang	J1	Bearbeite diese erste Charge weiter und halte den fertigen Grundauszug bereit.
13	PROSE	f10r	H1	E013	chol	weiter	J1	Bearbeite diese erste Charge weiter und halte den fertigen Grundauszug bereit.
14	PROSE	f10r	H1	E014	cthy	bereit	J1	Bearbeite diese erste Charge weiter und halte den fertigen Grundauszug bereit.
15	PROSE	f10r	H2	E015	ycheor	Auszugsansatz	J1	Setze aus dem Grundauszug die naechste Charge an und bringe sie auf das vorgeschriebene Mass.
16	PROSE	f10r	H2	E016	cthy	bereit	J1	Setze aus dem Grundauszug die naechste Charge an und bringe sie auf das vorgeschriebene Mass.
17	PROSE	f10r	H2	E017	chor	Ansatz	J1	Setze aus dem Grundauszug die naechste Charge an und bringe sie auf das vorgeschriebene Mass.
18	PROSE	f10r	H2	E018	cthaiin	Sollvorbereitung	J1	Setze aus dem Grundauszug die naechste Charge an und bringe sie auf das vorgeschriebene Mass.
19	PROSE	f10r	H2	E019	qoctholy	Folgeposten	J1	Setze aus dem Grundauszug die naechste Charge an und bringe sie auf das vorgeschriebene Mass.
20	PROSE	f10r	H2	E020	dy	dies	J1	Setze aus dem Grundauszug die naechste Charge an und bringe sie auf das vorgeschriebene Mass.
21	PROSE	f10r	H2	E021	chy	dies	J1	Setze aus dem Grundauszug die naechste Charge an und bringe sie auf das vorgeschriebene Mass.
22	PROSE	f10r	H2	E022	taiin	Sollmaß	J1	Setze aus dem Grundauszug die naechste Charge an und bringe sie auf das vorgeschriebene Mass.
23	PROSE	f10r	H2	E023	shy	dies	J1	Setze aus dem Grundauszug die naechste Charge an und bringe sie auf das vorgeschriebene Mass.
24	PROSE	f10r	H2	E024	qotchor	Folgeansatz	J1	Fuehre denselben Ansatz weiter, entnimm davon eine Sollmenge und behalte die Chargenfolge bei.
25	PROSE	f10r	H2	E025	chor	Ansatz	J1	Fuehre denselben Ansatz weiter, entnimm davon eine Sollmenge und behalte die Chargenfolge bei.
26	PROSE	f10r	H2	E026	otol	Fortgang	J1	Fuehre denselben Ansatz weiter, entnimm davon eine Sollmenge und behalte die Chargenfolge bei.
27	PROSE	f10r	H2	E027	chol	weiter	J1	Fuehre denselben Ansatz weiter, entnimm davon eine Sollmenge und behalte die Chargenfolge bei.
28	PROSE	f10r	H2	E028	cholor	derselbe Ansatz	J1	Fuehre denselben Ansatz weiter, entnimm davon eine Sollmenge und behalte die Chargenfolge bei.
29	PROSE	f10r	H2	E029	chol	weiter	J1	Fuehre denselben Ansatz weiter, entnimm davon eine Sollmenge und behalte die Chargenfolge bei.
30	PROSE	f10r	H2	E030	daiin	Sollmaß	J1	Fuehre denselben Ansatz weiter, entnimm davon eine Sollmenge und behalte die Chargenfolge bei.
31	PROSE	f10r	H2	E031	dar	davon	J1	Fuehre denselben Ansatz weiter, entnimm davon eine Sollmenge und behalte die Chargenfolge bei.
32	PROSE	f10r	H2	E032	oykchor	Arbeitsansatz	J1	Fuehre den Arbeitsansatz durch die naechste Stufe und gib die vorgeschriebene Menge zu.
