unit_id	page	section	group_count	product_or_job	complete_unit_reading_de
H1	f10r	HERBAL	14	J1	Grundteil und Blueten-/Folgeteil im Gefaess zum ersten Grundauszug ansetzen
H2	f10r	HERBAL	24	J1	mehrere Folgechargen aus demselben Grundauszug auf Sollmass weiterfuehren
H3	f11r	HERBAL	17	J2	adstringierendes Waschkraut auskochen ausdruecken absetzen nachseihen und als Klarauszug bereitstellen
H4	f55v	HERBAL	18	J3	Pflanzenansatz in zwei Portionen kuehlen verwahren und spaeter dosiert weiterverwenden
H5	f56r	HERBAL	27	J4	Wirkzusatz bemessen wiederholt einsetzen und zu den Zielanwendungen weiterfuehren
B1	f81v	BIO	66	J1	frischen Grundauszug im gemeinsamen Becken bemessen temperieren mischen baden und nachspuelen
B2	f82r	BIO	62	J2	Klarauszug durch mehrere Teilbad- Wasch- und Randstationen fuehren
B3	f83r	BIO	86	J3	Vorratsansatz portionsweise in Randgefaesse ueberfuehren waermen mischen und bereitstellen
B4	f83r	BIO	47	J2+J4	Klarauszug und Wirkzusatz durch Einlage Doppelpass Unterlauf und Zielstation fuehren
B5	f83r	BIO	11	J3	verwahrte Restmischung abziehen kurz erwaermen und an zweiter Oeffnung mischen
B6	f83r	BIO	9	J4	fertigen Wirkzusatz ohne Kochen durch Tuch geben bemessen und am Ziel einsetzen
A1	f67r2	ASTRO	190	ELIGIBILITY	mit zwei getrennten Raedern Herstellung und Anwendung auf passende Bedingungen pruefen
A2	f68r1	ASTRO	65	OBSERVATION	im mehrpaneeligen Atlas die aktuelle lokale Himmelsadresse finden
A3	f69v	ASTRO	140	EXECUTION	Arbeitsfall Feuchte/Wetter und Licht/Waerme in drei getrennten Raedern einstellen
