lesson	skill	master_instruction_de	apprentice_test_de
1	SEITENKLASSE	Pflanzenbild Figurenstation oder Himmelsinstrument erkennen	f11r f82r f68r1 korrekt sortieren
2	BILDBESITZER	kleinsten sichtbaren Besitzer zeigen bevor Text gelesen wird	f83r lokale Stationen nicht vermischen
3	GANZKARTE	laengste gelernte Karte vor einer Stammzerlegung pruefen	MC119 Klarauszug als Ganzwert erkennen
4	KERNGRAMMATIK	Menge Quelle Ziel Folge Grad und laufenden Posten einsetzen	Sollmass Anteil dorthin Folge kurz/lang unterscheiden
5	FELD UND SATZ	Feldschluss von Zeilenende und offenem Satz trennen	einen Satz ueber die naechste physische Zeile weiterlesen
6	HERBAL_JOBS	Grundauszug Klarauszug Vorrat und Wirkzusatz unterscheiden	vier Pflanzenbilder dem richtigen Job zuordnen
7	BIO_STATIONEN	bei sichtbarem Stationswechsel Stoff Ziel und Richtung loeschen	B2 an vier Resetstellen neu beginnen
8	LIEFERUNG	Produkt aus dem passenden Herbalartikel als stillen Stationsstoff einsetzen	f11r Traeger und f56r Zusatz in B4 kombinieren
9	ASTRO_ATLAS	f68 nur als lokale Beobachtungsadresse verwenden	keine Reihenfolge aus 28 Sternen erfinden
10	ASTRO_PRUEFUNG	f67-Raeder getrennt fuer Herstellung und Anwendung befragen	keine 12x12-Matrix bauen
11	ASTRO_REGELN	f69-Raeder getrennt fuer Arbeitsfall Feuchte und Licht verwenden	keine gemeinsame Kreisrichtung erfinden
12	KORREKTUR	Karte Besitzer Feldschluss und lokalen Namensraum rueckwaerts kontrollieren	falschen Besitzer streichen und aus Meisterexemplar neu kopieren
