element_key	held_collection	true_relation	source_prediction	role_prediction	role_probability	role_added_log2_true_probability
COREMA:b6:b6.30:10	b6	D1	D1	D1	0.014650882235461878	-0.7180795780843894
COREMA:w1:w1.90:12	w1	D1	D1	D2	0.012143150040892572	-0.18792020547719018
COREMA:bs1:bs1.85:9	bs1	D4	NONE	D1	0.010794351864897125	-0.0990866490783767
COREMA:br1:br1.26:36	br1	D6	NONE	D1	0.0014324824439501576	0.25847115065802445
COREMA:gr1:gr1.228:33	gr1	D2	NONE	D1	0.018741633140978008	0.267144360277831
COREMA:bs1:bs1.165:20	bs1	D1	NONE	D1	0.009099818616529488	0.30713702119972464
COREMA:gr1:gr1.77:12	gr1	D2	D1	D1	0.020147573729295584	0.38813950860661545
COREMA:br1:br1.40:6	br1	D1	NONE	D1	0.002662906390019926	0.6050813123968635
COREMA:b4:b4.27:37	b4	D1	NONE	D1	0.014811404304336319	0.6474222449003328
COREMA:gr1:gr1.48:5	gr1	D1	NONE	D1	0.0016620963476021973	0.6684748668786628
COREMA:w1:w1.266:8	w1	D1	NONE	D1	0.022376619361703126	0.7487098795883891
COREMA:br1:br1.28:14	br1	D1	NONE	D1	0.01714782218983607	0.8262486180936585
COREMA:b4:b4.265:8	b4	D1	NONE	D1	0.019021401342542037	0.8788280658227351
COREMA:br1:br1.37.sub.1:8	br1	D1	NONE	D1	0.012419888608533412	0.9105461080356515
COREMA:bs1:bs1.84:14	bs1	D1	NONE	D1	0.005856315674771772	0.9221546621815441
COREMA:w1:w1.28:15	w1	D2	NONE	D1	0.0041130422024646075	0.9392020886901333
COREMA:b4:b4.14:54	b4	D2	NONE	D1	0.0006680367557397488	1.111366095460397
COREMA:b4:b4.27.sub.1:2	b4	D1	NONE	D1	0.003765119482896664	1.1146568187003716
COREMA:br1:br1.36:7	br1	D1	NONE	D1	0.003536763383644581	1.1789091010006976
COREMA:gr1:gr1.64:29	gr1	D1	NONE	D1	0.0073163954672960845	1.2358292222673715
COREMA:gr1:gr1.22:19	gr1	D1	NONE	D1	0.00958613032921267	1.280035743768293
COREMA:gr1:gr1.253:19	gr1	D1	NONE	D1	0.011700242166527052	1.280035743768293
COREMA:br1:br1.18:6	br1	D2	NONE	D1	0.001317444008467428	1.323631471400077
COREMA:br1:br1.34:7	br1	D2	NONE	D1	0.0030026518274818555	1.323631471400077
COREMA:gr1:gr1.228:27	gr1	D1	NONE	D1	0.006638800193942523	1.335485900575809
COREMA:bs1:bs1.230:44	bs1	D1	NONE	D1	0.003089957788012673	1.359586058735933
COREMA:br1:br1.26:6	br1	D2	NONE	D1	0.0010157472694993465	1.3897824580433575
COREMA:br1:br1.24:16	br1	D4	NONE	D1	0.0008930403142395626	1.4464980727541972
COREMA:br1:br1.41:8	br1	D1	NONE	D1	0.0029137467607997943	1.4712660897138985
COREMA:br1:br1.25:17	br1	D1	NONE	D1	0.003753831851638503	1.4735390811557092
