template_id	strict_frame	occurrence_count	record_count	page_count	register_count	recurrence_class	surface_type_count	surface_recurrence_mode	recipe_variant_count	recipe_frames	phrase_variant_count	canonical_owner_neutral_phrase_de	phrase_stable	pages	registers	record_ids	source_fragment_ids	surface_examples	claim_status
G481-ET001	CATALOGUE[DANACH · {N1} @START_FRESH_SIBLING:FORWARD_OPEN]	5	5	4	4	CROSS_REGISTER	5	MULTIPLE_SURFACES	1	CATALOGUE[OT @START_FRESH_SIBLING:FORWARD_OPEN]	1	Namenseintrag »{N1}« — Folgevermerk. Reihenfolge konkret: OT — danach Namenseintrag »{N1}«.	YES	f17r|f71v|f77r|f88v	HERBAL|CELESTIAL|BIOLOGICAL|PHARMA	G475-R001|G475-R005|G475-R087|G475-R100|G475-R105	G481-E001|G481-E007|G481-E124|G481-E139|G481-E144	oteeeon || otchody || otork || otora || otdordy	STRICT_OWNER_NEUTRAL_FRAGMENT__NO_NEW_MEANING
G481-ET002	CATALOGUE[{N1} @NONE]	1	1	1	1	SINGLETON	1	SINGLETON	1	CATALOGUE[NONE @NONE]	1	Namenseintrag »{N1}«.	YES	f17r	HERBAL	G475-R001	G481-E002	oiil	STRICT_OWNER_NEUTRAL_FRAGMENT__NO_NEW_MEANING
G481-ET003	CATALOGUE[AUSGANG @NONE]	3	3	2	1	CROSS_PAGE	2	MULTIPLE_SURFACES	1	CATALOGUE[AR @NONE]	1	Eintrag »{N1}« — Ausgangszuordnung.	YES	f71v|f72r	CELESTIAL	G475-R002|G475-R011|G475-R022	G481-E003|G481-E018|G481-E032	char || ar	STRICT_OWNER_NEUTRAL_FRAGMENT__NO_NEW_MEANING
G481-ET004	CATALOGUE[AUSGANG · {N1} @NONE]	2	2	2	2	CROSS_REGISTER	2	MULTIPLE_SURFACES	1	CATALOGUE[AR @NONE]	1	Namenseintrag »{N1}« — Ausgangszuordnung.	YES	f71v|f88v	CELESTIAL|PHARMA	G475-R002|G475-R097	G481-E004|G481-E136	arom || arody	STRICT_OWNER_NEUTRAL_FRAGMENT__NO_NEW_MEANING
G481-ET005	CATALOGUE[{N1} · ZIELORT · POSTEN @NONE]	3	3	2	1	CROSS_PAGE	3	MULTIPLE_SURFACES	1	CATALOGUE[AL+Y @NONE]	1	Namenseintrag »{N1}« — Zielzuordnung, Postenangabe.	YES	f71v|f72r	CELESTIAL	G475-R003|G475-R059|G475-R075	G481-E005|G481-E077|G481-E105	chfaly || ainaly || eeesaly	STRICT_OWNER_NEUTRAL_FRAGMENT__NO_NEW_MEANING
G481-ET006	INSTRUCTION[SETZEN · FORTSETZEN · AUSGANG @KEEP_ACTIVE_UNIT:BRIDGE_LEFT_TO_RIGHT]	1	1	1	1	SINGLETON	1	SINGLETON	1	INSTRUCTION[OK+OL+AR @KEEP_ACTIVE_UNIT:BRIDGE_LEFT_TO_RIGHT]	1	Weiter setze den Eintrag vom Ausgang. Reihenfolge konkret: OL — Setzen in Ausgang weiterführen.	YES	f71v	CELESTIAL	G475-R004	G481-E006	okolar	STRICT_OWNER_NEUTRAL_FRAGMENT__NO_NEW_MEANING
G481-ET007	INSTRUCTION[ZIELORT · NEHMEN · EINSETZEN · POSTEN @NONE]	1	1	1	1	SINGLETON	1	SINGLETON	1	INSTRUCTION[AL+CH+P+Y @NONE]	1	Nimm den Posten auf und setze den Posten ein zum Zielort.	YES	f71v	CELESTIAL	G475-R006	G481-E008	alcphy	STRICT_OWNER_NEUTRAL_FRAGMENT__NO_NEW_MEANING
G481-ET008	COORDINATE[DANACH · WERT @START_FRESH_SIBLING:FORWARD_OPEN]	2	2	2	1	CROSS_PAGE	1	SAME_SURFACE	1	COORDINATE[OT+AIIN @START_FRESH_SIBLING:FORWARD_OPEN]	1	Adressspur: danach → Wert. Reihenfolge konkret: OT — danach Wert.	YES	f71v|f72r	CELESTIAL	G475-R007|G475-R024	G481-E009|G481-E035	otaiin	STRICT_OWNER_NEUTRAL_FRAGMENT__NO_NEW_MEANING
G481-ET009	INSTRUCTION[SETZEN · AUSGANG · WERT @NONE]	1	1	1	1	SINGLETON	1	SINGLETON	1	INSTRUCTION[OK+AR+AIIN @NONE]	1	Setze den Wert vom Ausgang.	YES	f71v	CELESTIAL	G475-R008	G481-E010	okaraiin	STRICT_OWNER_NEUTRAL_FRAGMENT__NO_NEW_MEANING
G481-ET010	COORDINATE[DANACH · AUSGANG @START_FRESH_SIBLING:FORWARD_OPEN]	2	2	2	1	CROSS_PAGE	1	SAME_SURFACE	1	COORDINATE[OT+AR @START_FRESH_SIBLING:FORWARD_OPEN]	1	Adressspur: danach → Ausgang. Reihenfolge konkret: OT — danach Ausgang.	YES	f71v|f72r	CELESTIAL	G475-R009|G475-R047	G481-E011|G481-E065	otar	STRICT_OWNER_NEUTRAL_FRAGMENT__NO_NEW_MEANING
