event_fragment_id	source_event_id	record_id	bundle_id	physical_page	register	record_event_ordinal	bundle_event_ordinal	boundary_context	active_model	surface	strict_template_id	strict_occurrence_count	strict_recurrence_class	strict_frame	recipe_frame	role_shape_id	role_occurrence_count	role_recurrence_class	role_frame	owner_neutral_phrase_de	definitive_fragment_reading_de	all_fragments_have_default
G481-E001	P1003-E0079	G475-R001	G474-B001	f17r	HERBAL	1	1	RECORD_START:PAGE_START	CATALOGUE	oteeeon	G481-ET001	5	CROSS_REGISTER	CATALOGUE[DANACH · {N1} @START_FRESH_SIBLING:FORWARD_OPEN]	CATALOGUE[OT @START_FRESH_SIBLING:FORWARD_OPEN]	G481-ES001	5	CROSS_REGISTER	CATALOGUE[ORDER · NAME @START_FRESH_SIBLING:FORWARD_OPEN]	Namenseintrag »{N1}« — Folgevermerk. Reihenfolge konkret: OT — danach Namenseintrag »{N1}«.	Pflanzenname »eeeon« — Folgevermerk. Reihenfolge konkret: OT — danach Pflanze »eeeon«.	YES
G481-E002	P1003-E0080	G475-R001	G474-B001	f17r	HERBAL	2	2	WITHIN_BUNDLE	CATALOGUE	oiil	G481-ET002	1	SINGLETON	CATALOGUE[{N1} @NONE]	CATALOGUE[NONE @NONE]	G481-ES002	1	SINGLETON	CATALOGUE[NAME @NONE]	Namenseintrag »{N1}«.	Pflanzenname »oiil«.	YES
G481-E003	P1003-E0595	G475-R002	G474-B002	f71v	CELESTIAL	1	1	RECORD_START:PAGE_START	CATALOGUE	char	G481-ET003	3	CROSS_PAGE	CATALOGUE[AUSGANG @NONE]	CATALOGUE[AR @NONE]	G481-ES003	3	CROSS_PAGE	CATALOGUE[REL @NONE]	Eintrag »{N1}« — Ausgangszuordnung.	Eintrag »char« — Ausgangszuordnung.	YES
G481-E004	P1003-E0596	G475-R002	G474-B002	f71v	CELESTIAL	2	2	WITHIN_BUNDLE	CATALOGUE	arom	G481-ET004	2	CROSS_REGISTER	CATALOGUE[AUSGANG · {N1} @NONE]	CATALOGUE[AR @NONE]	G481-ES004	3	CROSS_REGISTER	CATALOGUE[REL · NAME @NONE]	Namenseintrag »{N1}« — Ausgangszuordnung.	Sternstelle »om« — Ausgangszuordnung.	YES
G481-E005	P1003-E0597	G475-R003	G474-B003	f71v	CELESTIAL	1	1	RECORD_START:UNMARKED_NEW_LOCUS	CATALOGUE	chfaly	G481-ET005	3	CROSS_PAGE	CATALOGUE[{N1} · ZIELORT · POSTEN @NONE]	CATALOGUE[AL+Y @NONE]	G481-ES005	5	CROSS_PAGE	CATALOGUE[NAME · REL · ARG @NONE]	Namenseintrag »{N1}« — Zielzuordnung, Postenangabe.	Sternstelle »chf« — Zielzuordnung, Postenangabe.	YES
G481-E006	P1003-E0598	G475-R004	G474-B004	f71v	CELESTIAL	1	1	RECORD_START:UNMARKED_NEW_LOCUS_WITH_INTERNAL_CONTROL	INSTRUCTION	okolar	G481-ET006	1	SINGLETON	INSTRUCTION[SETZEN · FORTSETZEN · AUSGANG @KEEP_ACTIVE_UNIT:BRIDGE_LEFT_TO_RIGHT]	INSTRUCTION[OK+OL+AR @KEEP_ACTIVE_UNIT:BRIDGE_LEFT_TO_RIGHT]	G481-ES006	1	SINGLETON	INSTRUCTION[ACTION · ORDER · REL @KEEP_ACTIVE_UNIT:BRIDGE_LEFT_TO_RIGHT]	Weiter setze den Eintrag vom Ausgang. Reihenfolge konkret: OL — Setzen in Ausgang weiterführen.	Weiter setze den Eintrag von der Ausgangsposition. Reihenfolge konkret: OL — Setzen in Ausgang weiterführen.	YES
G481-E007	P1003-E0599	G475-R005	G474-B005	f71v	CELESTIAL	1	1	RECORD_START:EXPLICIT_NEXT_SIBLING_OT	CATALOGUE	otchody	G481-ET001	5	CROSS_REGISTER	CATALOGUE[DANACH · {N1} @START_FRESH_SIBLING:FORWARD_OPEN]	CATALOGUE[OT @START_FRESH_SIBLING:FORWARD_OPEN]	G481-ES001	5	CROSS_REGISTER	CATALOGUE[ORDER · NAME @START_FRESH_SIBLING:FORWARD_OPEN]	Namenseintrag »{N1}« — Folgevermerk. Reihenfolge konkret: OT — danach Namenseintrag »{N1}«.	Sternstelle »chody« — Folgevermerk. Reihenfolge konkret: OT — danach Sternstelle »chody«.	YES
G481-E008	P1003-E0600	G475-R006	G474-B006	f71v	CELESTIAL	1	1	RECORD_START:UNMARKED_NEW_LOCUS	INSTRUCTION	alcphy	G481-ET007	1	SINGLETON	INSTRUCTION[ZIELORT · NEHMEN · EINSETZEN · POSTEN @NONE]	INSTRUCTION[AL+CH+P+Y @NONE]	G481-ES007	1	SINGLETON	INSTRUCTION[REL · ACTION · ACTION · ARG @NONE]	Nimm den Posten auf und setze den Posten ein zum Zielort.	Nimm den Positionsposten auf und setze den Positionsposten ein zur Zielposition.	YES
G481-E009	P1003-E0601	G475-R007	G474-B007	f71v	CELESTIAL	1	1	RECORD_START:EXPLICIT_NEXT_SIBLING_OT	COORDINATE	otaiin	G481-ET008	2	CROSS_PAGE	COORDINATE[DANACH · WERT @START_FRESH_SIBLING:FORWARD_OPEN]	COORDINATE[OT+AIIN @START_FRESH_SIBLING:FORWARD_OPEN]	G481-ES008	3	CROSS_PAGE	COORDINATE[ORDER · ARG @START_FRESH_SIBLING:FORWARD_OPEN]	Adressspur: danach → Wert. Reihenfolge konkret: OT — danach Wert.	Adressspur: danach → Positionswert. Reihenfolge konkret: OT — danach Wert.	YES
G481-E010	P1003-E0602	G475-R008	G474-B008	f71v	CELESTIAL	1	1	RECORD_START:UNMARKED_NEW_LOCUS	INSTRUCTION	okaraiin	G481-ET009	1	SINGLETON	INSTRUCTION[SETZEN · AUSGANG · WERT @NONE]	INSTRUCTION[OK+AR+AIIN @NONE]	G481-ES009	3	CROSS_PAGE	INSTRUCTION[ACTION · REL · ARG @NONE]	Setze den Wert vom Ausgang.	Setze den Positionswert von der Ausgangsposition.	YES
