pair_fragment_id	record_id	physical_page	register	pair_ordinal_in_record	left_source_event_id	right_source_event_id	left_bundle_id	right_bundle_id	pair_boundary	surface_pair	strict_template_id	strict_occurrence_count	strict_recurrence_class	strict_frame	recipe_frame	role_shape_id	role_occurrence_count	role_recurrence_class	role_frame	owner_neutral_phrase_de	definitive_fragment_reading_de	all_fragments_have_default
G481-P001	G475-R001	f17r	HERBAL	1	P1003-E0079	P1003-E0080	G474-B001	G474-B001	SAME_BUNDLE	oteeeon|oiil	G481-PT001	1	SINGLETON	CATALOGUE[DANACH · {N1} @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> CATALOGUE[{N2} @NONE]	CATALOGUE[OT @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> CATALOGUE[NONE @NONE]	G481-PS001	1	SINGLETON	CATALOGUE[ORDER · NAME @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> CATALOGUE[NAME @NONE]	Namenseintrag »{N1}« — Folgevermerk. Reihenfolge konkret: OT — danach Namenseintrag »{N1}«. Dann: Namenseintrag »{N2}«.	Pflanzenname »eeeon« — Folgevermerk. Reihenfolge konkret: OT — danach Pflanze »eeeon«. Dann: Pflanzenname »oiil«.	YES
G481-P002	G475-R002	f71v	CELESTIAL	1	P1003-E0595	P1003-E0596	G474-B002	G474-B002	SAME_BUNDLE	char|arom	G481-PT002	1	SINGLETON	CATALOGUE[AUSGANG @NONE] <SAME_BUNDLE> CATALOGUE[AUSGANG · {N1} @NONE]	CATALOGUE[AR @NONE] <SAME_BUNDLE> CATALOGUE[AR @NONE]	G481-PS002	2	CROSS_PAGE	CATALOGUE[REL @NONE] <SAME_BUNDLE> CATALOGUE[REL · NAME @NONE]	Eintrag »{N1}« — Ausgangszuordnung. Dann: Namenseintrag »{N2}« — Ausgangszuordnung.	Eintrag »char« — Ausgangszuordnung. Dann: Sternstelle »om« — Ausgangszuordnung.	YES
G481-P003	G475-R009	f71v	CELESTIAL	1	P1003-E0603	P1003-E0604	G474-B009	G474-B009	SAME_BUNDLE	otar|ar	G481-PT003	1	SINGLETON	COORDINATE[DANACH · AUSGANG @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> COORDINATE[AUSGANG @NONE]	COORDINATE[OT+AR @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> COORDINATE[AR @NONE]	G481-PS003	1	SINGLETON	COORDINATE[ORDER · REL @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> COORDINATE[REL @NONE]	Adressspur: danach → Ausgang. Reihenfolge konkret: OT — danach Ausgang. Dann: Adressspur: Ausgang.	Adressspur: danach → Ausgangsposition. Reihenfolge konkret: OT — danach Ausgang. Dann: Adressspur: Ausgangsposition.	YES
G481-P004	G475-R009	f71v	CELESTIAL	2	P1003-E0604	P1003-E0605	G474-B009	G474-B009	SAME_BUNDLE	ar|aly	G481-PT004	1	SINGLETON	COORDINATE[AUSGANG @NONE] <SAME_BUNDLE> COORDINATE[ZIELORT · POSTEN @NONE]	COORDINATE[AR @NONE] <SAME_BUNDLE> COORDINATE[AL+Y @NONE]	G481-PS004	2	CROSS_PAGE	COORDINATE[REL @NONE] <SAME_BUNDLE> COORDINATE[REL · ARG @NONE]	Adressspur: Ausgang. Dann: Adressspur: Zielort → Posten.	Adressspur: Ausgangsposition. Dann: Adressspur: Zielposition → Positionsposten.	YES
G481-P005	G475-R010	f71v	CELESTIAL	1	P1003-E0606	P1003-E0607	G474-B010	G474-B010	SAME_BUNDLE	opalar|am	G481-PT005	1	SINGLETON	COORDINATE[{N1} · ZIELORT · AUSGANG @NONE] <SAME_BUNDLE> COORDINATE[HIER @NONE]	COORDINATE[AL+AR @NONE] <SAME_BUNDLE> COORDINATE[AM_ADDR @NONE]	G481-PS005	1	SINGLETON	COORDINATE[NAME · REL · REL @NONE] <SAME_BUNDLE> COORDINATE[MOD @NONE]	Adressspur: Namenseintrag »{N1}« → Zielort → Ausgang. Dann: Adressspur: hier.	Adressspur: Sternstelle »op« → Zielposition → Ausgangsposition. Dann: Adressspur: hier.	YES
G481-P006	G475-R010	f71v	CELESTIAL	2	P1003-E0607	P1003-E0608	G474-B010	G474-B010	SAME_BUNDLE	am|dan	G481-PT006	1	SINGLETON	COORDINATE[HIER @NONE] <SAME_BUNDLE> COORDINATE[ANTEIL @NONE]	COORDINATE[AM_ADDR @NONE] <SAME_BUNDLE> COORDINATE[AIN @NONE]	G481-PS006	1	SINGLETON	COORDINATE[MOD @NONE] <SAME_BUNDLE> COORDINATE[ARG @NONE]	Adressspur: hier. Dann: Adressspur: Anteil.	Adressspur: hier. Dann: Adressspur: Sektoranteil.	YES
G481-P007	G475-R011	f71v	CELESTIAL	1	P1003-E0609	P1003-E0610	G474-B011	G474-B011	SAME_BUNDLE	opalor|ar	G481-PT007	1	SINGLETON	CATALOGUE[{N1} · ZIELORT · EINHEIT @NONE] <SAME_BUNDLE> CATALOGUE[AUSGANG @NONE]	CATALOGUE[AL+OR @NONE] <SAME_BUNDLE> CATALOGUE[AR @NONE]	G481-PS007	1	SINGLETON	CATALOGUE[NAME · REL · ARG @NONE] <SAME_BUNDLE> CATALOGUE[REL @NONE]	Namenseintrag »{N1}« — Zielzuordnung, Einheitsangabe. Dann: Eintrag »{N2}« — Ausgangszuordnung.	Sternstelle »op« — Zielzuordnung, Einheitsangabe. Dann: Eintrag »ar« — Ausgangszuordnung.	YES
G481-P008	G475-R015	f71v	CELESTIAL	1	P1003-E0644	P1003-E0645	G474-B015	G474-B015	SAME_BUNDLE	otar|shar	G481-PT008	1	SINGLETON	INSTRUCTION[DANACH · AUSGANG @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> INSTRUCTION[HALTEN · AUSGANG @NONE]	INSTRUCTION[OT+AR @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> INSTRUCTION[SH+AR @NONE]	G481-PS008	1	SINGLETON	INSTRUCTION[ORDER · REL @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> INSTRUCTION[ACTION · REL @NONE]	Danach beziehe den Eintrag vom Ausgang. Reihenfolge konkret: OT — danach Ausgang. Dann: Halte den Eintrag vom Ausgang.	Danach beziehe den Eintrag von der Ausgangsposition. Reihenfolge konkret: OT — danach Ausgang. Dann: Halte den Eintrag von der Ausgangsposition.	YES
G481-P009	G475-R019	f72r	CELESTIAL	1	P1008-E0129	P1008-E0130	G474-B019	G474-B019	SAME_BUNDLE	oaiin|ar	G481-PT009	1	SINGLETON	COORDINATE[AUSFÜHRUNG · WERT @NONE] <SAME_BUNDLE> COORDINATE[AUSGANG @NONE]	COORDINATE[O+AIIN @NONE] <SAME_BUNDLE> COORDINATE[AR @NONE]	G481-PS009	1	SINGLETON	COORDINATE[MOD · ARG @NONE] <SAME_BUNDLE> COORDINATE[REL @NONE]	Adressspur: Ausführungspunkt → Wert. Dann: Adressspur: Ausgang.	Adressspur: Ausführungspunkt → Positionswert. Dann: Adressspur: Ausgangsposition.	YES
G481-P010	G475-R019	f72r	CELESTIAL	2	P1008-E0130	P1008-E0131	G474-B019	G474-B019	SAME_BUNDLE	ar|ary	G481-PT010	1	SINGLETON	COORDINATE[AUSGANG @NONE] <SAME_BUNDLE> COORDINATE[AUSGANG · POSTEN @NONE]	COORDINATE[AR @NONE] <SAME_BUNDLE> COORDINATE[AR+Y @NONE]	G481-PS004	2	CROSS_PAGE	COORDINATE[REL @NONE] <SAME_BUNDLE> COORDINATE[REL · ARG @NONE]	Adressspur: Ausgang. Dann: Adressspur: Ausgang → Posten.	Adressspur: Ausgangsposition. Dann: Adressspur: Ausgangsposition → Positionsposten.	YES
