record_id	physical_page	register	gdt480_strict_template_id	gdt480_strict_recurrence_class	gdt480_whole_record_singleton	event_count	recurrent_strict_event_count	all_events_strict_recurrent	recurrent_role_event_count	all_events_role_recurrent	pair_count	recurrent_strict_pair_count	any_strict_pair_recurrent	recurrent_role_pair_count	any_role_pair_recurrent	decomposition_class	surface_sequence	definitive_record_reading_de
G475-R001	f17r	HERBAL	G480-T001	SINGLETON	YES	2	1	NO	1	NO	1	0	NO	0	NO	PARTIAL_STRICT_EVENT_COVERAGE	oteeeon|oiil	1. Pflanzenname »eeeon« — Folgevermerk. 2. Pflanzenname »oiil«. Reihenfolge konkret: OT — danach Pflanze »eeeon«.
G475-R002	f71v	CELESTIAL	G480-T002	SINGLETON	YES	2	2	YES	2	YES	1	0	NO	1	YES	FULL_STRICT_EVENT_COVERAGE	char|arom	1. Eintrag »char« — Ausgangszuordnung. 2. Sternstelle »om« — Ausgangszuordnung.
G475-R003	f71v	CELESTIAL	G480-T003	CROSS_PAGE	NO	1	1	YES	1	YES	0	0	NO	0	NO	FULL_STRICT_EVENT_COVERAGE	chfaly	Sternstelle »chf« — Zielzuordnung, Postenangabe.
G475-R004	f71v	CELESTIAL	G480-T004	SINGLETON	YES	1	0	NO	0	NO	0	0	NO	0	NO	SINGLETON_FRAGMENT_TAIL	okolar	Weiter setze den Eintrag von der Ausgangsposition. Reihenfolge konkret: OL — Setzen in Ausgang weiterführen.
G475-R005	f71v	CELESTIAL	G480-T005	CROSS_REGISTER	NO	1	1	YES	1	YES	0	0	NO	0	NO	FULL_STRICT_EVENT_COVERAGE	otchody	Sternstelle »chody« — Folgevermerk. Reihenfolge konkret: OT — danach Sternstelle »chody«.
G475-R006	f71v	CELESTIAL	G480-T006	SINGLETON	YES	1	0	NO	0	NO	0	0	NO	0	NO	SINGLETON_FRAGMENT_TAIL	alcphy	Nimm den Positionsposten auf und setze den Positionsposten ein zur Zielposition.
G475-R007	f71v	CELESTIAL	G480-T007	SINGLETON	YES	1	1	YES	1	YES	0	0	NO	0	NO	FULL_STRICT_EVENT_COVERAGE	otaiin	Adressspur: danach → Positionswert. Reihenfolge konkret: OT — danach Wert.
G475-R008	f71v	CELESTIAL	G480-T008	SINGLETON	YES	1	0	NO	1	YES	0	0	NO	0	NO	FULL_ROLE_EVENT_COVERAGE	okaraiin	Setze den Positionswert von der Ausgangsposition.
G475-R009	f71v	CELESTIAL	G480-T009	SINGLETON	YES	3	2	NO	3	YES	2	0	NO	1	YES	PARTIAL_STRICT_EVENT_COVERAGE	otar|ar|aly	1. Adressspur: danach → Ausgangsposition. 2. Adressspur: Ausgangsposition. 3. Adressspur: Zielposition → Positionsposten. Reihenfolge konkret: OT — danach Ausgang.
G475-R010	f71v	CELESTIAL	G480-T010	SINGLETON	YES	3	0	NO	2	NO	2	0	NO	0	NO	PARTIAL_ROLE_FRAGMENT_COVERAGE	opalar|am|dan	1. Adressspur: Sternstelle »op« → Zielposition → Ausgangsposition. 2. Adressspur: hier. 3. Adressspur: Sektoranteil.
G475-R011	f71v	CELESTIAL	G480-T011	SINGLETON	YES	2	1	NO	2	YES	1	0	NO	0	NO	PARTIAL_STRICT_EVENT_COVERAGE	opalor|ar	1. Sternstelle »op« — Zielzuordnung, Einheitsangabe. 2. Eintrag »ar« — Ausgangszuordnung.
G475-R012	f71v	CELESTIAL	G480-T012	CROSS_PAGE	NO	1	1	YES	1	YES	0	0	NO	0	NO	FULL_STRICT_EVENT_COVERAGE	ofaom	Sternstelle »aom« — Ausführungsvermerk, Hier-Vermerk.
G475-R013	f71v	CELESTIAL	G480-T013	SINGLETON	YES	1	0	NO	0	NO	0	0	NO	0	NO	SINGLETON_FRAGMENT_TAIL	otalody	Sternstelle »ody« — Folgevermerk, Zielzuordnung. Reihenfolge konkret: OT — danach Zielort.
G475-R014	f71v	CELESTIAL	G480-T014	SINGLETON	YES	1	0	NO	1	YES	0	0	NO	0	NO	FULL_ROLE_EVENT_COVERAGE	otalaiin	Adressspur: danach → Zielposition → Positionswert. Reihenfolge konkret: OT — danach Zielort.
G475-R015	f71v	CELESTIAL	G480-T015	SINGLETON	YES	2	0	NO	1	NO	1	0	NO	0	NO	PARTIAL_ROLE_FRAGMENT_COVERAGE	otar|shar	1. Danach beziehe den Eintrag von der Ausgangsposition. 2. Halte den Eintrag von der Ausgangsposition. Reihenfolge konkret: OT — danach Ausgang.
G475-R016	f71v	CELESTIAL	G480-T016	SINGLETON	YES	1	0	NO	0	NO	0	0	NO	0	NO	SINGLETON_FRAGMENT_TAIL	sholshdy	Weiter halte den Sternstelleneintrag »dy« und halte den Sternstelleneintrag »dy«. Reihenfolge konkret: OL — Halten in Halten weiterführen.
