template_id	role_frame	occurrence_count	record_count	page_count	register_count	recurrence_class	surface_type_count	surface_recurrence_mode	recipe_variant_count	recipe_frames	phrase_variant_count	canonical_owner_neutral_phrase_de	phrase_stable	pages	registers	record_ids	source_fragment_ids	surface_examples	strict_template_count	strict_template_ids	claim_status
G481-PS001	CATALOGUE[ORDER · NAME @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> CATALOGUE[NAME @NONE]	1	1	1	1	SINGLETON	1	SINGLETON	1	CATALOGUE[OT @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> CATALOGUE[NONE @NONE]	1	Namenseintrag »{N1}« — Folgevermerk. Reihenfolge konkret: OT — danach Namenseintrag »{N1}«. Dann: Namenseintrag »{N2}«.	YES	f17r	HERBAL	G475-R001	G481-P001	oteeeon|oiil	1	G481-PT001	ROLE_FRAGMENT_BACKOFF__STRICT_TEMPLATE_CONTROLS_READING
G481-PS002	CATALOGUE[REL @NONE] <SAME_BUNDLE> CATALOGUE[REL · NAME @NONE]	2	2	2	1	CROSS_PAGE	2	MULTIPLE_SURFACES	2	CATALOGUE[AR @NONE] <SAME_BUNDLE> CATALOGUE[AR @NONE]|CATALOGUE[AR @NONE] <SAME_BUNDLE> CATALOGUE[AL @NONE]	2	Eintrag »{N1}« — Ausgangszuordnung. Dann: Namenseintrag »{N2}« — Ausgangszuordnung.	NO	f71v|f72r	CELESTIAL	G475-R002|G475-R022	G481-P002|G481-P011	char|arom || char|alif	2	G481-PT002|G481-PT011	ROLE_FRAGMENT_BACKOFF__STRICT_TEMPLATE_CONTROLS_READING
G481-PS003	COORDINATE[ORDER · REL @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> COORDINATE[REL @NONE]	1	1	1	1	SINGLETON	1	SINGLETON	1	COORDINATE[OT+AR @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> COORDINATE[AR @NONE]	1	Adressspur: danach → Ausgang. Reihenfolge konkret: OT — danach Ausgang. Dann: Adressspur: Ausgang.	YES	f71v	CELESTIAL	G475-R009	G481-P003	otar|ar	1	G481-PT003	ROLE_FRAGMENT_BACKOFF__STRICT_TEMPLATE_CONTROLS_READING
G481-PS004	COORDINATE[REL @NONE] <SAME_BUNDLE> COORDINATE[REL · ARG @NONE]	2	2	2	1	CROSS_PAGE	2	MULTIPLE_SURFACES	2	COORDINATE[AR @NONE] <SAME_BUNDLE> COORDINATE[AL+Y @NONE]|COORDINATE[AR @NONE] <SAME_BUNDLE> COORDINATE[AR+Y @NONE]	2	Adressspur: Ausgang. Dann: Adressspur: Zielort → Posten.	NO	f71v|f72r	CELESTIAL	G475-R009|G475-R019	G481-P004|G481-P010	ar|aly || ar|ary	2	G481-PT004|G481-PT010	ROLE_FRAGMENT_BACKOFF__STRICT_TEMPLATE_CONTROLS_READING
G481-PS005	COORDINATE[NAME · REL · REL @NONE] <SAME_BUNDLE> COORDINATE[MOD @NONE]	1	1	1	1	SINGLETON	1	SINGLETON	1	COORDINATE[AL+AR @NONE] <SAME_BUNDLE> COORDINATE[AM_ADDR @NONE]	1	Adressspur: Namenseintrag »{N1}« → Zielort → Ausgang. Dann: Adressspur: hier.	YES	f71v	CELESTIAL	G475-R010	G481-P005	opalar|am	1	G481-PT005	ROLE_FRAGMENT_BACKOFF__STRICT_TEMPLATE_CONTROLS_READING
G481-PS006	COORDINATE[MOD @NONE] <SAME_BUNDLE> COORDINATE[ARG @NONE]	1	1	1	1	SINGLETON	1	SINGLETON	1	COORDINATE[AM_ADDR @NONE] <SAME_BUNDLE> COORDINATE[AIN @NONE]	1	Adressspur: hier. Dann: Adressspur: Anteil.	YES	f71v	CELESTIAL	G475-R010	G481-P006	am|dan	1	G481-PT006	ROLE_FRAGMENT_BACKOFF__STRICT_TEMPLATE_CONTROLS_READING
G481-PS007	CATALOGUE[NAME · REL · ARG @NONE] <SAME_BUNDLE> CATALOGUE[REL @NONE]	1	1	1	1	SINGLETON	1	SINGLETON	1	CATALOGUE[AL+OR @NONE] <SAME_BUNDLE> CATALOGUE[AR @NONE]	1	Namenseintrag »{N1}« — Zielzuordnung, Einheitsangabe. Dann: Eintrag »{N2}« — Ausgangszuordnung.	YES	f71v	CELESTIAL	G475-R011	G481-P007	opalor|ar	1	G481-PT007	ROLE_FRAGMENT_BACKOFF__STRICT_TEMPLATE_CONTROLS_READING
G481-PS008	INSTRUCTION[ORDER · REL @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> INSTRUCTION[ACTION · REL @NONE]	1	1	1	1	SINGLETON	1	SINGLETON	1	INSTRUCTION[OT+AR @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> INSTRUCTION[SH+AR @NONE]	1	Danach beziehe den Eintrag vom Ausgang. Reihenfolge konkret: OT — danach Ausgang. Dann: Halte den Eintrag vom Ausgang.	YES	f71v	CELESTIAL	G475-R015	G481-P008	otar|shar	1	G481-PT008	ROLE_FRAGMENT_BACKOFF__STRICT_TEMPLATE_CONTROLS_READING
G481-PS009	COORDINATE[MOD · ARG @NONE] <SAME_BUNDLE> COORDINATE[REL @NONE]	1	1	1	1	SINGLETON	1	SINGLETON	1	COORDINATE[O+AIIN @NONE] <SAME_BUNDLE> COORDINATE[AR @NONE]	1	Adressspur: Ausführungspunkt → Wert. Dann: Adressspur: Ausgang.	YES	f72r	CELESTIAL	G475-R019	G481-P009	oaiin|ar	1	G481-PT009	ROLE_FRAGMENT_BACKOFF__STRICT_TEMPLATE_CONTROLS_READING
G481-PS010	COORDINATE[ORDER · ARG @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> COORDINATE[ORDER · ARG @START_FRESH_SIBLING:FORWARD_OPEN]	1	1	1	1	SINGLETON	1	SINGLETON	1	COORDINATE[OT+AIIN @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> COORDINATE[OT+AIN @START_FRESH_SIBLING:FORWARD_OPEN]	1	Adressspur: danach → Wert. Reihenfolge konkret: OT — danach Wert. Dann: Adressspur: danach → Anteil. Reihenfolge konkret: OT — danach Anteil.	YES	f72r	CELESTIAL	G475-R024	G481-P012	otaiin|otain	1	G481-PT012	ROLE_FRAGMENT_BACKOFF__STRICT_TEMPLATE_CONTROLS_READING
G481-PS011	INSTRUCTION[ORDER · REL · NAME @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> INSTRUCTION[ARG · ACTION @NONE]	1	1	1	1	SINGLETON	1	SINGLETON	1	INSTRUCTION[OT+AL @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> INSTRUCTION[Y+S @NONE]	1	Danach beziehe den Namenseintrag »{N1}« zum Zielort. Reihenfolge konkret: OT — danach Zielort. Dann: Wähle den Posten.	YES	f72r	CELESTIAL	G475-R025	G481-P013	otalef|ys	1	G481-PT013	ROLE_FRAGMENT_BACKOFF__STRICT_TEMPLATE_CONTROLS_READING
G481-PS012	INSTRUCTION[ARG · ACTION @NONE] <SAME_BUNDLE> INSTRUCTION[ARG · MOD @NONE]	1	1	1	1	SINGLETON	1	SINGLETON	1	INSTRUCTION[Y+S @NONE] <SAME_BUNDLE> INSTRUCTION[AIN+AM_ADDR @NONE]	1	Wähle den Posten. Dann: Im selben Gang wähle den Anteil an der bezeichneten Stelle.	YES	f72r	CELESTIAL	G475-R025	G481-P014	ys|ainam	1	G481-PT014	ROLE_FRAGMENT_BACKOFF__STRICT_TEMPLATE_CONTROLS_READING
G481-PS013	INSTRUCTION[MOD · ORDER @KEEP_ACTIVE_UNIT:BACKWARD_HOLD] <SAME_BUNDLE> INSTRUCTION[ACTION · REL · MOD @NONE]	1	1	1	1	SINGLETON	1	SINGLETON	1	INSTRUCTION[O+OL @KEEP_ACTIVE_UNIT:BACKWARD_HOLD] <SAME_BUNDLE> INSTRUCTION[SH+AR+AM_ADDR @NONE]	1	Weiter beziehe den Eintrag, als Ausführung. Reihenfolge konkret: OL — Ausführung weiterführen. Dann: Halte den Eintrag vom Ausgang an der bezeichneten Stelle.	YES	f72r	CELESTIAL	G475-R026	G481-P015	ochol|sharam	1	G481-PT015	ROLE_FRAGMENT_BACKOFF__STRICT_TEMPLATE_CONTROLS_READING
G481-PS014	INSTRUCTION[ACTION · MOD · ARG @NONE] <SAME_BUNDLE> INSTRUCTION[REL · ARG @NONE]	2	2	1	1	SAME_PAGE_RECURRENT	1	SAME_SURFACE	1	INSTRUCTION[OK+EE+Y @NONE] <SAME_BUNDLE> INSTRUCTION[AR+Y @NONE]	1	Setze den Posten, auf Grad II. Dann: Im selben Gang setze den Posten vom Ausgang.	YES	f72r	CELESTIAL	G475-R030|G475-R042	G481-P016|G481-P017	okeey|ary	1	G481-PT016	ROLE_FRAGMENT_BACKOFF__STRICT_TEMPLATE_CONTROLS_READING
G481-PS015	COORDINATE[ORDER · REL @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> COORDINATE[ARG @NONE]	1	1	1	1	SINGLETON	1	SINGLETON	1	COORDINATE[OT+AIR @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> COORDINATE[Y @NONE]	1	Adressspur: danach → Bahn. Reihenfolge konkret: OT — danach Bahn. Dann: Adressspur: Posten.	YES	f72r	CELESTIAL	G475-R044	G481-P018	otair|dy	1	G481-PT017	ROLE_FRAGMENT_BACKOFF__STRICT_TEMPLATE_CONTROLS_READING
G481-PS016	INSTRUCTION[ACTION · REL · NAME · MOD @NONE] <CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL> INSTRUCTION[ORDER · NAME · REL · ARG @KEEP_ACTIVE_UNIT:FORWARD_OPEN]	1	1	1	1	SINGLETON	1	SINGLETON	1	INSTRUCTION[OK+AR+AM_ADDR @NONE] <CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL> INSTRUCTION[OL+AL+AIIN @KEEP_ACTIVE_UNIT:FORWARD_OPEN]	1	Setze den Namenseintrag »{N1}« vom Ausgang an der bezeichneten Stelle. Dann: Weiter beziehe den Namenseintrag »{N2}« und den Wert zum Zielort. Reihenfolge konkret: OL — weiter mit Namenseintrag »{N2}«.	YES	f72r	CELESTIAL	G475-R060	G481-P019	okarcham|olkalaiin	1	G481-PT018	ROLE_FRAGMENT_BACKOFF__STRICT_TEMPLATE_CONTROLS_READING
G481-PS017	INSTRUCTION[ORDER · NAME · REL · ARG @KEEP_ACTIVE_UNIT:FORWARD_OPEN] <CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL> COORDINATE[ORDER · REL · ARG @KEEP_ACTIVE_UNIT:FORWARD_OPEN]	1	1	1	1	SINGLETON	1	SINGLETON	1	INSTRUCTION[OL+AL+AIIN @KEEP_ACTIVE_UNIT:FORWARD_OPEN] <CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL> COORDINATE[OL+AL+Y @KEEP_ACTIVE_UNIT:FORWARD_OPEN]	1	Weiter beziehe den Namenseintrag »{N1}« und den Wert zum Zielort. Reihenfolge konkret: OL — weiter mit Namenseintrag »{N1}«. Dann: Adressspur: weiter → Zielort → Posten. Reihenfolge konkret: OL — weiter mit Zielort.	YES	f72r	CELESTIAL	G475-R060	G481-P020	olkalaiin|olalsy	1	G481-PT019	ROLE_FRAGMENT_BACKOFF__STRICT_TEMPLATE_CONTROLS_READING
G481-PS018	COORDINATE[ORDER · MOD @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> COORDINATE[ARG @NONE]	1	1	1	1	SINGLETON	1	SINGLETON	1	COORDINATE[OT+O @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> COORDINATE[AIIN @NONE]	1	Adressspur: danach → Ausführungspunkt. Reihenfolge konkret: OT — danach Ausführung. Dann: Adressspur: Wert.	YES	f72r	CELESTIAL	G475-R063	G481-P021	oto|aiin	1	G481-PT020	ROLE_FRAGMENT_BACKOFF__STRICT_TEMPLATE_CONTROLS_READING
G481-PS019	INSTRUCTION[NAME · MOD · MOD @NONE] <SAME_BUNDLE> INSTRUCTION[REL @NONE]	1	1	1	1	SINGLETON	1	SINGLETON	1	INSTRUCTION[O+IIN @NONE] <SAME_BUNDLE> INSTRUCTION[AL @NONE]	1	Beziehe den Namenseintrag »{N1}«, als Ausführung und auf der bezeichneten Stufe. Dann: Beziehe den Eintrag zum Zielort.	YES	f72r	CELESTIAL	G475-R064	G481-P022	opoiiinoin|al	1	G481-PT021	ROLE_FRAGMENT_BACKOFF__STRICT_TEMPLATE_CONTROLS_READING
G481-PS020	INSTRUCTION[REL @NONE] <SAME_BUNDLE> INSTRUCTION[ACTION · MOD · ACTION @NONE]	1	1	1	1	SINGLETON	1	SINGLETON	1	INSTRUCTION[AL @NONE] <SAME_BUNDLE> INSTRUCTION[CH+E+S @NONE]	1	Beziehe den Eintrag zum Zielort. Dann: Nimm den Eintrag auf und wähle den Eintrag, auf Grad I.	YES	f72r	CELESTIAL	G475-R064	G481-P023	al|ches	1	G481-PT022	ROLE_FRAGMENT_BACKOFF__STRICT_TEMPLATE_CONTROLS_READING
G481-PS021	CATALOGUE[NAME · ARG @NONE] <SAME_BUNDLE> CATALOGUE[REL · REL · ARG @NONE]	1	1	1	1	SINGLETON	1	SINGLETON	1	CATALOGUE[AIIN @NONE] <SAME_BUNDLE> CATALOGUE[AL+AL+Y @NONE]	1	Namenseintrag »{N1}« — Wertangabe. Dann: Eintrag »{N2}« — Zielzuordnung, Zielzuordnung, Postenangabe.	YES	f72r	CELESTIAL	G475-R065	G481-P024	ypaiin|alaly	1	G481-PT023	ROLE_FRAGMENT_BACKOFF__STRICT_TEMPLATE_CONTROLS_READING
G481-PS022	COORDINATE[ORDER · MOD · ARG @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> COORDINATE[ARG @NONE]	1	1	1	1	SINGLETON	1	SINGLETON	1	COORDINATE[OT+EE+Y @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> COORDINATE[AIIN @NONE]	1	Adressspur: danach → Grad II → Posten. Reihenfolge konkret: OT — danach Grad II. Dann: Adressspur: Wert.	YES	f72r	CELESTIAL	G475-R066	G481-P025	oteey|daiin	1	G481-PT024	ROLE_FRAGMENT_BACKOFF__STRICT_TEMPLATE_CONTROLS_READING
G481-PS023	INSTRUCTION[NAME · MOD · ARG @NONE] <SAME_BUNDLE> INSTRUCTION[ACTION · ARG @NONE]	1	1	1	1	SINGLETON	1	SINGLETON	1	INSTRUCTION[EE+Y @NONE] <SAME_BUNDLE> INSTRUCTION[OK+AIIN @NONE]	1	Beziehe den Namenseintrag »{N1}« und den Posten, auf Grad II. Dann: Setze den Wert.	YES	f72r	CELESTIAL	G475-R069	G481-P026	opoeey|okaiin	1	G481-PT025	ROLE_FRAGMENT_BACKOFF__STRICT_TEMPLATE_CONTROLS_READING
