template_id	role_frame	occurrence_count	record_count	page_count	register_count	recurrence_class	surface_type_count	surface_recurrence_mode	recipe_variant_count	recipe_frames	phrase_variant_count	canonical_owner_neutral_phrase_de	phrase_stable	pages	registers	record_ids	source_fragment_ids	surface_examples	strict_template_count	strict_template_ids	claim_status
G481-ES001	CATALOGUE[ORDER · NAME @START_FRESH_SIBLING:FORWARD_OPEN]	5	5	4	4	CROSS_REGISTER	5	MULTIPLE_SURFACES	1	CATALOGUE[OT @START_FRESH_SIBLING:FORWARD_OPEN]	1	Namenseintrag »{N1}« — Folgevermerk. Reihenfolge konkret: OT — danach Namenseintrag »{N1}«.	YES	f17r|f71v|f77r|f88v	HERBAL|CELESTIAL|BIOLOGICAL|PHARMA	G475-R001|G475-R005|G475-R087|G475-R100|G475-R105	G481-E001|G481-E007|G481-E124|G481-E139|G481-E144	oteeeon || otchody || otork || otora || otdordy	1	G481-ET001	ROLE_FRAGMENT_BACKOFF__STRICT_TEMPLATE_CONTROLS_READING
G481-ES002	CATALOGUE[NAME @NONE]	1	1	1	1	SINGLETON	1	SINGLETON	1	CATALOGUE[NONE @NONE]	1	Namenseintrag »{N1}«.	YES	f17r	HERBAL	G475-R001	G481-E002	oiil	1	G481-ET002	ROLE_FRAGMENT_BACKOFF__STRICT_TEMPLATE_CONTROLS_READING
G481-ES003	CATALOGUE[REL @NONE]	3	3	2	1	CROSS_PAGE	2	MULTIPLE_SURFACES	1	CATALOGUE[AR @NONE]	1	Eintrag »{N1}« — Ausgangszuordnung.	YES	f71v|f72r	CELESTIAL	G475-R002|G475-R011|G475-R022	G481-E003|G481-E018|G481-E032	char || ar	1	G481-ET003	ROLE_FRAGMENT_BACKOFF__STRICT_TEMPLATE_CONTROLS_READING
G481-ES004	CATALOGUE[REL · NAME @NONE]	3	3	3	2	CROSS_REGISTER	3	MULTIPLE_SURFACES	2	CATALOGUE[AR @NONE]|CATALOGUE[AL @NONE]	2	Namenseintrag »{N1}« — Ausgangszuordnung.	NO	f71v|f72r|f88v	CELESTIAL|PHARMA	G475-R002|G475-R022|G475-R097	G481-E004|G481-E033|G481-E136	arom || alif || arody	2	G481-ET004|G481-ET029	ROLE_FRAGMENT_BACKOFF__STRICT_TEMPLATE_CONTROLS_READING
G481-ES005	CATALOGUE[NAME · REL · ARG @NONE]	5	5	2	1	CROSS_PAGE	5	MULTIPLE_SURFACES	3	CATALOGUE[AL+Y @NONE]|CATALOGUE[AL+OR @NONE]|CATALOGUE[AR+AIIN @NONE]	3	Namenseintrag »{N1}« — Zielzuordnung, Postenangabe.	NO	f71v|f72r	CELESTIAL	G475-R003|G475-R011|G475-R059|G475-R075|G475-R076	G481-E005|G481-E017|G481-E077|G481-E105|G481-E106	chfaly || opalor || ainaly || eeesaly || ykaraiin	3	G481-ET005|G481-ET016|G481-ET089	ROLE_FRAGMENT_BACKOFF__STRICT_TEMPLATE_CONTROLS_READING
G481-ES006	INSTRUCTION[ACTION · ORDER · REL @KEEP_ACTIVE_UNIT:BRIDGE_LEFT_TO_RIGHT]	1	1	1	1	SINGLETON	1	SINGLETON	1	INSTRUCTION[OK+OL+AR @KEEP_ACTIVE_UNIT:BRIDGE_LEFT_TO_RIGHT]	1	Weiter setze den Eintrag vom Ausgang. Reihenfolge konkret: OL — Setzen in Ausgang weiterführen.	YES	f71v	CELESTIAL	G475-R004	G481-E006	okolar	1	G481-ET006	ROLE_FRAGMENT_BACKOFF__STRICT_TEMPLATE_CONTROLS_READING
G481-ES007	INSTRUCTION[REL · ACTION · ACTION · ARG @NONE]	1	1	1	1	SINGLETON	1	SINGLETON	1	INSTRUCTION[AL+CH+P+Y @NONE]	1	Nimm den Posten auf und setze den Posten ein zum Zielort.	YES	f71v	CELESTIAL	G475-R006	G481-E008	alcphy	1	G481-ET007	ROLE_FRAGMENT_BACKOFF__STRICT_TEMPLATE_CONTROLS_READING
G481-ES008	COORDINATE[ORDER · ARG @START_FRESH_SIBLING:FORWARD_OPEN]	3	2	2	1	CROSS_PAGE	2	MULTIPLE_SURFACES	2	COORDINATE[OT+AIIN @START_FRESH_SIBLING:FORWARD_OPEN]|COORDINATE[OT+AIN @START_FRESH_SIBLING:FORWARD_OPEN]	2	Adressspur: danach → Wert. Reihenfolge konkret: OT — danach Wert.	NO	f71v|f72r	CELESTIAL	G475-R007|G475-R024	G481-E009|G481-E035|G481-E036	otaiin || otain	2	G481-ET008|G481-ET031	ROLE_FRAGMENT_BACKOFF__STRICT_TEMPLATE_CONTROLS_READING
G481-ES009	INSTRUCTION[ACTION · REL · ARG @NONE]	3	3	2	1	CROSS_PAGE	2	MULTIPLE_SURFACES	2	INSTRUCTION[OK+AR+AIIN @NONE]|INSTRUCTION[OK+AL+Y @NONE]	2	Setze den Posten zum Zielort.	NO	f71v|f72r	CELESTIAL	G475-R008|G475-R040|G475-R048	G481-E010|G481-E056|G481-E066	okaraiin || okaly	2	G481-ET009|G481-ET049	ROLE_FRAGMENT_BACKOFF__STRICT_TEMPLATE_CONTROLS_READING
G481-ES010	COORDINATE[ORDER · REL @START_FRESH_SIBLING:FORWARD_OPEN]	4	4	2	1	CROSS_PAGE	3	MULTIPLE_SURFACES	3	COORDINATE[OT+AR @START_FRESH_SIBLING:FORWARD_OPEN]|COORDINATE[OT+AIR @START_FRESH_SIBLING:FORWARD_OPEN]|COORDINATE[OT+AL @START_FRESH_SIBLING:FORWARD_OPEN]	3	Adressspur: danach → Ausgang. Reihenfolge konkret: OT — danach Ausgang.	NO	f71v|f72r	CELESTIAL	G475-R009|G475-R044|G475-R047|G475-R052	G481-E011|G481-E061|G481-E065|G481-E070	otar || otair || otal	3	G481-ET010|G481-ET051|G481-ET058	ROLE_FRAGMENT_BACKOFF__STRICT_TEMPLATE_CONTROLS_READING
