template_id	strict_frame	occurrence_count	record_count	page_count	register_count	recurrence_class	surface_type_count	surface_recurrence_mode	recipe_variant_count	recipe_frames	phrase_variant_count	canonical_owner_neutral_phrase_de	phrase_stable	pages	registers	record_ids	source_fragment_ids	surface_examples	claim_status
G481-PT001	CATALOGUE[DANACH · {N1} @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> CATALOGUE[{N2} @NONE]	1	1	1	1	SINGLETON	1	SINGLETON	1	CATALOGUE[OT @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> CATALOGUE[NONE @NONE]	1	Namenseintrag »{N1}« — Folgevermerk. Reihenfolge konkret: OT — danach Namenseintrag »{N1}«. Dann: Namenseintrag »{N2}«.	YES	f17r	HERBAL	G475-R001	G481-P001	oteeeon|oiil	STRICT_OWNER_NEUTRAL_FRAGMENT__NO_NEW_MEANING
G481-PT002	CATALOGUE[AUSGANG @NONE] <SAME_BUNDLE> CATALOGUE[AUSGANG · {N1} @NONE]	1	1	1	1	SINGLETON	1	SINGLETON	1	CATALOGUE[AR @NONE] <SAME_BUNDLE> CATALOGUE[AR @NONE]	1	Eintrag »{N1}« — Ausgangszuordnung. Dann: Namenseintrag »{N2}« — Ausgangszuordnung.	YES	f71v	CELESTIAL	G475-R002	G481-P002	char|arom	STRICT_OWNER_NEUTRAL_FRAGMENT__NO_NEW_MEANING
G481-PT003	COORDINATE[DANACH · AUSGANG @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> COORDINATE[AUSGANG @NONE]	1	1	1	1	SINGLETON	1	SINGLETON	1	COORDINATE[OT+AR @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> COORDINATE[AR @NONE]	1	Adressspur: danach → Ausgang. Reihenfolge konkret: OT — danach Ausgang. Dann: Adressspur: Ausgang.	YES	f71v	CELESTIAL	G475-R009	G481-P003	otar|ar	STRICT_OWNER_NEUTRAL_FRAGMENT__NO_NEW_MEANING
G481-PT004	COORDINATE[AUSGANG @NONE] <SAME_BUNDLE> COORDINATE[ZIELORT · POSTEN @NONE]	1	1	1	1	SINGLETON	1	SINGLETON	1	COORDINATE[AR @NONE] <SAME_BUNDLE> COORDINATE[AL+Y @NONE]	1	Adressspur: Ausgang. Dann: Adressspur: Zielort → Posten.	YES	f71v	CELESTIAL	G475-R009	G481-P004	ar|aly	STRICT_OWNER_NEUTRAL_FRAGMENT__NO_NEW_MEANING
G481-PT005	COORDINATE[{N1} · ZIELORT · AUSGANG @NONE] <SAME_BUNDLE> COORDINATE[HIER @NONE]	1	1	1	1	SINGLETON	1	SINGLETON	1	COORDINATE[AL+AR @NONE] <SAME_BUNDLE> COORDINATE[AM_ADDR @NONE]	1	Adressspur: Namenseintrag »{N1}« → Zielort → Ausgang. Dann: Adressspur: hier.	YES	f71v	CELESTIAL	G475-R010	G481-P005	opalar|am	STRICT_OWNER_NEUTRAL_FRAGMENT__NO_NEW_MEANING
G481-PT006	COORDINATE[HIER @NONE] <SAME_BUNDLE> COORDINATE[ANTEIL @NONE]	1	1	1	1	SINGLETON	1	SINGLETON	1	COORDINATE[AM_ADDR @NONE] <SAME_BUNDLE> COORDINATE[AIN @NONE]	1	Adressspur: hier. Dann: Adressspur: Anteil.	YES	f71v	CELESTIAL	G475-R010	G481-P006	am|dan	STRICT_OWNER_NEUTRAL_FRAGMENT__NO_NEW_MEANING
G481-PT007	CATALOGUE[{N1} · ZIELORT · EINHEIT @NONE] <SAME_BUNDLE> CATALOGUE[AUSGANG @NONE]	1	1	1	1	SINGLETON	1	SINGLETON	1	CATALOGUE[AL+OR @NONE] <SAME_BUNDLE> CATALOGUE[AR @NONE]	1	Namenseintrag »{N1}« — Zielzuordnung, Einheitsangabe. Dann: Eintrag »{N2}« — Ausgangszuordnung.	YES	f71v	CELESTIAL	G475-R011	G481-P007	opalor|ar	STRICT_OWNER_NEUTRAL_FRAGMENT__NO_NEW_MEANING
G481-PT008	INSTRUCTION[DANACH · AUSGANG @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> INSTRUCTION[HALTEN · AUSGANG @NONE]	1	1	1	1	SINGLETON	1	SINGLETON	1	INSTRUCTION[OT+AR @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> INSTRUCTION[SH+AR @NONE]	1	Danach beziehe den Eintrag vom Ausgang. Reihenfolge konkret: OT — danach Ausgang. Dann: Halte den Eintrag vom Ausgang.	YES	f71v	CELESTIAL	G475-R015	G481-P008	otar|shar	STRICT_OWNER_NEUTRAL_FRAGMENT__NO_NEW_MEANING
G481-PT009	COORDINATE[AUSFÜHRUNG · WERT @NONE] <SAME_BUNDLE> COORDINATE[AUSGANG @NONE]	1	1	1	1	SINGLETON	1	SINGLETON	1	COORDINATE[O+AIIN @NONE] <SAME_BUNDLE> COORDINATE[AR @NONE]	1	Adressspur: Ausführungspunkt → Wert. Dann: Adressspur: Ausgang.	YES	f72r	CELESTIAL	G475-R019	G481-P009	oaiin|ar	STRICT_OWNER_NEUTRAL_FRAGMENT__NO_NEW_MEANING
G481-PT010	COORDINATE[AUSGANG @NONE] <SAME_BUNDLE> COORDINATE[AUSGANG · POSTEN @NONE]	1	1	1	1	SINGLETON	1	SINGLETON	1	COORDINATE[AR @NONE] <SAME_BUNDLE> COORDINATE[AR+Y @NONE]	1	Adressspur: Ausgang. Dann: Adressspur: Ausgang → Posten.	YES	f72r	CELESTIAL	G475-R019	G481-P010	ar|ary	STRICT_OWNER_NEUTRAL_FRAGMENT__NO_NEW_MEANING
