family,fixed_forms_and_ascii_lengths,prediction,reader,mobile_blocks,mobile_positions,mobile_leaves,family_powered,observed_gain_bits,contradiction_decision,remaining_ambiguity,independent_meaning_confirmation_capacity
IS,qoky:4; r:1,later rank favors shorter forms; beta=ln(3); fixed layout/dy blocks,ZL3b,0,0,0,False,NOT_SCORED,NOT_DECIDED_NO_CAPACITY,semantic names assumed; opaque class predicts identically,0
IS,qoky:4; r:1,later rank favors shorter forms; beta=ln(3); fixed layout/dy blocks,IT2a,5,10,5,True,NOT_SCORED,NOT_DECIDED_NO_CAPACITY,semantic names assumed; opaque class predicts identically,0
IS,qoky:4; r:1,later rank favors shorter forms; beta=ln(3); fixed layout/dy blocks,RF1b,0,0,0,False,NOT_SCORED,NOT_DECIDED_NO_CAPACITY,semantic names assumed; opaque class predicts identically,0
LENTIL,qokain:6; okedy:5,later rank favors shorter forms; beta=ln(3); fixed layout/dy blocks,ZL3b,0,0,0,False,NOT_SCORED,NOT_DECIDED_NO_CAPACITY,semantic names assumed; opaque class predicts identically,0
LENTIL,qokain:6; okedy:5,later rank favors shorter forms; beta=ln(3); fixed layout/dy blocks,IT2a,0,0,0,False,NOT_SCORED,NOT_DECIDED_NO_CAPACITY,semantic names assumed; opaque class predicts identically,0
LENTIL,qokain:6; okedy:5,later rank favors shorter forms; beta=ln(3); fixed layout/dy blocks,RF1b,0,0,0,False,NOT_SCORED,NOT_DECIDED_NO_CAPACITY,semantic names assumed; opaque class predicts identically,0
NOURISHMENT,saiiin:6; san:3,later rank favors shorter forms; beta=ln(3); fixed layout/dy blocks,ZL3b,0,0,0,False,NOT_SCORED,NOT_DECIDED_NO_CAPACITY,semantic names assumed; opaque class predicts identically,0
NOURISHMENT,saiiin:6; san:3,later rank favors shorter forms; beta=ln(3); fixed layout/dy blocks,IT2a,0,0,0,False,NOT_SCORED,NOT_DECIDED_NO_CAPACITY,semantic names assumed; opaque class predicts identically,0
NOURISHMENT,saiiin:6; san:3,later rank favors shorter forms; beta=ln(3); fixed layout/dy blocks,RF1b,0,0,0,False,NOT_SCORED,NOT_DECIDED_NO_CAPACITY,semantic names assumed; opaque class predicts identically,0
NOT,sshey:5; sol:3; oltydy:6; or:2,later rank favors shorter forms; beta=ln(3); fixed layout/dy blocks,ZL3b,0,0,0,False,NOT_SCORED,NOT_DECIDED_NO_CAPACITY,semantic names assumed; opaque class predicts identically,0
NOT,sshey:5; sol:3; oltydy:6; or:2,later rank favors shorter forms; beta=ln(3); fixed layout/dy blocks,IT2a,3,7,3,False,NOT_SCORED,NOT_DECIDED_NO_CAPACITY,semantic names assumed; opaque class predicts identically,0
NOT,sshey:5; sol:3; oltydy:6; or:2,later rank favors shorter forms; beta=ln(3); fixed layout/dy blocks,RF1b,0,0,0,False,NOT_SCORED,NOT_DECIDED_NO_CAPACITY,semantic names assumed; opaque class predicts identically,0
LETTUCE,char:4; cheey:5,later rank favors shorter forms; beta=ln(3); fixed layout/dy blocks,ZL3b,0,0,0,False,NOT_SCORED,NOT_DECIDED_NO_CAPACITY,semantic names assumed; opaque class predicts identically,0
LETTUCE,char:4; cheey:5,later rank favors shorter forms; beta=ln(3); fixed layout/dy blocks,IT2a,8,17,8,True,NOT_SCORED,NOT_DECIDED_NO_CAPACITY,semantic names assumed; opaque class predicts identically,0
LETTUCE,char:4; cheey:5,later rank favors shorter forms; beta=ln(3); fixed layout/dy blocks,RF1b,0,0,0,False,NOT_SCORED,NOT_DECIDED_NO_CAPACITY,semantic names assumed; opaque class predicts identically,0
CURRENT_GREEKS,ysheeyqorar:11; y:1,later rank favors shorter forms; beta=ln(3); fixed layout/dy blocks,ZL3b,0,0,0,False,NOT_SCORED,NOT_DECIDED_NO_CAPACITY,semantic names assumed; opaque class predicts identically,0
CURRENT_GREEKS,ysheeyqorar:11; y:1,later rank favors shorter forms; beta=ln(3); fixed layout/dy blocks,IT2a,0,0,0,False,NOT_SCORED,NOT_DECIDED_NO_CAPACITY,semantic names assumed; opaque class predicts identically,0
CURRENT_GREEKS,ysheeyqorar:11; y:1,later rank favors shorter forms; beta=ln(3); fixed layout/dy blocks,RF1b,0,0,0,False,NOT_SCORED,NOT_DECIDED_NO_CAPACITY,semantic names assumed; opaque class predicts identically,0
