paragraph	edition	physical_leaf	groups	strict_source	prediction	observed	independent	certificate	remaining_common_readings	independent_meaning_capacity
ZL3b|f103r|f103r.13-f103r.15	ZL3b	103	30	False	Complete joint grammar under one free global dictionary; aliases allowed	UNSAT	unsat	GDT1009:FUNCTIONAL_001	0	0
ZL3b|f103r|f103r.18-f103r.20	ZL3b	103	28	True	Complete joint grammar under one free global dictionary; aliases allowed	UNSAT	unsat	GDT1009:FUNCTIONAL_002	0	0
ZL3b|f103r|f103r.27-f103r.29	ZL3b	103	28	False	Complete joint grammar under one free global dictionary; aliases allowed	UNSAT	unsat	GDT1009:FUNCTIONAL_003	0	0
ZL3b|f103r|f103r.45-f103r.47	ZL3b	103	28	False	Complete joint grammar under one free global dictionary; aliases allowed	UNSAT	unsat	GDT1009:FUNCTIONAL_004	0	0
ZL3b|f103v|f103v.17-f103v.19	ZL3b	103	28	False	Complete joint grammar under one free global dictionary; aliases allowed	UNSAT	unsat	GDT1009:FUNCTIONAL_005	0	0
ZL3b|f103v|f103v.30-f103v.32	ZL3b	103	29	False	Complete joint grammar under one free global dictionary; aliases allowed	UNSAT	unsat	GDT1009:FUNCTIONAL_006	0	0
ZL3b|f104r|f104r.16-f104r.18	ZL3b	104	26	False	Complete joint grammar under one free global dictionary; aliases allowed	UNSAT	unsat	GDT1009:FUNCTIONAL_007	0	0
ZL3b|f104r|f104r.43-f104r.45	ZL3b	104	32	False	Complete joint grammar under one free global dictionary; aliases allowed	UNSAT	unsat	GDT1009:FUNCTIONAL_008	0	0
ZL3b|f104v|f104v.6-f104v.7	ZL3b	104	26	False	Complete joint grammar under one free global dictionary; aliases allowed	UNSAT	unsat	GDT1009:FUNCTIONAL_009	0	0
ZL3b|f104v|f104v.29-f104v.31	ZL3b	104	35	False	Complete joint grammar under one free global dictionary; aliases allowed	UNSAT	unsat	GDT1009:FUNCTIONAL_010	0	0
ZL3b|f105r|f105r.11-f105r.13	ZL3b	105	34	False	Complete joint grammar under one free global dictionary; aliases allowed	UNSAT	unsat	GDT1009:FUNCTIONAL_011	0	0
ZL3b|f105r|f105r.35-f105r.37	ZL3b	105	27	True	Complete joint grammar under one free global dictionary; aliases allowed	UNSAT	unsat	GDT1009:FUNCTIONAL_012	0	0
ZL3b|f105v|f105v.5-f105v.7	ZL3b	105	30	False	Complete joint grammar under one free global dictionary; aliases allowed	UNSAT	unsat	GDT1009:FUNCTIONAL_013	0	0
ZL3b|f106r|f106r.1-f106r.3	ZL3b	106	29	False	Complete joint grammar under one free global dictionary; aliases allowed	UNSAT	unsat	GDT1009:FUNCTIONAL_014	0	0
