surface	working_meaning_de	composition	strongest_rival_de	family
ctharal	rohe Blatt-/Krautfraktion I	CTH_HERB + AR_FRACTION_I + AL_RAW_I	Blatt-/Krautrohstoff I	CTH_HERB_FRACTION
kochor	heiß angesetzter Pflanzenteil	K_HOT + O_PREP + CHOR_PLANT_PART	heiß-trockene Drogenportion	CHOR_HOT_PREP
olkeeshy	vollständig erhitzter, leicht eingeweichter Holzdrogenansatz	O_PREP + L_WOOD + EE_END + SH_MOIST + Y_CLOSE	Holzdroge vollständig erhitzen und danach einweichen	OL_WOOD_COMPOSITE
olan	Holzdrogenansatz auf Stufe I	O_PREP + L_WOOD + AN_I	Ansatz aus Holzrohstoff I	OL_WOOD_STAGE
oteaiin	kalter Ansatz auf mittlerer Prozessstufe III	O_PREP + T_COLD + E_MIDDLE + AIIN_III	kalter Ansatz, Grad III	OT_COLD_STAGE
otealshey	kalt eingeweichter Rohstoff-I-Ansatz auf Mittelstufe	O_PREP + T_COLD + E_MIDDLE + AL_RAW_I + SH_MOIST + Y_CLOSE	Rohstoff-I-Ansatz kalt bis zur Mittelstufe einweichen	OTAL_MOIST_COMPOSITE
otaly	Rohstoff-I-Ansatz leicht kühlen und abschließen	O_PREP + T_COLD + AL_RAW_I + Y_CLOSE	kalter Rohstoff-I-Ansatz, Grundform	OTAL_COLD_PROCESS
otolkeechdy	kalten Holzdrogenansatz vollständig erhitzen, trocknen und fertigstellen	O_PREP + T_COLD + OL_WOOD + K_HOT + EE_END + CH_DRY + DY_FINISHED	vollständig erhitzter und fertig getrockneter Holzdrogenansatz	OTOL_COMPLEX_PROCESS
eeeodaiin	drei Dosen Ansatz nach der langen Endstufe	EEE_LONG_OR_FINAL + O_PREP + D_MEASURE + AIIN_III	drei Dosen vollständig gereiften Ansatzes	LONG_END_DOSE
alol	Grundansatz aus Rohdroge I	AL_RAW_I + LEARNED_OL_BASE	Drogenstoff der Rohstoffklasse I	AL_OL_MATERIAL
