surface	working_meaning_de	composition	strongest_rival_de	family
ctharal	Krautdroge: erste Fraktion, Rohstoff I	CTH_HERB+AR_FRACTION_I+AL_RAW_I	erste rohe Blattfraktion	FRACTION
kochor	eine Portion erhitzten Trockenansatzes	K_HOT+O_PREP+CH_DRY+OR_PORTION	erhitzter Pflanzenteil im Ansatz	HOT_DRY
olkeeshy	Holzdrogenansatz vollständig erhitzen, dann leicht einweichen	O_PREP+L_WOOD+K_HOT+EE_END+SH_MOIST+Y_START_OR_CLOSE	vollständig erhitzte und angefeuchtete Holzdroge	WOOD
olan	Holzdrogenansatz auf Stufe I	O_PREP+L_WOOD+AN_I	ein Teil Holzdroge im Ansatz	WOOD
oteaiin	drei Teile des mäßig gekühlten Ansatzes	O_PREP+T_COLD+E_MIDDLE+AIIN_III	Ansatz auf Kühlstufe III	COLD
otealshey	Rohstoff-I-Ansatz mäßig kühlen, dann mäßig einweichen	O_PREP+T_COLD+E_MIDDLE+AL_RAW_I+SH_MOIST+E_MIDDLE+Y_START_OR_CLOSE	kalt eingeweichter Rohstoff-I-Ansatz	ACTION
otaly	Rohstoff-I-Ansatz leicht abkühlen	O_PREP+T_COLD+AL_RAW_I+Y_START_OR_CLOSE	kalter Rohstoff-I-Ansatz in Grundform	COLD
otolkeechdy	kalten Drogenstoff vollständig erhitzen, trocknen und fertigstellen	O_PREP+T_COLD+OL_MATERIAL+K_HOT+EE_END+CH_DRY+DY_FINISHED	vollständig erhitzter Kaltstoff, trocken abgeschlossen	ACTION
eeeodaiin	drei Dosen Ansatz bis zur letzten Stufe führen	LEARNED_EEEODAIIN_WHOLE	drei Maße langstufig behandelten Ansatzes	MEASURE
alol	Drogenstoff aus Rohstoff I	AL_RAW_I+OL_MATERIAL	Grundstoff der Rohklasse I	PREPARATION
lkshedy	Holzdroge erhitzen, bis zur Mittelstufe einweichen und fertigstellen	L_WOOD+K_HOT+SH_MOIST+E_MIDDLE+DY_FINISHED	heiß eingeweichte Holzdroge, abgeschlossen	ACTION
raraiin	drei Teile der ersten Wurzelfraktion	R_ROOT+AR_FRACTION_I+AIIN_III	erste Wurzelfraktion in Stufe III	ROOT
cheodar	die erste Fraktion des mäßig getrockneten Ansatzes abmessen	CH_DRY+E_MIDDLE+O_PREP+D_MEASURE+AR_FRACTION_I	erste abgemessene Trockenfraktion im Ansatz	MEASURE
keam	ein Maß bis zur Mittelstufe erhitzte Droge	K_HOT+E_MIDDLE+AM_UNIT_I	erhitzte Droge der Maßeinheit I	MEASURE
dalchd	Rohstoff I abmessen, trocknen und abschließen	D_MEASURE+AL_RAW_I+CH_DRY+D_TERM_CLOSE	abgemessener trockener Rohstoff I	ACTION
chcthey	Krautdroge bis zur Mittelstufe trocknen und abschließen	CH_DRY+CTH_HERB+E_MIDDLE+Y_START_OR_CLOSE	getrocknete Krautdroge auf Mittelstufe	DRY
dcheoty	eine Dosis mäßig getrockneten Ansatzes leicht abkühlen	D_MEASURE+CH_DRY+E_MIDDLE+O_PREP+T_COLD+Y_START_OR_CLOSE	abgemessener kalt-trockener Ansatz	ACTION
chdam	ein abgemessenes Maß Trockendroge	CH_DRY+D_MEASURE+AM_UNIT_I	eine Dosis Trockendroge der Einheit I	MEASURE
sokal	Saatgutansatz aus erhitztem Rohstoff I	S_SEED+O_PREP+K_HOT+AL_RAW_I	heißer Saatrohstoff-I-Ansatz	SEED
otcheody	kalten Ansatz mäßig trocknen, neu ansetzen und fertigstellen	O_PREP+T_COLD+CH_DRY+E_MIDDLE+O_PREP+DY_FINISHED	fertiger kalt getrockneter Doppelansatz	ACTION
cheedain	zwei Dosen vollständig getrocknete Droge	CH_DRY+EE_END+D_MEASURE+AIN_II	vollständig getrocknete Droge auf Dosisstufe II	MEASURE
chot	Trockenansatz abkühlen	CH_DRY+O_PREP+T_COLD	kalt behandeltes Trockengut	COLD
ysheed	weiche hiervon vollständig ein und schließe ab	Y_REFERENCE+SH_MOIST+EE_END+D_TERM_CLOSE	diese Droge vollständig eingeweicht	ACTION
rodam	ein abgemessenes Maß Wurzelansatz	R_ROOT+O_PREP+D_MEASURE+AM_UNIT_I	eine Dosis Wurzelansatz der Einheit I	MEASURE
ykeeochody	erhitze hiervon vollständig, trockne den Ansatz und stelle ihn fertig	Y_REFERENCE+K_HOT+EE_END+O_PREP+CH_DRY+O_PREP+DY_FINISHED	diese Droge vollständig heiß getrocknet im Ansatz	ACTION
chky	trocknen und leicht erhitzen	CH_DRY+K_HOT+Y_START_OR_CLOSE	heiß angetrocknete Droge in Grundform	HOT_DRY
chytshy	leicht trocknen, abkühlen und leicht einweichen	LEARNED_CHYTSHY_WHOLE	kalt angefeuchtete Trockendroge	ACTION
ytol	kühle hiervon den Drogenstoff	Y_REFERENCE+T_COLD+OL_MATERIAL	kalter Drogenstoff dieser Zubereitung	ACTION
kch	erhitzen und trocknen	K_HOT+CH_DRY	heiß getrocknete Droge	HOT_DRY
qopchaiin	nimm drei Teile des getrockneten Pulveransatzes	QO_COMMAND+O_PREP+P_POWDER+CH_DRY+AIIN_III	Pulveransatz auf Trockenstufe III	POWDER
choltaiin	getrockneten Drogenstoff auf Kühlstufe III bringen	CH_DRY+OL_MATERIAL+T_COLD+AIIN_III	drei Teile kalt getrockneter Drogenstoff	COLD
shdaiin	drei Dosen eingeweichte Droge	SH_MOIST+D_MEASURE+AIIN_III	eingeweichte Droge in Stufe III	MEASURE
choees	eine Charge vollständig getrockneten Ansatzes	CH_DRY+O_PREP+EE_END+S_TERM_SPECIES	vollständig getrocknete Arzneispecies	DRY
okoiin	erhitzter Ansatz in Zubereitungsform III	O_PREP+K_HOT+O_PREP+IIN_FORM_III	heißer Doppelansatz der Form III	PREPARATION
tolshy	kalten Drogenstoff leicht einweichen	T_COLD+OL_MATERIAL+SH_MOIST+Y_START_OR_CLOSE	kalt angefeuchteter Drogenstoff	MOIST_PREP
ysheol	weiche den Drogenstoff hiervon mäßig ein	Y_REFERENCE+SH_MOIST+E_MIDDLE+OL_MATERIAL	mittelfeuchter Drogenstoff dieser Zubereitung	ACTION
keeees	die Arzneicharge lange erhitzen und abschließen	LEARNED_KEEEES_WHOLE	erhitzte Charge auf letzter Stufe	ACTION
ykol	erhitze hiervon den Drogenstoff	Y_REFERENCE+K_HOT+OL_MATERIAL	heißer Drogenstoff dieser Zubereitung	ACTION
